Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Denali Park, AK",,retail,445120,Cantwell Trading Post,,,,63.3968322,-148.8905565,,,n_2997287716,shop=convenience
"Denali Park, AK",,retail,445310,Sled Dog Liquor,,,http://sleddogliquor.com,63.7442792,-148.8952049,,,n_3710595239,shop=alcohol
"Denali Park, AK",,retail,445110,Great 1 Grab 'n' Go Grocery,,,,63.7443455,-148.8952722,,,n_4957876198,shop=grocery
"Denali Park, AK",,retail,445292,Miller's Gourmet Popcorn,,,,63.7477946,-148.8992474,,,n_4964517250,shop=confectionery
"Denali Park, AK",,retail,445110,Denali General Store,,,,63.7490038,-148.8993895,,,n_4965020022,shop=grocery
"Denali Park, AK",,retail,445310,Bear’s Den Liquor,"Mile 248.5 George Parks Highway, Healy, AK, 99743",,,63.8667237,-149.0235991,,,n_7797658942,shop=alcohol
"Denali Park, AK",,retail,445120,Park Mart Store,,,,63.7460949,-148.8971277,,,w_275374656,shop=convenience
"Denali Park, AK",,retail,445110,Three Bears Alaska,"Mile 248.5 George Parks Highway, Healy, AK, 99743",,,63.866803,-149.0240022,,,w_835397929,shop=supermarket
"Denali Park, AK",,retail,445120,Food Mart,"Mile 210.4 George Parks Highway, Cantwell, AK",,,63.3951606,-148.8926507,,,w_1271885122,"shop=convenience, operator=Vitus"
"Denali Park, AK",,retail,445120,,"248.5 George Parks Highway, Healy, AK, 99743",,,63.8653704,-149.0180745,,,w_1305516224,shop=convenience
