Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Sunrise, AK",,retail,445120,Tessoro,,,,61.1091238,-149.8596062,,,n_569884803,shop=convenience
"Sunrise, AK",,retail,445120,Summit Lake Lodge Ice Cream,,,,60.640734,-149.4989642,,,n_2704107009,shop=convenience
"Sunrise, AK",,retail,445120,,,,,60.9698561,-149.4489644,,,n_3036918063,shop=convenience
"Sunrise, AK",,retail,445120,Alaska Dacha,,,,60.9197117,-149.6201893,,,n_3677868348,shop=convenience
"Sunrise, AK",,retail,445120,Speedway,"36511 Seward Highway, Girdwood, AK",,,60.9405689,-149.1719428,,,n_4225608416,"shop=convenience, brand=Speedway"
"Sunrise, AK",,retail,445310,Mary Lou's Liquor Store,,,,60.9854482,-149.497376,,,n_4313282382,shop=alcohol
"Sunrise, AK",,retail,446110,Walgreens,"2197 West Dimond Boulevard, Anchorage, AK, 99502",1-907-339-9600,https://www.walgreens.com/locator/walgreens-2197+w+dimond+blvd-anchorage-ak-99515/id=12680,61.1381589,-149.91973,,,n_7179861897,"shop=chemist, brand=Walgreens"
"Sunrise, AK",,retail,453991,Oaken Keg Tobacco,,,,61.1099296,-149.8541585,,,n_7272732758,shop=tobacco
"Sunrise, AK",,retail,446120,Color Me Tan,,,,61.1103585,-149.8544393,,,n_7272732762,shop=beauty
"Sunrise, AK",,retail,445310,Wine House,"8841 Jewel Lake Road, Anchorage, AK, 99502",+1 907-243-8885,https://www.anchoragewinehouse.com/,61.1402865,-149.950164,,,n_7412489053,shop=alcohol
"Sunrise, AK",,retail,446120,Vina Nails,"9001 Jewel Lake Road, Anchorage, AK, 99502",1-907-563-6640,,61.139006,-149.9507964,,,n_7428389749,shop=beauty
"Sunrise, AK",,retail,452319,Dollar Zone,"5437 East Northern Lights Boulevard, Anchorage, AK, 99504",1-907-339-0396,https://dollarzoneak.com/,61.1960415,-149.7809989,,,n_7496048810,shop=general
"Sunrise, AK",,retail,453991,Ak Smoke World,"750 West Dimond Boulevard, Anchorage, AK, 99515",(907) 764-4744,https://aksmokeworld.com,61.1435422,-149.8936288,,,n_8197979880,"shop=tobacco, operator=Ayman Asad"
"Sunrise, AK",,retail,446110,Walgreens,,,https://www.walgreens.com/locator/walgreens-2550+e+88th+ave-anchorage-ak-99507/id=15654,61.1406742,-149.8352723,,,n_8837114886,"shop=chemist, brand=Walgreens"
"Sunrise, AK",,retail,445120,Chevron,,,,61.138173,-149.8348806,,,n_8837114888,"shop=convenience, brand=Chevron"
"Sunrise, AK",,retail,446120,Tanasy,,,,61.1383721,-149.8434315,,,n_8837114903,shop=beauty
"Sunrise, AK",,retail,446120,Luxury Nails,,,,61.1384771,-149.843462,,,n_8837114905,shop=beauty
"Sunrise, AK",,retail,445310,La Bodega,"194 Olympic Circle, Girdwood, AK, 99587",+1-907-783-0084,https://www.labodegastore.com/,60.9599947,-149.108876,,,n_8931218213,shop=alcohol
"Sunrise, AK",,retail,445310,Anchorage Distillery,"6310 A Street, 99518",(907) 561-2100,https://www.anchoragedistillery.com/our-spirits,61.1636159,-149.8822186,,,n_9890194517,shop=alcohol
"Sunrise, AK",,retail,446110,Pharmacy Market Place,,,,60.9410138,-149.1716149,,,n_9986772130,shop=chemist
"Sunrise, AK",,retail,446110,Walgreens,,,https://www.walgreens.com/locator/walgreens-4353+lake+otis+pkwy-anchorage-ak-99508/id=15653,61.1815488,-149.8371943,,,n_10794030646,"shop=chemist, brand=Walgreens"
"Sunrise, AK",,retail,445310,Gold Rush Liqour,,,,61.1424784,-149.8596212,,,n_11074207340,shop=alcohol
"Sunrise, AK",,retail,446120,Modern Nails,,,,61.145605,-149.8698486,,,n_11115508326,shop=beauty
"Sunrise, AK",,retail,445120,Cozy Markey & Deli,,,,61.1464541,-149.864967,,,n_11115508331,shop=convenience
"Sunrise, AK",,retail,445120,Holiday,,,,61.1381238,-149.9177636,,,n_11115523491,"shop=convenience, brand=Holiday"
"Sunrise, AK",,retail,446120,Top Nails,,,,61.1437449,-149.893503,,,n_11115524706,shop=beauty
"Sunrise, AK",,retail,445310,Value Liquor,,,,61.145104,-149.8909442,,,n_11115524709,shop=alcohol
"Sunrise, AK",,retail,445310,Aurora Nights Liquor,,,,61.1449888,-149.8768277,,,n_11115524728,shop=alcohol
"Sunrise, AK",,retail,445292,Aurora Chocolate,,,,61.1444024,-149.8757924,,,n_11115524738,shop=chocolate
"Sunrise, AK",,retail,445110,Greatland Grocery & Supply,,,,61.1117361,-149.8632368,,,n_11142419450,shop=supermarket
"Sunrise, AK",,retail,446110,Walgreens,,,https://www.walgreens.com/locator/walgreens-12405+brandon+st-anchorage-ak-99515/id=13449,61.1083928,-149.8552384,,,n_11142419451,"shop=chemist, brand=Walgreens"
"Sunrise, AK",,retail,445120,Holiday,,,,61.1803327,-149.8261382,,,n_11153696224,"shop=convenience, brand=Holiday"
"Sunrise, AK",,retail,445110,Fred Meyer,"2300 Abbott Road, Anchorage, AK, 99507",1-907–365–2000,https://www.fredmeyer.com/stores/grocery/ak/anchorage/southeast-anchorage/701/00656,61.1358508,-149.8385722,,,w_29357468,"shop=supermarket, brand=Fred Meyer"
"Sunrise, AK",,retail,445110,Carrs,"4000 Diamond Blvd., Anchorage, AK, 99502",1-907-339-1200,https://local.carrsqc.com/ak/anchorage/4000-w-dimond-blvd.html,61.1363669,-149.953824,,,w_129384159,"shop=supermarket, brand=Carrs, operator=Carrs: Safeway 1812"
"Sunrise, AK",,retail,445110,Carrs,"7731 East Northern Lights Boulevard, 99504",,https://local.carrsqc.com/ak/anchorage/7731-e-northern-lights-blvd.html,61.1966372,-149.7363067,,,w_129384189,"shop=supermarket, brand=Carrs"
"Sunrise, AK",,retail,445110,Carrs,"1725 Abbott Road, 99507",,https://local.carrsqc.com/ak/anchorage/1725-abbott-rd.html,61.1422426,-149.843858,,,w_129384366,"shop=supermarket, brand=Carrs"
"Sunrise, AK",,retail,445110,Fred Meyer,"2000 West Dimond Boulevard, Anchorage, AK, 99502",+1 907-267-6700,https://www.fredmeyer.com/stores/details/701/00071,61.1360227,-149.9193728,,,w_131301749,"shop=supermarket, brand=Fred Meyer"
"Sunrise, AK",,retail,445120,Holiday,"2150 Raspberry Rd, Anchorage, AK, 99502",+1 907-248-2352,https://www.holidaystationstores.com/,61.158396,-149.9231628,,,w_181379137,"shop=convenience, brand=Holiday"
"Sunrise, AK",,retail,445110,Target,"150 West 100th Avenue, Anchorage, AK, 99515-2673",+1-907-267-7500,https://www.target.com/sl/anchorage-south/2372,61.1294949,-149.8803932,,,w_183107542,"shop=supermarket, brand=Target"
"Sunrise, AK",,retail,445110,Carrs,"1501 Huffman Road, Anchorage, AK, 99515",,https://local.carrsqc.com/ak/anchorage-1813.html,61.1094094,-149.8536902,,,w_197126976,shop=supermarket
"Sunrise, AK",,retail,445120,Chevron,,,,61.1731052,-149.8691525,,,w_255758255,"shop=convenience, brand=Chevron"
"Sunrise, AK",,retail,445110,Walmart Supercenter,"8900 Old Seward Highway, Anchorage, AK, 99515",+1-907-344-5300,https://www.walmart.com/store/2071-anchorage-ak,61.1402221,-149.8700326,,,w_303613027,"shop=supermarket, brand=Walmart, operator=Walmart"
"Sunrise, AK",,retail,453991,Green Growcer Cannabis Company,"301 East Dimond Boulevard, Anchorage, AK, 99515",+1 907-312-8420,https://www.akgreengrowcer.org/,61.1450244,-149.8769328,,,w_303744665,shop=tobacco
"Sunrise, AK",,retail,452210,Value Village,,,,61.1455851,-149.8723123,,,w_331827031,shop=department_store
"Sunrise, AK",,retail,445110,Crow Creek Mercantile,"150 Hightower Road, 99587",+19077833900,http://safeway.com,60.9627328,-149.1342523,,,w_332534316,shop=supermarket
"Sunrise, AK",,retail,445120,Chevron,"2801 Boniface Parkway, Anchorage, AK, 99504",‭1-907-333-7800‬,https://www.chevron.com/,61.194765,-149.7774157,,,w_412821232,"shop=convenience, brand=Chevron, operator=Chevro"
"Sunrise, AK",,retail,445120,Holiday,"5497 East Northern Lights Boulevard, Anchorage, AK, 99504",1-907-333-9618,https://www.holidaystationstores.com/,61.1957134,-149.7793267,,,w_412821233,"shop=convenience, brand=Holiday, operator=Holiday"
"Sunrise, AK",,retail,452210,Burlington,,,,61.1428633,-149.8632075,,,w_465318139,"shop=department_store, brand=Burlington"
"Sunrise, AK",,retail,445120,Holiday,,,,61.1453278,-149.8537595,,,w_465348028,"shop=convenience, brand=Holiday"
"Sunrise, AK",,retail,445110,Raw Market Company,"148 Holmgren Place, Girdwood, AK, 99587",+1-907-330-9628,https://www.rawmarket.co,60.963216,-149.1357208,,,w_476371305,shop=supermarket
"Sunrise, AK",,retail,445310,Y2K Liqour,,,,61.165788,-149.8682985,,,w_778047181,shop=alcohol
"Sunrise, AK",,retail,445120,Holiday,,,,61.12457,-149.865229,,,w_778717488,"shop=convenience, brand=Holiday"
"Sunrise, AK",,retail,445120,Holiday,,,,61.158735,-149.8349765,,,w_780585508,"shop=convenience, brand=Holiday"
"Sunrise, AK",,retail,445310,Brown Jug Liquor,,,,61.194852,-149.7802636,,,w_797004741,shop=alcohol
"Sunrise, AK",,retail,445210,Butcher Block No 9,"11108 Old Seward Highway, Anchorage, AK, 99515",,,61.1199776,-149.8652101,,,w_1134627005,shop=butcher
"Sunrise, AK",,retail,445310,Brown Jug #255,"1160 Huffman Park Drive, Anchorage, AK, 99515",,,61.1097626,-149.8609954,,,w_1301125016,shop=alcohol
