Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Willow Creek, AK",,retail,445310,Tazlina Liquors,,,,62.0595212,-145.4263794,,,n_5015835436,shop=alcohol
"Willow Creek, AK",,retail,445110,Copper Valley IGA,,,,62.1083559,-145.5290023,,,w_154487831,shop=supermarket
"Willow Creek, AK",,retail,445120,Hub of Alaska,"Glenn Highway, Glennallen, AK",,,62.108326,-145.4779784,,,w_264289697,shop=convenience
"Willow Creek, AK",,retail,445120,Sparks General Store,,,,62.1068011,-145.4865656,,,w_420263056,shop=convenience
"Willow Creek, AK",,retail,445110,Wenger's Country Store,,,,61.7074264,-144.8797555,,,w_453247909,shop=supermarket
"Willow Creek, AK",,retail,445120,Kenny Lake Mercantile,,,https://kennylakervpark.wixsite.com/kennylakemerc,61.736199,-144.9513983,,,w_453247916,shop=convenience
"Willow Creek, AK",,retail,445110,Tazlina Trading Post,,,,62.0595408,-145.4261025,,,w_513010335,shop=supermarket
"Willow Creek, AK",,retail,445120,Mountain View Gas & Grocery,"101.5 Old Richardson Highway, Copper Center, AK, 99573",,,61.9540755,-145.3059395,,,w_513180045,shop=convenience
"Willow Creek, AK",,retail,445120,Copper River Cash Store,,,,61.9610909,-145.3010381,,,w_513180060,shop=convenience
"Willow Creek, AK",,retail,445310,Basin Liquors,,,,62.1057048,-145.6822926,,,w_620409358,shop=alcohol
"Willow Creek, AK",,retail,445310,Bush Bottle Bin,,,,62.1336994,-145.4768964,,,w_620495423,shop=alcohol
