Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Alexander City, AL",grocery store,retail,445110,ALDI,"1061 US-280, Alexander City, AL 35010, USA",(855) 955-2534,https://stores.aldi.us/al/alexander-city/1061-u-s-hwy-280?utm_source=google&utm_medium=local&utm_campaign=brand&utm_content=storepage_webclick,32.9219162,-85.9612655,5.0,2.0,ChIJddFwXx0NjIgRhlov4Xv9tBk,"supermarket, grocery_or_supermarket, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,Publix Super Market at Marble City Square,"165 McS Blvd, Sylacauga, AL 35150, USA",(256) 487-0098,https://www.publix.com/?utm_medium=maps&utm_source=google&utm_content=psm_google_override,33.1725586,-86.2831307,4.6,362.0,ChIJPwAGTW1XiYgRJHyAxOPPEiw,"supermarket, florist, liquor_store, grocery_or_supermarket, bakery, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,Piggly Wiggly,"61 Jefferson St, Alexander City, AL 35010, USA",(256) 234-3454,https://www.pigglywiggly.com/,32.9460967,-85.9526248,4.3,498.0,ChIJP3gjzmoLjIgRCoBg_Xvw0rA,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,DG Market,"41140 AL-77, Ashland, AL 36251, USA",(205) 861-2905,https://www.dollargeneral.com/store-directory/al/ashland/4495,33.2744,-85.8454879,3.6,268.0,ChIJJUY1jE6Ri4gRAZ8wu9pOQEw,"grocery_or_supermarket, drugstore, convenience_store, home_goods_store, health, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,Publix Super Market at The Gateway at Lake Martin,"4812 US-280, Alexander City, AL 35010, USA",(256) 414-6016,https://www.publix.com/?utm_medium=maps&utm_source=google&utm_content=psm_google_override,32.9134192,-85.95331139999999,4.7,120.0,ChIJ17tUbQMNjIgRgGAIYpxNt1s,"supermarket, florist, liquor_store, grocery_or_supermarket, bakery, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,Renfroe's Market,"483 N Broadnax St, Dadeville, AL 36853, USA",(256) 825-4461,http://renfroesmarket.com/,32.835579,-85.764169,4.2,711.0,ChIJrfayz6t6jIgRLdnIm7d7IBA,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,Piggly Wiggly Sylacauga,"Fort William Shopping Center, 1351 W Fort Williams St, Sylacauga, AL 35150, USA",(256) 249-8989,,33.1647542,-86.2730759,4.4,612.0,ChIJ6RRQaclXiYgRfzNtmGZIiIs,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,DG Market,"1 N Broadway Ave, Sylacauga, AL 35150, USA",(256) 626-6100,https://www.dollargeneral.com/store-directory/al/sylacauga/2332,33.1677058,-86.2513951,4.2,283.0,ChIJn0QYUHv9i4gRyI8m5-zM2jI,"grocery_or_supermarket, drugstore, convenience_store, home_goods_store, health, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,Piggly Wiggly Sylacauga,"1244 Talladega Hwy, Sylacauga, AL 35150, USA",(256) 249-4836,,33.1849733,-86.24384610000001,4.3,334.0,ChIJ_2H-mEP9i4gRa5bWchM31fE,"grocery_or_supermarket, supermarket, atm, finance, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,Piggly Wiggly,"470 S Main St, Goodwater, AL 35072, USA",(256) 839-1322,https://www.pigglywiggly.com/store-locations/alabama/,33.059207,-86.05558889999999,4.2,154.0,ChIJz1MBHqv3i4gRnNuxGcAZWas,"grocery_or_supermarket, supermarket, atm, finance, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,452210,Walmart Supercenter,"41301 US-280, Sylacauga, AL 35150, USA",(256) 245-0356,https://www.walmart.com/store/730-sylacauga-al/?veh=seo_loc,33.1760317,-86.2854766,3.8,2455.0,ChIJrasMAcJZiYgRdzd3EjPAxM8,"department_store, grocery_or_supermarket, electronics_store, bakery, hardware_store, furniture_store, home_goods_store, clothing_store, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,Ashland Piggly Wiggly,"100 Co Rd 31, Ashland, AL 36251, USA",(256) 354-2184,http://pigglywiggly.com/,33.2752495,-85.8343312,4.2,251.0,ChIJfRp79E2Ri4gRo-IQQBzbyro,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,Piggly Wiggly,"515 Kowaliga Rd, Eclectic, AL 36024, USA",(334) 541-3695,https://www.pigglywiggly.com/store-locations/alabama/,32.6406758,-86.04040479999999,4.4,534.0,ChIJwcG2AZE9jIgRx3Rx7l2-UfU,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,452210,Walmart Supercenter,"2643 US-280, Alexander City, AL 35010, USA",(256) 234-0316,https://www.walmart.com/store/726-alexander-city-al/?veh=seo_loc,32.9411762,-85.975848,3.9,2612.0,ChIJgT5Ao4ILjIgROYs7XOQHlBM,"department_store, grocery_or_supermarket, electronics_store, bakery, hardware_store, furniture_store, home_goods_store, clothing_store, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,Renfroe's Market,"1616 Mill Square, Alexander City, AL 35010, USA",(256) 392-4386,http://renfroesmarket.com/,32.935534,-85.97180759999999,4.6,186.0,ChIJDchBYRkLjIgRhOJkgX5UxUE,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,Culver's Grocery,"3250 Goodwater Hwy, Sylacauga, AL 35150, USA",(256) 245-7376,,33.1255402,-86.227311,4.5,13.0,ChIJ91e2c8X9i4gRvL6BojSdenc,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,Dollar General,"17957 US-280, Dadeville, AL 36853, USA",(256) 853-0960,https://www.dollargeneral.com/store-directory/al/dadeville/3339,32.8375194,-85.7635281,3.9,218.0,ChIJe7gxG6h6jIgRJwWWbi8tn5M,"drugstore, grocery_or_supermarket, convenience_store, health, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,Catherine's Market,"17 Russell Farms Rd, Alexander City, AL 35010, USA",(256) 215-7070,https://catherinesatcrossroads.com/,32.76584210000001,-85.9450208,4.6,183.0,ChIJrx8PljgTjIgRW1ebJ7apzNo,"grocery_or_supermarket, cafe, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,Meat Depot Sylacauga,"204 W Fort Williams St, Sylacauga, AL 35150, USA",(256) 879-0001,https://fresh-value.com/,33.1687848,-86.25416899999999,4.3,101.0,ChIJm38AIGP9i4gRTUjmTnX3RS0,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445110,Piggly Wiggly,"13711 AL-22, New Site, AL 36256, USA",(256) 329-9932,https://newsitepigglywiggly.com/contact,33.0445503,-85.7686511,4.4,163.0,ChIJwWaXIPuJi4gRgPi31F3Tg2g,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Alexander City, AL",grocery store,retail,445120,Dollar General,"1430 Talladega Hwy, Sylacauga, AL 35150, USA",(256) 626-6140,https://www.dollargeneral.com/store-directory/al/sylacauga/6434,33.185896,-86.2432602,3.8,152.0,ChIJ-74RkEP9i4gRP5eHRdjFVQ4,"convenience_store, drugstore, grocery_or_supermarket, health, point_of_interest, food, store, establishment"
"Alexander City, AL",grocery store,retail,445120,Dollar General,"25 Avondale Ave, Sylacauga, AL 35150, USA",(256) 626-6075,https://www.dollargeneral.com/store-directory/al/sylacauga/4306,33.1676792,-86.2641764,4.2,228.0,ChIJCTXK4s5XiYgR7os_aWkGv7E,"convenience_store, drugstore, grocery_or_supermarket, health, point_of_interest, food, store, establishment"
"Alexander City, AL",grocery store,retail,445120,Dollar General,"22108 AL-9, Goodwater, AL 35072, USA",(256) 743-3200,https://www.dollargeneral.com/store-directory/al/goodwater/9841,33.0588321,-86.0535578,3.9,191.0,ChIJ3xCX_Kz3i4gRrE4rU25Au2Y,"convenience_store, drugstore, grocery_or_supermarket, health, point_of_interest, food, store, establishment"
"Alexander City, AL",grocery store,retail,445120,Dollar General,"19 Main St, Sycamore, AL 35149, USA",(256) 626-6158,https://www.dollargeneral.com/store-directory/al/sycamore/12775,33.2554303,-86.2119678,4.2,123.0,ChIJnX6uyHr9i4gRLiwSovUdOoc,"convenience_store, drugstore, grocery_or_supermarket, health, point_of_interest, food, store, establishment"
"Alexander City, AL",grocery store,retail,445120,Dollar General,"1235 Cherokee Rd, Alexander City, AL 35010, USA",(256) 853-0800,https://www.dollargeneral.com/store-directory/al/alexander-city/1786,32.9313159,-85.9479265,4.2,221.0,ChIJU3yJkF4LjIgRK-vVpv-vudI,"convenience_store, drugstore, grocery_or_supermarket, health, point_of_interest, food, store, establishment"
"Alexander City, AL",grocery store,retail,445110,Jackson Grocery,"74969 AL-9, Ashland, AL 36251, USA",(256) 354-3141,,33.1917034,-85.9255639,4.5,95.0,ChIJS6gl_VWNi4gRbmpUPeMhA0k,"grocery_or_supermarket, point_of_interest, food, store, establishment"
"Alexander City, AL",grocery store,retail,445120,Dollar General,"1538 Mill Square, Alexander City, AL 35010, USA",(334) 521-4344,https://www.dollargeneral.com/store-directory/al/alexander-city/655,32.9357449,-85.9704045,4.1,212.0,ChIJMbfr9XcLjIgROC2x9Jz3rl0,"convenience_store, drugstore, grocery_or_supermarket, health, point_of_interest, food, store, establishment"
"Alexander City, AL",grocery store,retail,445120,Dollar General,"819 K St, Alexander City, AL 35010, USA",(256) 853-0406,https://www.dollargeneral.com/store-directory/al/alexander-city/10028,32.9550311,-85.94570379999999,4.1,118.0,ChIJd7JoWzsLjIgRpTb0CTvTJ9g,"convenience_store, drugstore, grocery_or_supermarket, health, point_of_interest, food, store, establishment"
"Alexander City, AL",grocery store,retail,445120,Dollar General,"1858 AL-9, Lake George, NY 12845, USA",(518) 685-6132,https://www.dollargeneral.com/store-directory/ny/lake-george/19808,33.2718991,-85.836129,,,ChIJA5_w8BKRi4gRtKOc5cW01yY,"convenience_store, drugstore, grocery_or_supermarket, health, point_of_interest, food, store, establishment"
"Alexander City, AL",grocery store,retail,445120,Dollar General,"7730 AL-21, Sylacauga, AL 35151, USA",(256) 369-3320,https://www.dollargeneral.com/store-directory/al/sylacauga/31132,33.1040383,-86.2510971,5.0,2.0,ChIJL6bvto3_i4gReIuU84mNLm0,"convenience_store, drugstore, grocery_or_supermarket, health, point_of_interest, food, store, establishment"
"Alexander City, AL",grocery store,retail,445120,Dollar General,"589 County Rd 89 S, Camp Hill, AL 36850, USA",(334) 219-2020,https://www.dollargeneral.com/store-directory/al/camp-hill/11639,32.7819528,-85.6528673,4.2,155.0,ChIJvXOp2sxijIgRBZ_IbiMr-rk,"convenience_store, drugstore, grocery_or_supermarket, health, point_of_interest, food, store, establishment"
"Alexander City, AL",grocery store,retail,445120,Dollar General,"8303 Kowaliga Rd, Eclectic, AL 36024, USA",(334) 458-1023,https://www.dollargeneral.com/store-directory/al/eclectic/18647,32.7141492,-85.9748207,4.3,94.0,ChIJJx6MLRgVjIgRDRSgozMvPr8,"convenience_store, drugstore, grocery_or_supermarket, health, point_of_interest, food, store, establishment"
