Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Ariton, AL",ethnic store,retail,448140,Authentiks,"900 Commons Dr, Dothan, AL 36303, USA",(334) 479-0044,,31.2540367,-85.4243382,4.5,8.0,ChIJ-6KMsxOSkogRingmr0m-JJM,"clothing_store, store, point_of_interest, establishment"
"Ariton, AL",grocery store,retail,452210,Walmart Supercenter,"4310 Montgomery Hwy, Dothan, AL 36303, USA",(334) 793-3099,https://www.walmart.com/store/604-dothan-al/?veh=seo_loc,31.2680202,-85.44126469999999,3.9,6104.0,ChIJiVcZMvmNkogRSQRrs9nWbds,"department_store, electronics_store, grocery_or_supermarket, bakery, hardware_store, clothing_store, furniture_store, home_goods_store, food, point_of_interest, store, establishment"
"Ariton, AL",grocery store,retail,445110,Publix Super Market at Park Place,"847 Boll Weevil Cir Ste 112, Enterprise, AL 36330, USA",(334) 348-1489,https://www.publix.com/?setstorenumber=1402&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,31.3259332,-85.8380767,4.6,1757.0,ChIJO12CWNVtkogRQpTReXJItbM,"supermarket, florist, liquor_store, grocery_or_supermarket, bakery, food, point_of_interest, store, establishment"
"Ariton, AL",grocery store,retail,445110,DG Market,"156 Co Rd 22, Headland, AL 36345, USA",(334) 245-4979,https://www.dollargeneral.com/store-directory/al/headland/1368,31.3342475,-85.3342569,3.9,357.0,ChIJ_YWNkD-XkogRWaDzBr_5a8Q,"grocery_or_supermarket, drugstore, convenience_store, home_goods_store, health, food, point_of_interest, store, establishment"
"Ariton, AL",grocery store,retail,445110,DG Market,"378 US-84, Daleville, AL 36322, USA",(334) 232-5805,https://www.dollargeneral.com/store-directory/al/daleville/25269,31.2998267,-85.72782839999999,4.6,22.0,ChIJKeaUCABlkogR0PsZWXE-MtA,"grocery_or_supermarket, drugstore, convenience_store, home_goods_store, health, food, point_of_interest, store, establishment"
"Ariton, AL",grocery store,retail,445110,DG Market,"4969 AL-52, Dothan, AL 36305, USA",(256) 392-9885,https://www.dollargeneral.com/store-directory/al/dothan/31074,31.2388427,-85.3174337,,,ChIJH4ZGJRmVkogRNvmIOCx8pRg,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Ariton, AL",grocery store,retail,452210,Target,"4601 Montgomery Hwy #300, Dothan, AL 36303, USA",(334) 340-1112,https://www.target.com/sl/dothan/1468,31.2659245,-85.4464222,4.4,467.0,ChIJL67uhvuNkogRb9sxNjXCfnI,"department_store, shoe_store, electronics_store, clothing_store, furniture_store, home_goods_store, point_of_interest, store, establishment"
"Ariton, AL",grocery store,retail,452210,Walmart Supercenter,"600 Boll Weevil Cir, Enterprise, AL 36330, USA",(334) 347-5353,https://www.walmart.com/store/734-enterprise-al/?veh=seo_loc,31.315916,-85.8267898,3.8,4621.0,ChIJ8UGZouxukogRZ9RsytVa9TM,"department_store, electronics_store, grocery_or_supermarket, bakery, hardware_store, clothing_store, furniture_store, home_goods_store, food, point_of_interest, store, establishment"
"Ariton, AL",grocery store,retail,452210,Walmart Supercenter,"1537 US-231, Ozark, AL 36360, USA",(334) 774-0272,https://www.walmart.com/store/740-ozark-al/?veh=seo_loc,31.4450319,-85.6507149,4.0,2765.0,ChIJ2ZlLYqh-kogRwJPtEJELnzk,"department_store, electronics_store, grocery_or_supermarket, bakery, hardware_store, clothing_store, furniture_store, home_goods_store, food, point_of_interest, store, establishment"
"Ariton, AL",grocery store,retail,452210,Walmart Supercenter,"1420 US-231, Troy, AL 36081, USA",(334) 566-8012,https://www.walmart.com/store/723-troy-al/?veh=seo_loc,31.7807101,-85.93907779999999,4.0,3018.0,ChIJx6UlMiPtjYgRQnvtsLaI2hI,"department_store, electronics_store, grocery_or_supermarket, bakery, hardware_store, clothing_store, furniture_store, home_goods_store, food, point_of_interest, store, establishment"
