Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Arley, AL",,retail,445120,,,,,34.2060882,-86.8722498,,,n_4640806660,shop=convenience
"Arley, AL",,retail,445120,,,,,34.203912,-86.8279799,,,n_4640851729,shop=convenience
"Arley, AL",,retail,445120,,,,,34.2026653,-86.8284171,,,n_4640851730,shop=convenience
"Arley, AL",,retail,446120,Ulta Beauty,"1108 Cullman Shopping Center Northwest, Cullman, AL, 35055",+1 256-734-8874,https://www.ulta.com/stores/cullman-al-1115,34.1824338,-86.849606,,,n_5712412163,"shop=beauty, brand=Ulta Beauty"
"Arley, AL",,retail,446120,Palm Beach Tan,,,https://palmbeachtan.com/locations/AL/Cullman-Patriot-Way-South-West,34.1525005,-86.8408219,,,n_5716212063,"shop=beauty, brand=Palm Beach Tan"
"Arley, AL",,retail,452210,TJ Maxx,,,,34.1509252,-86.8393091,,,n_5716219673,"shop=department_store, brand=TJ Maxx"
"Arley, AL",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/al/cullman/881/,34.1503634,-86.839315,,,n_5716219674,"shop=variety_store, brand=Dollar Tree"
"Arley, AL",,retail,445230,Sandlin Produce,"3403 Airport Road, Jasper, 35504",(205) 387-0320,,33.89635,-87.2694168,,,n_9517526017,shop=greengrocer
"Arley, AL",,retail,453991,Jasper smoke & vape,"151 Highway 78, Jasper, AL",+1 205-512-1077,,33.8490393,-87.275232,,,n_11751898969,shop=tobacco
"Arley, AL",,retail,445120,,,,,34.2072238,-86.8821291,,,n_12180406444,shop=convenience
"Arley, AL",,retail,445120,Tiger Mart,,,,34.2086339,-86.8816239,,,n_12180406445,"shop=convenience, brand=Tiger Mart"
"Arley, AL",,retail,445120,,,,,34.1722565,-87.1148363,,,n_12535281934,shop=convenience
"Arley, AL",,retail,445120,,,,,33.8436084,-87.2515669,,,n_12696654479,shop=convenience
"Arley, AL",,retail,453991,Tobacco Country,"1309 4th Street Southwest, Cullman, AL, 35055",,,34.1724607,-86.8527245,,,n_12761944600,shop=tobacco
