Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Ashland, AL",,retail,445110,foot outlet,,,,33.6120833,-85.9632739,,,n_300120881,shop=supermarket
"Ashland, AL",,retail,452210,Dillard's,,+1 256-835-2819,https://www.dillards.com/stores/alabama/quintard-mall-oxford/0416,33.6140309,-85.8223453,,,n_1252155494,"shop=department_store, brand=Dillard's"
"Ashland, AL",,retail,452210,JCPenney,,,,33.6122707,-85.8255336,,,n_1252155752,"shop=department_store, brand=JCPenney"
"Ashland, AL",,retail,445292,32°: A Yogurt Bar,,,,33.6084148,-85.7845833,,,n_1676542262,shop=confectionery
"Ashland, AL",,retail,445110,Publix,"115 Commons Way, Oxford, AL, 36203-3483",+1 256-835-4075,https://www.publix.com/locations/1420,33.6076891,-85.7883478,,,n_2257183562,"shop=supermarket, brand=Publix"
"Ashland, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/sylacauga/6434,33.1849697,-86.2468455,,,n_9009330676,"shop=variety_store, brand=Dollar General"
"Ashland, AL",,retail,446120,M. D. Nails,,,,33.1847448,-86.2468483,,,n_9009330678,shop=beauty
"Ashland, AL",,retail,452319,Roses,,,,33.3118771,-85.7557742,,,n_10170365873,"shop=variety_store, brand=Roses"
"Ashland, AL",,retail,445110,Piggly Wiggly,"88985 Highway 9, Lineville, AL, 36266",+1 256-396-2224,,33.3113644,-85.7517766,,,n_10170365874,"shop=supermarket, brand=Piggly Wiggly"
"Ashland, AL",,retail,445310,Emporium Wine,,,,32.9450197,-85.9527826,,,n_10833092463,shop=wine
"Ashland, AL",,retail,446120,Mini's Nails,,,,32.9449694,-85.9543968,,,n_10833092470,shop=beauty
"Ashland, AL",,retail,445120,,,,,33.5973221,-85.9262454,,,n_10930748383,shop=convenience
"Ashland, AL",,retail,445120,,,,,33.5724614,-85.8520718,,,n_11228367602,shop=convenience
"Ashland, AL",,retail,445110,Johnsons Giant Foods,"4920 US 78, Oxford, AL",+1 256 770-0100,https://www.johnsonsgiantfood.com/,33.5977755,-85.9281143,,,n_11967441920,shop=supermarket
"Ashland, AL",,retail,445120,Quickfill,,+12567419798,,33.6038355,-85.999213,,,n_12022211120,shop=convenience
"Ashland, AL",,retail,452319,Dollar General,"1235 Cherokee Road, Alexander City, AL, 35010",+1 256 853 0800,https://www.dollargeneral.com/store-directory/al/alexander-city/1786,32.931329,-85.9479122,,,n_12180095449,"shop=variety_store, brand=Dollar General"
"Ashland, AL",,retail,452319,Dollar General,"1800 Friendship Road, Oxford, AL, 36203",,,33.5863574,-85.8071653,,,n_12855414793,"shop=variety_store, brand=Dollar General"
"Ashland, AL",,retail,452319,Dollar General,"1106 Caffey Drive, Oxford, AL, 36203",,,33.597209,-85.869692,,,n_12855598380,"shop=variety_store, brand=Dollar General"
"Ashland, AL",,retail,445120,Kangaroo Express,"716 Cherry Street, Talladega, AL",,https://www.circlek.com/store-locator/US/talladega/716-s-cherry-st/2654159,33.4253705,-86.0967499,,,n_13004814851,"shop=convenience, amenity=fuel, brand=Kangaroo Express"
"Ashland, AL",,retail,445110,Walmart Supercenter,"92 Plaza Lane, Oxford, AL, 36203",+1 256-835-4701,https://www.walmart.com/store/809-oxford-al,33.5989813,-85.832309,,,w_27356504,"shop=supermarket, brand=Walmart, operator=Walmart"
"Ashland, AL",,retail,445110,Dorsey's Market,,,,33.61378,-85.8349024,,,w_110520281,shop=supermarket
"Ashland, AL",,retail,445110,Winn-Dixie,"1408 Golden Springs Road, Anniston, AL, 36207",+1 256-831-8801,https://www.winndixie.com/storedetails/anniston/al?search=447,33.6279215,-85.7875737,,,w_255533136,"shop=supermarket, brand=Winn-Dixie"
"Ashland, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/alexander-city/10028,32.9550603,-85.9456909,,,w_272981607,"shop=variety_store, brand=Dollar General"
"Ashland, AL",,retail,445120,Country Store,,,,33.4771662,-85.8086605,,,w_444433266,shop=convenience
"Ashland, AL",,retail,445120,Circle K,,,,33.6017955,-85.8329368,,,w_456461716,"shop=convenience, brand=Circle K"
"Ashland, AL",,retail,445110,Walmart Supercenter,"2643 Highway 280, Alexander City, AL, 35010",+1 256-234-0316,https://www.walmart.com/store/726-alexander-city-al,32.9413759,-85.9758201,,,w_591918305,"shop=supermarket, brand=Walmart, operator=Walmart"
"Ashland, AL",,retail,445120,,,,,33.0546551,-86.1466357,,,w_592485793,shop=convenience
"Ashland, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/anniston/1111,33.6267831,-85.7854549,,,w_751722454,"shop=variety_store, brand=Dollar General"
"Ashland, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/munford/8462,33.5329146,-85.9409731,,,w_751758541,"shop=variety_store, brand=Dollar General"
