Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Ashville, AL",ethnic store,retail,,Agricola Shopping Center,"301 N 12th St, Gadsden, AL 35901, USA",,,34.025011,-86.021675,3.9,711.0,ChIJt5lKjCI8iogRDYP4F7cKrPs,"shopping_mall, point_of_interest, establishment"
"Ashville, AL",ethnic store,retail,,Platinum Beauty,"2338 Center Point Pkwy, Center Point, AL 35215, USA",(205) 815-4545,,33.647747,-86.685204,4.5,304.0,ChIJfUEllMYOiYgRQR7lshkWEjk,"store, point_of_interest, establishment"
"Ashville, AL",grocery store,retail,445110,Bill's Gas & Grocery,"Trussville, AL 35173, USA",(205) 655-8994,,33.6965176,-86.5250538,4.1,55.0,ChIJpe3Oakl0iYgRmh6YJBdRCNA,"grocery_or_supermarket, gas_station, food, point_of_interest, store, establishment"
"Ashville, AL",grocery store,retail,445110,SAMCO (formerly Godfrey Grocery),"5790 US-278, Gadsden, AL 35903, USA",(256) 492-7702,,33.9856022,-85.8645044,4.4,64.0,ChIJbdB0MlM_iogRNw1vS-r9XsA,"grocery_or_supermarket, atm, convenience_store, finance, food, point_of_interest, store, establishment"
"Ashville, AL",grocery store,retail,445110,CITGO POP'S COUNTRY CORNER,"19840 US-411, Springville, AL 35146, USA",(205) 629-5110,"https://www.citgo.com/station-locator?search=19840+U.S.+411,+Springville,+Alabama+35146,+United+States",33.7293951,-86.34409319999999,4.4,172.0,ChIJIWdWu7F4iYgR04zwter6idw,"gas_station, grocery_or_supermarket, food, point_of_interest, store, establishment"
"Ashville, AL",grocery store,retail,445110,Publix Super Market at The Village at Moody,"2200 Village Dr, Moody, AL 35004, USA",(205) 640-3230,https://www.publix.com/?setstorenumber=1508&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,33.5699514,-86.5175339,4.6,1423.0,ChIJ9UwNjApyiYgRNhg43ZZZPgg,"supermarket, florist, grocery_or_supermarket, bakery, food, point_of_interest, liquor_store, store, establishment"
"Ashville, AL",grocery store,retail,452210,Walmart Supercenter,"340 E Meighan Blvd, Gadsden, AL 35903, USA",(256) 547-2637,https://www.walmart.com/store/301-gadsden-al/?veh=seo_loc,34.0125274,-85.9873886,3.9,4469.0,ChIJA-5bZMY-iogRnVUQpUd3mVo,"department_store, hardware_store, electronics_store, grocery_or_supermarket, bakery, furniture_store, home_goods_store, clothing_store, food, point_of_interest, store, establishment"
"Ashville, AL",grocery store,retail,445110,Faris LLC. D/B/A Quick Stop Eastaboga,"9629 US-78 West, Eastaboga, AL 36260, USA",(256) 831-8508,,33.6037965,-86.0087454,4.4,25.0,ChIJ8x_orNbOi4gR8CG5VHJMLt4,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Ashville, AL",grocery store,retail,452210,Walmart Supercenter,"165 Vaughan Ln, Pell City, AL 35125, USA",(205) 338-5300,https://www.walmart.com/store/5113-pell-city-al/?veh=seo_loc,33.6092526,-86.2772823,3.9,4379.0,ChIJ753hIKB9iYgRDOVfPJWnq2U,"department_store, hardware_store, electronics_store, grocery_or_supermarket, bakery, furniture_store, home_goods_store, clothing_store, food, point_of_interest, store, establishment"
"Ashville, AL",grocery store,retail,445110,Publix Super Market at Shoppes at Rainbow Landing,"128 W Grand Ave, Rainbow City, AL 35906, USA",(256) 442-2509,https://www.publix.com/?setstorenumber=1476&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,33.9552368,-86.0439566,4.6,1700.0,ChIJN7RNVE06iogR35ZduE84BKs,"supermarket, florist, grocery_or_supermarket, bakery, food, point_of_interest, liquor_store, store, establishment"
"Ashville, AL",grocery store,retail,452210,Walmart Supercenter,"8551 Whitfield Ave, Leeds, AL 35094, USA",(205) 699-0701,https://www.walmart.com/store/562-leeds-al/?veh=seo_loc,33.5621694,-86.5189736,3.8,3333.0,ChIJtfsQCWsWiYgRsLUhri7ayJ0,"department_store, hardware_store, electronics_store, grocery_or_supermarket, bakery, furniture_store, home_goods_store, clothing_store, food, point_of_interest, store, establishment"
"Ashville, AL",grocery store,retail,445110,Publix Super Market at The Shoppes at Deerfoot,"7272 Gadsden Hwy, Trussville, AL 35173, USA",(205) 661-1415,https://www.publix.com/?setstorenumber=1082&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,33.6414061,-86.5798841,4.6,1273.0,ChIJNczKOktziYgRaDpWYDfDmjs,"supermarket, florist, grocery_or_supermarket, bakery, food, point_of_interest, liquor_store, store, establishment"
"Ashville, AL",grocery store,retail,452210,Walmart Supercenter,"92 Plaza Ln, Oxford, AL 36203, USA",(256) 835-4701,https://www.walmart.com/store/809-oxford-al/?veh=seo_loc,33.5990088,-85.83229060000001,3.9,5475.0,ChIJpdL08SOxi4gReCweZ4pzOCM,"department_store, hardware_store, electronics_store, grocery_or_supermarket, bakery, furniture_store, home_goods_store, clothing_store, food, point_of_interest, store, establishment"
"Ashville, AL",grocery store,retail,452210,Walmart Supercenter,"973 Gilbert Ferry Rd SE, Attalla, AL 35954, USA",(256) 538-3811,https://www.walmart.com/store/316-attalla-al/?veh=seo_loc,33.9937374,-86.09368599999999,4.0,4092.0,ChIJo8sQLVM7iogR8nyVTPWdogw,"department_store, hardware_store, electronics_store, grocery_or_supermarket, bakery, furniture_store, home_goods_store, clothing_store, food, point_of_interest, store, establishment"
"Ashville, AL",grocery store,retail,452210,Walmart Supercenter,"5560 McClellan Blvd, Anniston, AL 36206, USA",(256) 820-3326,https://www.walmart.com/store/329-anniston-al/?veh=seo_loc,33.7200297,-85.8201445,3.9,4019.0,ChIJqVWG2jGzi4gRn5-0SkxCslY,"department_store, hardware_store, electronics_store, grocery_or_supermarket, bakery, furniture_store, home_goods_store, clothing_store, food, point_of_interest, store, establishment"
"Ashville, AL",grocery store,retail,445110,Johnsons Giant Foods,"4920 US-78, Oxford, AL 36203, USA",(256) 770-0100,http://www.johnsonsgiantfood.com/,33.59773,-85.92797329999999,4.4,1035.0,ChIJswTlkUS3i4gRJEOQak8-jR0,"grocery_or_supermarket, food, point_of_interest, store, establishment"
