Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Attalla, AL",ethnic store,retail,,Agricola Shopping Center,"301 N 12th St, Gadsden, AL 35901, USA",,,34.025011,-86.021675,3.9,711.0,ChIJt5lKjCI8iogRDYP4F7cKrPs,"shopping_mall, point_of_interest, establishment"
"Attalla, AL",ethnic store,retail,448140,Jireh's Boutique Gifts & Herbs,"546 Broad St, Gadsden, AL 35901, USA",(256) 543-0377,http://www.jirehboutique.com/,34.014198,-86.00632139999999,4.9,21.0,ChIJqeYAO6Q-iogR5O1FMpl7fms,"clothing_store, point_of_interest, store, establishment"
"Attalla, AL",ethnic store,retail,445110,Rainbow City International Market,"3424 Rainbow Dr, Rainbow City, AL 35906, USA",(256) 442-3730,https://m.facebook.com/rainbowcityim/,33.9554015,-86.0407547,4.5,166.0,ChIJZUU_L7M7iogRRVE5WDVoR68,"grocery_or_supermarket, point_of_interest, store, food, establishment"
"Attalla, AL",grocery store,retail,445110,Fresh Value Alabama City,"2519 W Meighan Blvd, Gadsden, AL 35904, USA",(256) 257-1590,https://fresh-value.com/,34.0242424,-86.04405969999999,4.3,505.0,ChIJae8Nu089iogRtqOEpu30FZk,"grocery_or_supermarket, store, food, point_of_interest, establishment"
"Attalla, AL",grocery store,retail,445110,Piggly Wiggly,"250 AL-75 North, Albertville, AL 35950, USA",(256) 878-2075,https://www.pigglywiggly.com/,34.2780818,-86.2010675,4.3,847.0,ChIJy5_bQ9EciogR4nYBw_uM1bc,"grocery_or_supermarket, supermarket, store, food, point_of_interest, establishment"
"Attalla, AL",grocery store,retail,445110,Publix Super Market at Guntersville Landing,"2300 Gunter Ave, Guntersville, AL 35976, USA",(256) 571-2501,https://www.publix.com/?setstorenumber=1462&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,34.3338462,-86.3164911,4.7,1826.0,ChIJTXT15RL5iYgRhG-yC8JciyY,"supermarket, florist, liquor_store, bakery, grocery_or_supermarket, store, food, point_of_interest, establishment"
"Attalla, AL",grocery store,retail,445110,Food City,"7200 US-431, Albertville, AL 35950, USA",(256) 744-7255,https://www.foodcity.com/stores/store-details/501/?utm_source=google&utm_medium=organic&utm_campaign=google-business&utm_content=501-grocery,34.2777866,-86.2042245,4.5,1303.0,ChIJC7To3U4DiogRRYxFd-Lyslg,"grocery_or_supermarket, florist, supermarket, bakery, store, food, point_of_interest, establishment"
"Attalla, AL",grocery store,retail,445110,Ingles Markets,"1550 W Main St #601, Centre, AL 35960, USA",(256) 927-6461,https://www.ingles-markets.com/storelocate/storeinfo.php?storenum=601,34.158634,-85.702179,4.4,722.0,ChIJo-Xv0KRmiogR7jC24X-gJOU,"grocery_or_supermarket, pharmacy, supermarket, bakery, health, store, food, point_of_interest, establishment"
"Attalla, AL",grocery store,retail,445110,Johnson's Giant Food,"1720 E Meighan Blvd, Gadsden, AL 35903, USA",(256) 492-2244,http://johnsonsgiantfood.com/,33.9976992,-85.9668464,4.5,1722.0,ChIJgxJpxNQ4iogRxiqboCO-g7Y,"grocery_or_supermarket, supermarket, store, food, point_of_interest, establishment"
"Attalla, AL",grocery store,retail,445110,Alexandria Foodland,"85 Big Valley Dr, Alexandria, AL 36250, USA",(256) 847-8466,https://alexandriafoodland.com/,33.7811686,-85.898634,4.4,842.0,ChIJp5uYHFFKiogR37xgwqd5fIw,"grocery_or_supermarket, supermarket, store, food, point_of_interest, establishment"
"Attalla, AL",grocery store,retail,445110,Piggly Wiggly,"1455 Sunset Dr, Guntersville, AL 35976, USA",(256) 582-2865,https://www.pigglywiggly.com/store-locations/alabama/,34.3524716,-86.31424,4.4,652.0,ChIJS1-vKDj5iYgR4l8du03dY2s,"grocery_or_supermarket, supermarket, store, food, point_of_interest, establishment"
"Attalla, AL",grocery store,retail,445110,Johnson's Giant Food,"600 Walnut St, Gadsden, AL 35901, USA",(256) 547-2528,http://johnsonsgiantfood.com/,34.0107538,-86.0086657,4.5,1087.0,ChIJ00TAIKY-iogR4x9FLaXgzZM,"grocery_or_supermarket, supermarket, store, food, point_of_interest, establishment"
"Attalla, AL",grocery store,retail,445110,Publix Super Market at Shoppes at Rainbow Landing,"128 W Grand Ave, Rainbow City, AL 35906, USA",(256) 442-2509,https://www.publix.com/?setstorenumber=1476&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,33.9552368,-86.0439566,4.6,1700.0,ChIJN7RNVE06iogR35ZduE84BKs,"supermarket, florist, liquor_store, bakery, grocery_or_supermarket, store, food, point_of_interest, establishment"
"Attalla, AL",grocery store,retail,445110,Price Less IGA,"929 2nd Ave E, Oneonta, AL 35121, USA",(256) 875-3080,http://pricelessiga.com/,33.9554398,-86.46395489999999,4.3,716.0,ChIJIzisi_GQiYgReCH3qPoReic,"grocery_or_supermarket, supermarket, bakery, store, food, point_of_interest, establishment"
"Attalla, AL",grocery store,retail,445110,Piggly Wiggly,"10339 AL-168, Boaz, AL 35957, USA",(256) 593-7312,https://www.pigglywiggly.com/,34.1994022,-86.1612289,4.3,725.0,ChIJAwEDI-wbiogRG1bu6rR9T2I,"grocery_or_supermarket, supermarket, store, food, point_of_interest, establishment"
"Attalla, AL",grocery store,retail,445110,Pic'n Sav,"1470 W Main St L, Centre, AL 35960, USA",(256) 927-5661,http://pic-n-sav-centre.keeq.io/,34.1580453,-85.7001729,4.3,634.0,ChIJLS3SKaVmiogRE1hJaetKLeU,"grocery_or_supermarket, supermarket, store, food, point_of_interest, establishment"
"Attalla, AL",grocery store,retail,445110,Piggly Wiggly,"594 S Valley Ave, Collinsville, AL 35961, USA",(256) 524-2141,https://www.pigglywiggly.com/store-locations/alabama/,34.2569413,-85.8677295,4.2,307.0,ChIJ3-JjSfRtiogRmF5xyEVvLZk,"grocery_or_supermarket, supermarket, store, food, point_of_interest, establishment"
