Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Axis, AL",ethnic store,retail,445110,Rouses Market,"112 Saraland Loop, Saraland, AL 36571, USA",(251) 675-8124,https://www.rouses.com/,30.8249054,-88.0748507,4.6,1289.0,ChIJCd5wjo1WmogRr_Z82C1RO-o,"grocery_or_supermarket, liquor_store, supermarket, point_of_interest, store, food, establishment"
"Axis, AL",ethnic store,retail,,Simply Hair & Beauty,"3678 Airport Blvd, Mobile, AL 36608, USA",(251) 300-8236,http://beautysplus.com/,30.6768635,-88.1335622,5.0,244.0,ChIJF9cAujlNmogRrvR34nh9IjM,"point_of_interest, store, establishment"
"Axis, AL",ethnic store,retail,448140,Urban Unlimited,"2500 McVay Dr N, Mobile, AL 36605, USA",(251) 285-1594,,30.6457598,-88.1024303,4.3,21.0,ChIJ5VFDdjFMmogR1Mg1EkgJ-wA,"clothing_store, point_of_interest, store, establishment"
"Axis, AL",ethnic store,retail,442110,World Market,"10200 Eastern Shore Blvd Suite 160, Spanish Fort, AL 36527, USA",(251) 626-9927,https://stores.worldmarket.com/al/spanish-fort/10200-eastern-shore-blvd.html,30.6643233,-87.8471249,4.5,300.0,ChIJXdMYjCNomogR01bid6yYjJQ,"furniture_store, grocery_or_supermarket, home_goods_store, clothing_store, point_of_interest, store, food, establishment"
"Axis, AL",ethnic store,retail,445110,INTERNATIONAL MARKET,"851 Hillcrest Rd, Mobile, AL 36695, USA",(251) 229-6773,,30.6744172,-88.1898228,5.0,13.0,ChIJaebQjsGzm4gRJ7L8JzkwAv8,"grocery_or_supermarket, point_of_interest, store, food, establishment"
"Axis, AL",ethnic store,retail,445110,Rouses Market,"6729 Spanish Fort Blvd, Spanish Fort, AL 36527, USA",(251) 621-0552,https://www.rouses.com/,30.6714271,-87.90580779999999,4.5,1254.0,ChIJYU4G0xdDmogRDfJa3vwvYeA,"grocery_or_supermarket, liquor_store, supermarket, point_of_interest, store, food, establishment"
"Axis, AL",ethnic store,retail,445120,culture food mart,"446 Azalea Rd, Mobile, AL 36609, USA",(251) 607-6253,,30.6635851,-88.1523015,5.0,4.0,ChIJC_X0gPVNmogRqXdTmljAz4Y,"convenience_store, point_of_interest, store, food, establishment"
"Axis, AL",ethnic store,retail,448140,Stylish Diva Boutique,"312 Azalea Rd, Mobile, AL 36609, USA",(251) 408-9282,https://stylishdivaboutique.com/,30.6718992,-88.14999089999999,5.0,4.0,ChIJmRq6zTtNmogR29pSd89Rb1w,"clothing_store, point_of_interest, store, establishment"
"Axis, AL",ethnic store,retail,445110,Winn-Dixie,"740 Schillinger Rd N, Mobile, AL 36608, USA",(251) 639-3130,https://www.winndixie.com/,30.7060348,-88.2241842,4.3,1252.0,ChIJRch9h4ytm4gR3dsFh-7o1y8,"grocery_or_supermarket, point_of_interest, store, food, establishment"
"Axis, AL",ethnic store,retail,445110,Bellens Soap Company,"3299 Joe Treadwell Dr, Mobile, AL 36606, USA",(251) 321-7796,http://www.bellenssoapcompany.com/,30.6722559,-88.121512,5.0,101.0,ChIJQ7of-fxNmogRYGE7GxLPljI,"grocery_or_supermarket, point_of_interest, store, food, establishment"
"Axis, AL",ethnic store,retail,445110,AFRICAN - MARKET Sahara Supermarket,"18 A S Sage Ave, Mobile, AL 36606, USA",(251) 751-7495,,30.688194,-88.1149275,4.8,54.0,ChIJUXnGLnxSmogRlfop88WBYFY,"grocery_or_supermarket, point_of_interest, store, food, establishment"
"Axis, AL",ethnic store,retail,445110,La Bendicion,"310 Azalea Rd, Mobile, AL 36609, USA",(251) 344-0907,https://www.facebook.com/profile.php?id=100088290974405&mibextid=LQQJ4d,30.6720874,-88.1498538,4.2,82.0,ChIJS3cThxVNmogRg15IwXz3hp8,"grocery_or_supermarket, point_of_interest, store, food, establishment"
"Axis, AL",ethnic store,retail,,Ethnic Expressions Gift Shop,"4th St, Mobile, AL 36608, USA",,,30.6947404,-88.21206939999999,,,ChIJifFCGJCzm4gR-Ru0FXyqAeQ,"point_of_interest, store, establishment"
"Axis, AL",grocery store,retail,445110,Rouses Market,"7765 Airport Blvd Suite #609, Mobile, AL 36608, USA",(251) 272-5026,https://www.rouses.com/,30.6815268,-88.2240262,4.6,1035.0,ChIJ-_Hrdmuym4gRy0vo8P4_uEc,"grocery_or_supermarket, supermarket, liquor_store, food, point_of_interest, store, establishment"
"Axis, AL",grocery store,retail,445110,Publix Super Market at Hillwood Shopping Center,"2370 Hillcrest Rd J, Mobile, AL 36695, USA",(251) 661-5361,https://www.publix.com/?setstorenumber=1436&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,30.6410141,-88.1921227,4.6,1762.0,ChIJy3bvTxezm4gRHwsGLmj85Hk,"supermarket, florist, bakery, liquor_store, grocery_or_supermarket, food, point_of_interest, store, establishment"
"Axis, AL",grocery store,retail,445110,Publix Super Market at Bickley Station,"9124 Cottage Hill Rd, Mobile, AL 36695, USA",(251) 634-5141,https://www.publix.com/?utm_medium=maps&utm_source=google&utm_content=psm_google_override,30.6420239,-88.2574257,4.7,550.0,ChIJ674dmoqxm4gRheSPSU9KEwQ,"supermarket, florist, bakery, liquor_store, grocery_or_supermarket, food, point_of_interest, store, establishment"
"Axis, AL",grocery store,retail,445110,Walmart Neighborhood Market,"1970 S University Blvd, Mobile, AL 36609, USA",(251) 666-3373,https://www.walmart.com/store/5098-mobile-al/?veh=seo_loc,30.6495543,-88.1623489,4.0,1112.0,ChIJ_9Qx-9ZMmogRbSRllG5rTcg,"grocery_or_supermarket, department_store, supermarket, bakery, food, point_of_interest, store, establishment"
"Axis, AL",grocery store,retail,445110,Rouses Market,"3075 US-98, Daphne, AL 36526, USA",(251) 270-5006,https://www.rouses.com/,30.6195858,-87.9076233,4.5,721.0,ChIJwfK_T39DmogRr2l2zC_U_cw,"grocery_or_supermarket, supermarket, liquor_store, food, point_of_interest, store, establishment"
"Axis, AL",grocery store,retail,445110,Publix Super Market at Saraland Crossing,"21 Shell St, Saraland, AL 36571, USA",(251) 679-2995,https://www.publix.com/?setstorenumber=1650&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,30.805539,-88.110512,4.7,1793.0,ChIJux9fZ61VmogRYR8nFwb3nUg,"supermarket, florist, bakery, liquor_store, grocery_or_supermarket, food, point_of_interest, store, establishment"
"Axis, AL",grocery store,retail,445110,Publix Super Market at Eastern Shore Commons,"10179 Eastern Shore Dr, Spanish Fort, AL 36527, USA",(251) 621-9065,https://www.publix.com/?setstorenumber=1400&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,30.6739826,-87.8479742,4.6,1390.0,ChIJtXMhkiNomogRvqPJZZxfxn0,"supermarket, florist, bakery, liquor_store, grocery_or_supermarket, food, point_of_interest, store, establishment"
"Axis, AL",grocery store,retail,445110,Rouses Market,"4350 Old Shell Rd, Mobile, AL 36608, USA",(251) 380-0020,https://www.rouses.com/,30.6992379,-88.14346979999999,4.5,1147.0,ChIJW1BAm2JNmogRj9jLnutmSV8,"grocery_or_supermarket, supermarket, liquor_store, food, point_of_interest, store, establishment"
"Axis, AL",grocery store,retail,445110,Publix Super Market at Midtown Center,"100 N Florida St, Mobile, AL 36607, USA",(251) 471-4860,https://www.publix.com/?setstorenumber=1604&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,30.692432,-88.0989731,4.7,1860.0,ChIJi5QGAvpNmogRtjd8xscgRBg,"supermarket, florist, bakery, liquor_store, grocery_or_supermarket, food, point_of_interest, store, establishment"
"Axis, AL",grocery store,retail,445110,Publix Super Market at Sunset Point,"4628 Airport Blvd, Mobile, AL 36608, USA",(251) 341-5727,https://www.publix.com/?setstorenumber=1404&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,30.6767316,-88.16772329999999,4.6,2218.0,ChIJ2woSVrWym4gR-ZWeRSdWlPE,"supermarket, florist, bakery, liquor_store, grocery_or_supermarket, food, point_of_interest, store, establishment"
"Axis, AL",grocery store,retail,445110,Publix Super Market at Magnolia Place,"27955 US-98 Ste 1, Daphne, AL 36526, USA",(251) 626-1305,https://www.publix.com/?setstorenumber=1362&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,30.6311555,-87.9125739,4.7,1143.0,ChIJy-KT_5VDmogRWQ6jMliuETU,"supermarket, florist, bakery, liquor_store, grocery_or_supermarket, food, point_of_interest, store, establishment"
"Axis, AL",grocery store,retail,445110,Publix Super Market at Semmes Village Shopping Center,"2035 Schillinger Rd N #100, Semmes, AL 36575, USA",(251) 264-6020,https://www.publix.com/?utm_medium=maps&utm_source=google&utm_content=psm_google_override,30.7333339,-88.2266607,4.6,189.0,ChIJA4UdEZutm4gR944K8dC8bF4,"supermarket, florist, bakery, liquor_store, grocery_or_supermarket, food, point_of_interest, store, establishment"
"Axis, AL",grocery store,retail,445110,Winn-Dixie,"9948 Airport Blvd, Mobile, AL 36608, USA",(251) 639-1993,https://www.winndixie.com/,30.6724626,-88.27731899999999,4.3,1071.0,ChIJr2ueMrexm4gRjaBZu77DPio,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Axis, AL",grocery store,retail,445110,Walmart Neighborhood Market,"6350 Cottage Hill Rd, Mobile, AL 36609, USA",(251) 661-1717,https://www.walmart.com/store/4657-mobile-al/?veh=seo_loc,30.6415048,-88.18941919999999,4.0,729.0,ChIJoyAgkhezm4gRL1y6m06whNc,"grocery_or_supermarket, department_store, supermarket, bakery, food, point_of_interest, store, establishment"
