Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Ballplay, AL",ethnic store,retail,,Agricola Shopping Center,"301 N 12th St, Gadsden, AL 35901, USA",,,34.025011,-86.021675,3.9,711.0,ChIJt5lKjCI8iogRDYP4F7cKrPs,"shopping_mall, point_of_interest, establishment"
"Ballplay, AL",ethnic store,retail,445110,Rainbow City International Market,"3424 Rainbow Dr, Rainbow City, AL 35906, USA",(256) 442-3730,https://m.facebook.com/rainbowcityim/,33.9554015,-86.0407547,4.5,166.0,ChIJZUU_L7M7iogRRVE5WDVoR68,"grocery_or_supermarket, store, food, point_of_interest, establishment"
"Ballplay, AL",grocery store,retail,445110,Piggly Wiggly,"250 AL-75 North, Albertville, AL 35950, USA",(256) 878-2075,https://www.pigglywiggly.com/,34.2780818,-86.2010675,4.3,847.0,ChIJy5_bQ9EciogR4nYBw_uM1bc,"grocery_or_supermarket, supermarket, food, store, point_of_interest, establishment"
"Ballplay, AL",grocery store,retail,445110,Publix Super Market at Shoppes at Rainbow Landing,"128 W Grand Ave, Rainbow City, AL 35906, USA",(256) 442-2509,https://www.publix.com/?setstorenumber=1476&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,33.9552368,-86.0439566,4.6,1700.0,ChIJN7RNVE06iogR35ZduE84BKs,"supermarket, florist, liquor_store, grocery_or_supermarket, bakery, food, store, point_of_interest, establishment"
"Ballplay, AL",grocery store,retail,445110,Food City,"7200 US-431, Albertville, AL 35950, USA",(256) 744-7255,https://www.foodcity.com/stores/store-details/501/?utm_source=google&utm_medium=organic&utm_campaign=google-business&utm_content=501-grocery,34.2777866,-86.2042245,4.5,1303.0,ChIJC7To3U4DiogRRYxFd-Lyslg,"grocery_or_supermarket, florist, supermarket, bakery, food, store, point_of_interest, establishment"
"Ballplay, AL",grocery store,retail,445110,Fresh Value Alabama City,"2519 W Meighan Blvd, Gadsden, AL 35904, USA",(256) 257-1590,https://fresh-value.com/,34.0242424,-86.04405969999999,4.3,505.0,ChIJae8Nu089iogRtqOEpu30FZk,"grocery_or_supermarket, food, store, point_of_interest, establishment"
"Ballplay, AL",grocery store,retail,445110,Johnson's Giant Food,"600 Walnut St, Gadsden, AL 35901, USA",(256) 547-2528,http://johnsonsgiantfood.com/,34.0107538,-86.0086657,4.5,1087.0,ChIJ00TAIKY-iogR4x9FLaXgzZM,"grocery_or_supermarket, supermarket, food, store, point_of_interest, establishment"
"Ballplay, AL",grocery store,retail,445110,Foodland Plus,"313 Sand Mountain Dr, Albertville, AL 35950, USA",(256) 891-0390,https://www.foodlandgrocery.com/store-locations/albertville-foodland-plus/?utm_source=gbp&utm_medium=organic,34.264958,-86.2066016,4.5,1440.0,ChIJK4wyftQciogRxoMpooCAYY4,"grocery_or_supermarket, food, store, point_of_interest, establishment"
"Ballplay, AL",grocery store,retail,445110,Johnson's Giant Food,"1431 3rd St SW, Attalla, AL 35954, USA",(256) 538-7412,http://www.johnsonsgiantfood.com/,34.0061111,-86.1127778,4.6,1474.0,ChIJNY8AN7Q8iogR6vEv0qyGuaA,"grocery_or_supermarket, supermarket, food, store, point_of_interest, establishment"
"Ballplay, AL",grocery store,retail,445110,Piggly Wiggly,"10339 AL-168, Boaz, AL 35957, USA",(256) 593-7312,https://www.pigglywiggly.com/,34.1994022,-86.1612289,4.3,725.0,ChIJAwEDI-wbiogRG1bu6rR9T2I,"grocery_or_supermarket, supermarket, food, store, point_of_interest, establishment"
