Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Beaverton, AL",grocery store,retail,445110,DG Market,"17719 AL-18 E, Berry, AL 35546, USA",(205) 878-4382,https://www.dollargeneral.com/store-directory/al/berry/1501,33.6600814,-87.6040864,4.1,126.0,ChIJr4_W3DgphogRxI4CkXiTUtI,"grocery_or_supermarket, convenience_store, drugstore, health, home_goods_store, food, point_of_interest, store, establishment"
"Beaverton, AL",grocery store,retail,445110,DG Market,"5679 Cal-Kolola Rd, Caledonia, MS 39740, USA",(662) 356-1582,https://www.dollargeneral.com/store-directory/ms/caledonia/30044,33.6903112,-88.3400794,3.7,13.0,ChIJsX7SfADlhogRhzGWdCEUljw,"grocery_or_supermarket, convenience_store, drugstore, health, home_goods_store, food, point_of_interest, store, establishment"
"Beaverton, AL",grocery store,retail,452210,Walmart Supercenter,"1515 US-278, Amory, MS 38821, USA",(662) 256-1590,https://www.walmart.com/store/118-amory-ms/?veh=seo_loc,33.9687352,-88.4570092,4.1,1580.0,ChIJkT0u0YoXh4gRuukJyHsTz6w,"department_store, hardware_store, bakery, electronics_store, furniture_store, grocery_or_supermarket, home_goods_store, clothing_store, food, point_of_interest, store, establishment"
"Beaverton, AL",grocery store,retail,445110,DG Market,"9574 AL-18, Vernon, AL 35592, USA",(205) 872-1675,https://www.dollargeneral.com/store-directory/al/vernon/3584,33.7534079,-88.1142655,4.3,229.0,ChIJpduUT-1UhogRK1Oqv4PBHjU,"grocery_or_supermarket, convenience_store, drugstore, health, home_goods_store, food, point_of_interest, store, establishment"
"Beaverton, AL",grocery store,retail,452210,Walmart Supercenter,"1706 Military St S, Hamilton, AL 35570, USA",(205) 921-3090,https://www.walmart.com/store/1100-hamilton-al/?veh=seo_loc,34.1196479,-87.99213400000001,4.1,1445.0,ChIJjXKp_UG9h4gRJerMZq7V6vU,"department_store, hardware_store, bakery, electronics_store, furniture_store, grocery_or_supermarket, home_goods_store, clothing_store, food, point_of_interest, store, establishment"
"Beaverton, AL",grocery store,retail,445110,DG Market,"1429 Old Hackleburg Rd, Hackleburg, AL 35564, USA",(205) 498-2515,https://www.dollargeneral.com/store-directory/al/hackleburg/13274,34.2772254,-87.83358009999999,4.3,196.0,ChIJoUMIXxvth4gRA0YR_bT3qsw,"grocery_or_supermarket, convenience_store, drugstore, health, home_goods_store, food, point_of_interest, store, establishment"
"Beaverton, AL",grocery store,retail,452210,Walmart Supercenter,"3186 AL-171, Fayette, AL 35555, USA",(205) 932-5277,https://www.walmart.com/store/1052-fayette-al/?veh=seo_loc,33.7316627,-87.80902859999999,4.1,1042.0,ChIJdUfvHzU2hogRv0__H6yITV4,"department_store, hardware_store, bakery, electronics_store, furniture_store, grocery_or_supermarket, home_goods_store, clothing_store, food, point_of_interest, store, establishment"
"Beaverton, AL",grocery store,retail,452210,Walmart Supercenter,"2575 US-43, Winfield, AL 35594, USA",(205) 487-4359,https://www.walmart.com/store/362-winfield-al/?veh=seo_loc,33.9350701,-87.84070109999999,4.0,1267.0,ChIJ24YsnhbIh4gRKf8c0wQY_zo,"department_store, hardware_store, bakery, electronics_store, furniture_store, grocery_or_supermarket, home_goods_store, clothing_store, food, point_of_interest, store, establishment"
"Beaverton, AL",grocery store,retail,452210,Walmart Supercenter,"42466 AL-195, Haleyville, AL 35565, USA",(205) 486-9498,https://www.walmart.com/store/409-haleyville-al/?veh=seo_loc,34.2404501,-87.5987332,4.1,1351.0,ChIJt_V1pLbjh4gRV0gedfTlbag,"department_store, hardware_store, bakery, electronics_store, furniture_store, grocery_or_supermarket, home_goods_store, clothing_store, food, point_of_interest, store, establishment"
"Beaverton, AL",grocery store,retail,445110,Hamilton Shoppers Value,"481 Military St S, Hamilton, AL 35570, USA",(205) 921-2119,https://www.shoppersvaluefoodsstores.com/stores/view-store.html,34.136948,-87.9892059,4.3,443.0,ChIJ62Z_Zd-Xh4gRUtJttnSfdvU,"grocery_or_supermarket, supermarket, food, point_of_interest, store, establishment"
