Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Belle Fontaine, AL",ethnic store,retail,,Simply Hair & Beauty,"3678 Airport Blvd, Mobile, AL 36608, USA",(251) 300-8236,http://beautysplus.com/,30.6768635,-88.1335622,5.0,244.0,ChIJF9cAujlNmogRrvR34nh9IjM,"point_of_interest, store, establishment"
"Belle Fontaine, AL",ethnic store,retail,445110,Bellens Soap Company,"3299 Joe Treadwell Dr, Mobile, AL 36606, USA",(251) 321-7796,http://www.bellenssoapcompany.com/,30.6722559,-88.121512,5.0,101.0,ChIJQ7of-fxNmogRYGE7GxLPljI,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Belle Fontaine, AL",ethnic store,retail,445110,T & D Asian Food Market,"13382 Wintzell Ave, Bayou La Batre, AL 36509, USA",(251) 824-9132,http://t-d-asian-food-market.jany.io/,30.4126264,-88.2463349,4.2,50.0,ChIJ23Z-AKjOm4gRspyIStVgRP4,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Belle Fontaine, AL",ethnic store,retail,448140,Stylish Diva Boutique,"312 Azalea Rd, Mobile, AL 36609, USA",(251) 408-9282,https://stylishdivaboutique.com/,30.6718992,-88.14999089999999,5.0,4.0,ChIJmRq6zTtNmogR29pSd89Rb1w,"clothing_store, point_of_interest, store, establishment"
"Belle Fontaine, AL",ethnic store,retail,445110,INTERNATIONAL MARKET,"851 Hillcrest Rd, Mobile, AL 36695, USA",(251) 229-6773,,30.6744172,-88.1898228,5.0,13.0,ChIJaebQjsGzm4gRJ7L8JzkwAv8,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Belle Fontaine, AL",ethnic store,retail,448140,Urban Unlimited,"2500 McVay Dr N, Mobile, AL 36605, USA",(251) 285-1594,,30.6457598,-88.1024303,4.3,21.0,ChIJ5VFDdjFMmogR1Mg1EkgJ-wA,"clothing_store, point_of_interest, store, establishment"
"Belle Fontaine, AL",ethnic store,retail,,Ethnic Expressions Gift Shop,"4th St, Mobile, AL 36608, USA",,,30.6947404,-88.21206939999999,,,ChIJifFCGJCzm4gR-Ru0FXyqAeQ,"point_of_interest, store, establishment"
"Belle Fontaine, AL",grocery store,retail,445110,Fulton Grocery,"1288 Dauphin Island Pkwy, Mobile, AL 36605, USA",(251) 308-3931,,30.6469655,-88.08944149999999,4.1,74.0,ChIJJY2v5YFOmogRrV2gN4LLmOY,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Belle Fontaine, AL",grocery store,retail,445110,Greer's St. Louis Market,"260 St Louis St, Mobile, AL 36602, USA",(251) 305-4215,https://www.greers.com/?utm_source=google&utm_medium=organic&utm_campaign=st_louis_market,30.6936741,-88.0458534,4.6,401.0,ChIJ66prXqtPmogRdpiU3fm3gEM,"grocery_or_supermarket, supermarket, bakery, liquor_store, food, point_of_interest, store, establishment"
"Belle Fontaine, AL",grocery store,retail,445110,Rouses Market,"7765 Airport Blvd Suite #609, Mobile, AL 36608, USA",(251) 272-5026,https://www.rouses.com/,30.6815268,-88.2240262,4.6,1035.0,ChIJ-_Hrdmuym4gRy0vo8P4_uEc,"grocery_or_supermarket, supermarket, liquor_store, food, point_of_interest, store, establishment"
"Belle Fontaine, AL",grocery store,retail,445110,Dixons Grocery Store,"Alabama 36544, USA",,,30.4415032,-88.2462461,4.4,16.0,ChIJSez-VF_Jm4gRdFOdX5waNr8,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Belle Fontaine, AL",grocery store,retail,445110,Walmart Neighborhood Market,"6350 Cottage Hill Rd, Mobile, AL 36609, USA",(251) 661-1717,https://www.walmart.com/store/4657-mobile-al/?veh=seo_loc,30.6415048,-88.18941919999999,4.0,729.0,ChIJoyAgkhezm4gRL1y6m06whNc,"grocery_or_supermarket, supermarket, department_store, bakery, food, point_of_interest, store, establishment"
"Belle Fontaine, AL",grocery store,retail,445110,The Fresh Market,"3940 Airport Blvd A, Mobile, AL 36608, USA",(251) 344-8026,https://stores.thefreshmarket.com/al/mobile/42,30.677383,-88.14720799999999,4.4,660.0,ChIJsa-dv2pNmogRMitWe_NTE34,"grocery_or_supermarket, supermarket, bakery, food, point_of_interest, store, establishment"
"Belle Fontaine, AL",grocery store,retail,,Shop &,"1051 Dauphin Island Pkwy, Mobile, AL 36605, USA",(251) 473-1757,,30.6586455,-88.0888609,4.1,43.0,ChIJS5st0mRPmogRBAXLmcPjQjM,"store, point_of_interest, establishment"
"Belle Fontaine, AL",grocery store,retail,445110,Rouses Market,"7361 Theodore Dawes Rd, Theodore, AL 36582, USA",(251) 653-7391,https://www.rouses.com/,30.561824,-88.2151155,4.4,1708.0,ChIJn7G5zlK0m4gRDgCv9GR9qNI,"grocery_or_supermarket, supermarket, liquor_store, food, point_of_interest, store, establishment"
"Belle Fontaine, AL",grocery store,retail,445110,Greer's Downtown Market,"851 Government St, Mobile, AL 36602, USA",(251) 432-0100,https://www.greers.com/?utm_source=google&utm_medium=organic&utm_campaign=greers_downtown_market,30.68595179999999,-88.0529988,4.3,865.0,ChIJOcd5gjJOmogRAYIZ4IcK-HU,"grocery_or_supermarket, supermarket, bakery, liquor_store, food, point_of_interest, store, establishment"
"Belle Fontaine, AL",grocery store,retail,445110,Rouses Market,"3075 US-98, Daphne, AL 36526, USA",(251) 270-5006,https://www.rouses.com/,30.6195858,-87.9076233,4.5,721.0,ChIJwfK_T39DmogRr2l2zC_U_cw,"grocery_or_supermarket, supermarket, liquor_store, food, point_of_interest, store, establishment"
"Belle Fontaine, AL",grocery store,retail,445110,Rouses Market,"4350 Old Shell Rd, Mobile, AL 36608, USA",(251) 380-0020,https://www.rouses.com/,30.6992379,-88.14346979999999,4.5,1147.0,ChIJW1BAm2JNmogRj9jLnutmSV8,"grocery_or_supermarket, supermarket, liquor_store, food, point_of_interest, store, establishment"
"Belle Fontaine, AL",grocery store,retail,445110,Greer's CashSaver,"10835 B, 10835 Dauphin Island Pkwy, Theodore, AL 36582, USA",(251) 973-0309,http://www.greers.com/,30.4654685,-88.1140775,4.2,347.0,ChIJuaVFsjG1m4gRpkVvtxUyefc,"grocery_or_supermarket, atm, supermarket, bakery, liquor_store, food, point_of_interest, store, finance, establishment"
"Belle Fontaine, AL",grocery store,retail,445110,Vigouroux Market Place,"9948 Airport Blvd, Mobile, AL 36608, USA",,,30.67256769999999,-88.2775449,4.3,183.0,ChIJUbSXKLexm4gRaUjF3CZYbYU,"grocery_or_supermarket, food, point_of_interest, store, establishment"
