Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Benton, AL",grocery store,retail,445110,B & B Grocers,"2909 Water Ave, Selma, AL 36703, USA",,,32.4121145,-87.00207259999999,3.3,47.0,ChIJZVQC8R8Ej4gRIwnr7PiP6ro,"grocery_or_supermarket, store, point_of_interest, food, establishment"
"Benton, AL",grocery store,retail,445110,On The Run,"2800 Citizens Pkwy, Selma, AL 36701, USA",(334) 872-1658,https://ontherun.com/,32.4376856,-87.02177019999999,4.0,30.0,ChIJx4J8JUsEj4gRk4lns8Ry0iY,"grocery_or_supermarket, store, point_of_interest, food, establishment"
"Benton, AL",grocery store,retail,445110,Cooks Discount Snack Stand,"820 1st Ave, Selma, AL 36701, USA",(334) 875-2406,,32.4220431,-87.027036,3.6,20.0,ChIJBW0EGdIFj4gR-cukWptGKT8,"grocery_or_supermarket, store, point_of_interest, food, establishment"
"Benton, AL",grocery store,retail,445110,Winn-Dixie,"701 E Main St, Prattville, AL 36067, USA",(334) 365-7015,https://www.winndixie.com/StoreDetails,32.4618349,-86.455288,4.4,1649.0,ChIJnUrmS7SPjogRi7YjubrZzCw,"grocery_or_supermarket, store, point_of_interest, food, establishment"
"Benton, AL",grocery store,retail,452210,Target,"2754 Legends Pkwy, Prattville, AL 36066, USA",(334) 290-6000,https://www.target.com/sl/prattville/2274,32.4572257,-86.39591209999999,4.2,595.0,ChIJkcbxfxOFjogRuQ8YUjdNHYA,"department_store, shoe_store, electronics_store, furniture_store, clothing_store, home_goods_store, store, point_of_interest, establishment"
"Benton, AL",grocery store,retail,445110,Épicerie Hanafi,"Rue A lot Al Sakhi Bd Allal Al Fassi, AL 36785, USA",,,32.3182314,-86.902298,,,ChIJQdvNYQD_jogRFcmV0yQ5Q84,"grocery_or_supermarket, store, point_of_interest, food, establishment"
"Benton, AL",grocery store,retail,445110,Prattville Food Outlet,"720 E Main St, Prattville, AL 36067, USA",(334) 358-2718,,32.4588547,-86.4558258,4.2,730.0,ChIJo68SbrSPjogRi_mPKyeFQuA,"grocery_or_supermarket, supermarket, store, point_of_interest, food, establishment"
"Benton, AL",grocery store,retail,445110,ALDI,"1817 E Main St, Prattville, AL 36066, USA",(855) 955-2534,https://stores.aldi.us/al/prattville/1817-east-main-street?utm_source=google&utm_medium=local&utm_campaign=brand&utm_content=storepage_webclick,32.4614923,-86.4206658,4.4,982.0,ChIJEXDVrc6PjogRBfYRy-mC9OU,"supermarket, grocery_or_supermarket, store, point_of_interest, food, establishment"
"Benton, AL",grocery store,retail,445110,Winn-Dixie,"1952 W Dallas Ave, Selma, AL 36701, USA",(334) 872-7007,https://www.winndixie.com/,32.3984577,-87.0659577,4.3,846.0,ChIJUZ2s6KYIj4gRJRJ4B-cPTfk,"grocery_or_supermarket, store, point_of_interest, food, establishment"
"Benton, AL",grocery store,retail,445110,Hayneville AG,"615 AL-21 s, Hayneville, AL 36040, USA",(334) 548-2421,http://www.langley-inc.com/,32.179151,-86.5900372,4.1,157.0,ChIJD5sqBEtEjogR2XNM3mXF9JA,"grocery_or_supermarket, store, point_of_interest, food, establishment"
"Benton, AL",grocery store,retail,445110,Piggly Wiggly,"2003 US-31, Deatsville, AL 36022, USA",(334) 361-2425,https://www.shopatpigglywiggly.com/stores/deatsville,32.5820457,-86.46533900000001,4.5,917.0,ChIJ_2Xnk9OWjogRXfQkDplmh2U,"grocery_or_supermarket, supermarket, store, point_of_interest, food, establishment"
"Benton, AL",grocery store,retail,445110,B & J Grocery,"5601 Old Selma Rd, Montgomery, AL 36108, USA",(334) 262-5487,,32.3509288,-86.4325107,4.5,167.0,ChIJxZzYemKIjogRED4E1-VaHtk,"grocery_or_supermarket, store, point_of_interest, food, establishment"
