Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Blountsville, AL",,retail,445310,ABC SELECT SPIRITS,"300 Springville Sta Blvd, Springville, AL, 35146",+1-205-467-2534,https://www.alabcboard.gov/,33.7780217,-86.4342114,,,n_2870754849,shop=alcohol
"Blountsville, AL",,retail,452319,Dollar Tree,"300 Springville Station Boulevard, Springville, AL, 35146",,https://www.dollartree.com/locations/al/springville/4496/,33.7789116,-86.4343982,,,n_2870754852,"shop=variety_store, brand=Dollar Tree"
"Blountsville, AL",,retail,445120,,,,,34.2060882,-86.8722498,,,n_4640806660,shop=convenience
"Blountsville, AL",,retail,445120,,,,,34.203912,-86.8279799,,,n_4640851729,shop=convenience
"Blountsville, AL",,retail,445120,,,,,34.2026653,-86.8284171,,,n_4640851730,shop=convenience
"Blountsville, AL",,retail,453991,Steampunk Vape,,,,33.8529195,-86.8176457,,,n_5046688851,shop=tobacco
"Blountsville, AL",,retail,446120,Ulta Beauty,"1108 Cullman Shopping Center Northwest, Cullman, AL, 35055",+1 256-734-8874,https://www.ulta.com/stores/cullman-al-1115,34.1824338,-86.849606,,,n_5712412163,"shop=beauty, brand=Ulta Beauty"
"Blountsville, AL",,retail,445110,Piggly Wiggly,"415 Caldwell Drive, Warrior, AL, 35180",+1 205-647-3241,,33.8072708,-86.8104039,,,n_5713950595,"shop=supermarket, brand=Piggly Wiggly"
"Blountsville, AL",,retail,446120,Palm Beach Tan,,,https://palmbeachtan.com/locations/AL/Cullman-Patriot-Way-South-West,34.1525005,-86.8408219,,,n_5716212063,"shop=beauty, brand=Palm Beach Tan"
"Blountsville, AL",,retail,452210,TJ Maxx,,,,34.1509252,-86.8393091,,,n_5716219673,"shop=department_store, brand=TJ Maxx"
"Blountsville, AL",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/al/cullman/881/,34.1503634,-86.839315,,,n_5716219674,"shop=variety_store, brand=Dollar Tree"
"Blountsville, AL",,retail,446110,,,,,33.9040332,-86.6204991,,,n_7810229622,shop=chemist
"Blountsville, AL",,retail,445110,S & S Foods,,,,34.1753911,-86.6191135,,,n_7810359076,"shop=supermarket, brand=Grocery Outlet"
"Blountsville, AL",,retail,445120,RaceWay,,,,34.2997873,-86.2745151,,,n_9828345387,"shop=convenience, brand=RaceWay"
"Blountsville, AL",,retail,452210,Belk,,,,34.2989068,-86.2773903,,,n_9828345465,"shop=department_store, brand=Belk"
"Blountsville, AL",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/al/guntersville/2914/,34.2988295,-86.2767764,,,n_9828345466,"shop=variety_store, brand=Dollar Tree"
"Blountsville, AL",,retail,452319,pOpshelf,,,,34.2985642,-86.276004,,,n_9828345470,"shop=variety_store, brand=pOpshelf"
"Blountsville, AL",,retail,445110,ALDI,"11100 US Highway 431, Guntersville, AL, 35976",+1 833-470-7085,https://stores.aldi.us/al/guntersville/11100-us-hwy-431,34.2989006,-86.2667171,,,n_9828345619,"shop=supermarket, brand=ALDI"
"Blountsville, AL",,retail,446120,Mira Bella Salon,,,,34.2992231,-86.2657117,,,n_9828345656,shop=beauty
"Blountsville, AL",,retail,452319,Dollar General,"Hayden, AL, 35079",,https://www.dollargeneral.com/store-directory/al/hayden/9077,33.9104355,-86.7280589,,,n_9862852918,"shop=variety_store, brand=Dollar General"
"Blountsville, AL",,retail,452319,Dollar General,"4240 High Point Road, Albertville, AL, 35950",,https://www.dollargeneral.com/store-directory/al/albertville/15729,34.2422444,-86.2790211,,,n_9968143762,"shop=variety_store, brand=Dollar General"
"Blountsville, AL",,retail,445120,,,,,34.2415495,-86.2787333,,,n_9968143765,shop=convenience
"Blountsville, AL",,retail,445110,Dollar General,"Eva, AL, 35621",,https://www.dollargeneral.com/store-directory/al/eva/7550,34.3316885,-86.7604605,,,n_10720010218,"shop=supermarket, brand=Dollar General"
