Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Brundidge, AL",,retail,445120,,,,,31.608748,-85.4302721,,,n_1148153994,shop=convenience
"Brundidge, AL",,retail,446120,Palm Beach Tan,,,,31.4413063,-85.6507519,,,n_5072971751,"shop=beauty, brand=Palm Beach Tan"
"Brundidge, AL",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/al/ozark/2894/,31.4421961,-85.6524521,,,n_5072971754,"shop=variety_store, brand=Dollar Tree"
"Brundidge, AL",,retail,445110,Grocery Outlet,,,,31.4470287,-85.6551428,,,n_5072971772,"shop=supermarket, brand=Grocery Outlet"
"Brundidge, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/ozark/2738,31.4473989,-85.6549834,,,n_5072971773,"shop=variety_store, brand=Dollar General"
"Brundidge, AL",,retail,452210,Rose's,,,,31.447973,-85.6550188,,,n_5072971774,shop=department_store
"Brundidge, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/troy/3900,31.7857265,-85.9665589,,,n_6544541520,"shop=variety_store, brand=Dollar General"
"Brundidge, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/goshen/19824,31.8086044,-86.145361,,,n_7993989449,"shop=variety_store, brand=Dollar General"
"Brundidge, AL",,retail,445292,Great American Cookie Co,,,,31.8014408,-85.956003,,,n_9411807119,shop=confectionery
"Brundidge, AL",,retail,445110,Piggly Wiggly,"553 North Main Street, Brundidge, AL, 36010",+1 334-735-3337,,31.7265235,-85.8178782,,,n_11618396430,"shop=supermarket, brand=Piggly Wiggly"
"Brundidge, AL",,retail,445110,Piggly Wiggly,"288 North Union Avenue, Ozark, AL, 36360",+1 334-774-9333,,31.4624719,-85.6394725,,,n_11618396431,"shop=supermarket, brand=Piggly Wiggly"
"Brundidge, AL",,retail,445110,Publix,"1147 US Highway 231 South, Troy, AL, 36081",+1 334-807-5761,https://www.publix.com/locations/1525,31.7806395,-85.9546251,,,n_12552605030,"shop=supermarket, brand=Publix"
"Brundidge, AL",,retail,445110,Food Giant,"247 Eufaula Avenue, Clayton, AL, 36016",,,31.8790142,-85.4392416,,,w_511442357,shop=supermarket
"Brundidge, AL",,retail,445110,Walmart Supercenter,"1537 South Us Highway 231, Ozark, AL, 36360",+1 334-774-0272,https://www.walmart.com/store/740-ozark-al,31.4452436,-85.6507076,,,w_744532821,"shop=supermarket, brand=Walmart, operator=Walmart"
"Brundidge, AL",,retail,445110,Piggly Wiggly,,,,31.8143955,-85.9715958,,,w_1020455133,"shop=supermarket, brand=Piggly Wiggly"
"Brundidge, AL",,retail,446110,Walgreens,,,https://www.walgreens.com/locator/walgreens-100+elba+hwy-troy-al-36079/id=11098,31.7844232,-85.9639911,,,w_1020582620,"shop=chemist, brand=Walgreens"
"Brundidge, AL",,retail,445110,Walmart Supercenter,"1420 Highway 231 South, Troy, AL, 36081",+1 334-566-8012,https://www.walmart.com/store/723-troy-al,31.7808453,-85.9395246,,,w_1020582626,"shop=supermarket, brand=Walmart"
"Brundidge, AL",,retail,445110,Piggly Wiggly,"1235 Highway 231, Troy, AL, 36081",,,31.7799717,-85.9509343,,,w_1020582627,"shop=supermarket, brand=Piggly Wiggly"
"Brundidge, AL",,retail,452210,Ross,"1307 Highway 231, Troy, AL, 36081",+1 334-670-6943,,31.7780148,-85.9456306,,,w_1020582629,"shop=department_store, brand=Ross"
"Brundidge, AL",,retail,452210,TJ Maxx,,,,31.7778376,-85.9452753,,,w_1020582630,"shop=department_store, brand=TJ Maxx"
"Brundidge, AL",,retail,446120,Ulta Beauty,"1307 Highway 231 South, Troy, AL, 36081",+1 334-635-3824,https://www.ulta.com/stores/troy-al-1598,31.7777948,-85.9449271,,,w_1020582631,"shop=beauty, brand=Ulta Beauty"
"Brundidge, AL",,retail,452319,Five Below,,,,31.7777233,-85.9446323,,,w_1020582632,"shop=variety_store, brand=Five Below"
"Brundidge, AL",,retail,452210,Burkes Outlet,,,,31.7795149,-85.9488689,,,w_1020582660,shop=department_store
"Brundidge, AL",,retail,445292,Cakes by Joyce,,,,31.8073325,-85.9692596,,,w_1028085619,shop=confectionery
"Brundidge, AL",,retail,445292,bSweet Dessert Boutique,,,,31.8081009,-85.971673,,,w_1063403898,shop=confectionery
"Brundidge, AL",,retail,452319,LilyMag's Boutique,,,,31.8783844,-85.4488743,,,w_1079038914,shop=general
"Brundidge, AL",,retail,445310,ABC Store,,,,31.8783594,-85.4484344,,,w_1079038918,shop=alcohol
"Brundidge, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/clayton/1370,31.87885,-85.4475573,,,w_1079038927,"shop=variety_store, brand=Dollar General"
"Brundidge, AL",,retail,445120,Love's,,,https://www.loves.com/locations/566,31.427599,-85.6193735,,,w_1147422696,"shop=convenience, brand=Love's"
"Brundidge, AL",,retail,445120,Hobo Pantry,,,,31.4480632,-85.6590806,,,w_1161111644,shop=convenience
"Brundidge, AL",,retail,445120,Z-Tec,"803 U.S. Highway 231 South, Troy, AL, 36081",,,31.7902309,-85.9753839,,,w_1180285476,"shop=convenience, amenity=fuel"
"Brundidge, AL",,retail,445120,Circle K,"101 U.S. Highway 231 South, Troy, AL, 36081",,,31.7913387,-85.9777394,,,w_1180285532,"shop=convenience, brand=Circle K"
"Brundidge, AL",,retail,445120,Sunny South,,,,31.7930405,-85.9789269,,,w_1180285540,shop=convenience
"Brundidge, AL",,retail,445120,Marathon,,,,31.80812,-85.9902793,,,w_1180285586,"shop=convenience, brand=Marathon"
"Brundidge, AL",,retail,445120,Marathon,,,,31.8559064,-85.9977238,,,w_1180285656,"shop=convenience, brand=Marathon"
"Brundidge, AL",,retail,445120,Marathon,,,,31.6791196,-85.9570642,,,w_1180295467,"shop=convenience, brand=Marathon"
"Brundidge, AL",,retail,445120,Z-Tec,"1130 U.S. Highway 231 South, Troy, AL, 36080",,,31.7835065,-85.9548159,,,w_1180331164,shop=convenience
"Brundidge, AL",,retail,452319,Dollar General,"38 County Road 59, Brundidge, AL, 36010",,https://www.dollargeneral.com/store-directory/al/brundidge/17630,31.6444437,-85.8090141,,,w_1180505570,"shop=variety_store, brand=Dollar General"
"Brundidge, AL",,retail,445310,Corner Package Store,,,,31.6801089,-85.8251779,,,w_1180505579,shop=alcohol
"Brundidge, AL",,retail,445120,Marathon,,,,31.7194367,-85.8294441,,,w_1180505631,"shop=convenience, brand=Marathon"
"Brundidge, AL",,retail,445120,Citgo,,,,31.7208109,-85.8301907,,,w_1180505677,"shop=convenience, brand=Citgo"
"Brundidge, AL",,retail,445120,Inland,36360,,,31.4246969,-85.6179547,,,w_1180554204,"shop=convenience, brand=Inland"
"Brundidge, AL",,retail,445120,Shell,36360,,,31.4394877,-85.642229,,,w_1180554294,"shop=convenience, brand=Shell"
"Brundidge, AL",,retail,445120,Shell,36360,,,31.447164,-85.6579339,,,w_1180554420,"shop=convenience, brand=Shell"
"Brundidge, AL",,retail,445120,,,,,31.4477868,-85.6568323,,,w_1180554430,shop=convenience
"Brundidge, AL",,retail,445110,,,,,31.7099465,-85.610112,,,w_1207533458,shop=supermarket
"Brundidge, AL",,retail,445110,Hometown Foods,"1961 Main Street, Louisville, AL, 36048",,,31.7834986,-85.5557314,,,w_1207578403,shop=supermarket
"Brundidge, AL",,retail,446110,Clayton Drugs,"23 Court Square, Clayton, AL, 36016",,,31.8779354,-85.4490555,,,w_1207578415,shop=chemist
"Brundidge, AL",,retail,452319,Kenny's,,,,31.8674588,-85.4332598,,,w_1207583389,shop=general
"Brundidge, AL",,retail,452319,Bob Boyd's Gen Mdse,,,,31.7427603,-85.4249265,,,w_1213815992,shop=general
