Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Bucks, AL",,retail,452319,Family Dollar,,,,31.2649504,-88.0308103,,,n_2443797230,"shop=variety_store, brand=Family Dollar"
"Bucks, AL",,retail,445110,Food Tiger,,,,31.2657345,-88.0306387,,,n_2443797240,shop=supermarket
"Bucks, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/mcintosh/9969,31.2658674,-88.0323445,,,n_2443797244,"shop=variety_store, brand=Dollar General"
"Bucks, AL",,retail,445120,7 Spice,"3762 Airport Boulevard, 36608",,,30.6767345,-88.1392879,,,n_2563489818,"shop=convenience, amenity=restaurant"
"Bucks, AL",,retail,445110,Walmart Neighborhood Market,"2570 Government Boulevard, Mobile, AL, 36606",+1 251-586-6481,https://www.walmart.com/store/5740-mobile-al,30.6698286,-88.1042696,,,n_5315596710,"shop=supermarket, brand=Walmart, operator=Walmart"
"Bucks, AL",,retail,445110,Walmart Neighborhood Market,"1300 North University, Mobile, AL, 36618",+1 251-586-6227,https://www.walmart.com/store/4210/mobile-al,30.7171309,-88.1633413,,,n_5315598096,"shop=supermarket, brand=Walmart, operator=Walmart"
"Bucks, AL",,retail,445120,Circle K,,,,30.830085,-88.093407,,,n_5556460988,shop=convenience
"Bucks, AL",,retail,445120,Premium Novelties,,,,30.6765128,-88.117951,,,n_5556867611,shop=convenience
"Bucks, AL",,retail,453110,Saraland Florist & Gift Shop,"37 Shelton Beach Road, Saraland, AL, 36571",+1-251-675-4814,http://saralandflorist.com,30.8232458,-88.0724906,,,n_5769870713,shop=florist
"Bucks, AL",,retail,452319,Dollar Tree,"1500 Government Street, Mobile, AL",,https://www.dollartree.com/locations/al/mobile/2799/,30.6814361,-88.0730778,,,n_6950257050,"shop=variety_store, brand=Dollar Tree"
"Bucks, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/mobile/6650,30.6712344,-88.0988227,,,n_9106929350,"shop=variety_store, brand=Dollar General"
"Bucks, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/mobile/8719,30.6907881,-88.1210231,,,n_10102270334,"shop=variety_store, brand=Dollar General"
"Bucks, AL",,retail,445120,Circle K,,,,30.6882018,-88.1227106,,,n_10102302241,"shop=convenience, brand=Circle K"
"Bucks, AL",,retail,445110,Piggly Wiggly,"10760 Lott Road, Chunchula, AL, 36521",+1 251-645-4433,https://wedigthepig.com/,30.9150408,-88.2780125,,,n_11618396407,"shop=supermarket, brand=Piggly Wiggly"
