Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Cedar Bluff, AL",,retail,445120,HWY 48 Food Mart,,,,34.4727823,-85.3702669,,,n_974266579,shop=convenience
"Cedar Bluff, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/fort-payne/1934,34.4591228,-85.7074426,,,n_1360647462,"shop=variety_store, brand=Dollar General"
"Cedar Bluff, AL",,retail,445120,Circle K,,,,34.4386305,-85.7565995,,,n_1360686845,"shop=convenience, brand=Circle K"
"Cedar Bluff, AL",,retail,445110,Bruce's Foodland,,,,34.4672743,-85.7014345,,,n_1360686867,shop=supermarket
"Cedar Bluff, AL",,retail,445120,Country Store,,,,34.5006459,-85.6183999,,,n_4415250182,shop=convenience
"Cedar Bluff, AL",,retail,452210,Big Lots,"110 Dekalb Plaza Boulevard Southwest, Fort Payne, AL, 35967",+1 256-845-8186,https://local.biglots.com/al/fort-payne/110-dekalb-plaza-blvd-sw,34.4312223,-85.7337316,,,n_6376254430,"shop=department_store, brand=Big Lots"
"Cedar Bluff, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/fort-payne/943,34.4397062,-85.723469,,,n_6376254437,"shop=variety_store, brand=Dollar General"
"Cedar Bluff, AL",,retail,445120,Xtreme,,,,34.4591348,-85.7064102,,,n_6376254442,shop=convenience
"Cedar Bluff, AL",,retail,445110,Price Less IGA,,,,34.4614569,-85.7050261,,,n_6376254454,"shop=supermarket, brand=IGA"
"Cedar Bluff, AL",,retail,452210,Hammer's,,,,34.4437719,-85.7208136,,,n_6376254458,shop=department_store
"Cedar Bluff, AL",,retail,445120,MAPCO,,,,34.4510049,-85.6858653,,,n_6376301577,shop=convenience
"Cedar Bluff, AL",,retail,445120,Timesaver,,,,34.4667159,-85.6481802,,,n_6376301580,shop=convenience
"Cedar Bluff, AL",,retail,445110,Fyffe Foodland,,,,34.443161,-85.908923,,,n_6376600463,shop=supermarket
"Cedar Bluff, AL",,retail,452319,Dollar General,"1258 Main Street, Fyffe, AL, 35971",,https://www.dollargeneral.com/store-directory/al/fyffe/3986,34.4447625,-85.9083855,,,n_6376600464,"shop=variety_store, brand=Dollar General"
"Cedar Bluff, AL",,retail,445120,Mapco,,,,34.4582603,-85.707951,,,n_6376686465,"shop=convenience, brand=Mapco"
"Cedar Bluff, AL",,retail,445120,Mapco,,,,34.4900645,-85.6807377,,,n_6376730052,"shop=convenience, brand=Mapco"
"Cedar Bluff, AL",,retail,445120,MAPCO,,,,34.5090321,-85.6937654,,,n_6376730066,shop=convenience
"Cedar Bluff, AL",,retail,452319,West Rome Trading Company,"2523 Shorter Avenue, Rome, GA, 30165",+1-706-237-7911,https://www.westrometradingcompany.com/,34.2718731,-85.2419021,,,n_6618295840,shop=variety_store
"Cedar Bluff, AL",,retail,452319,Dollar Tree,"1583 Rome Highway, Cedartown, GA, 30125",,https://www.dollartree.com/locations/ga/cedartown/3513/,34.0451532,-85.2397285,,,n_9083962737,"shop=variety_store, brand=Dollar Tree"
"Cedar Bluff, AL",,retail,446120,Queen's Nails,,,,34.044669,-85.2393048,,,n_9083962747,shop=beauty
"Cedar Bluff, AL",,retail,445110,Kroger,"730 North Main Street, Cedartown, GA, 30125",+1 770-749-1619,https://www.kroger.com/stores/grocery/ga/cedartown/cedar-plaza/011/00429,34.0248806,-85.2484336,,,n_9084174963,"shop=supermarket, brand=Kroger"
"Cedar Bluff, AL",,retail,445120,Circle K,"3070 Cedartown Highway, Rome, GA, 30161",,,34.1749224,-85.2081445,,,n_9084657396,"shop=convenience, brand=Circle K"
"Cedar Bluff, AL",,retail,445120,Citgo,"102 Park Avenue, Lindale, GA, 30147",,,34.1866781,-85.1747851,,,n_9097768761,"shop=convenience, brand=Citgo"
"Cedar Bluff, AL",,retail,445120,Axis Food Mart,"839 Park Avenue, Lindale, GA, 30147",,,34.1721706,-85.1750864,,,n_9097769018,shop=convenience
"Cedar Bluff, AL",,retail,445120,Kwik Shop,"1190 Booze Mountain Road, Lindale, GA, 30147",,,34.1711372,-85.1762515,,,n_9097769021,"shop=convenience, brand=Kwik Shop"
"Cedar Bluff, AL",,retail,452319,Dollar General,"10551 Commerce Street, Summerville, GA, 30747",,https://www.dollargeneral.com/store-directory/ga/summerville/2001,34.4870003,-85.3440392,,,n_9102754834,"shop=variety_store, brand=Dollar General"
"Cedar Bluff, AL",,retail,445120,Circle K,,,,34.4921736,-85.3403614,,,n_9102754835,"shop=convenience, brand=Circle K"
