Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Dauphin Island, AL",,retail,445120,Compac Food Stores,,,,30.4943676,-88.3371586,,,n_891155976,shop=convenience
"Dauphin Island, AL",,retail,445120,Waves,,,,30.2443478,-87.7163479,,,n_1910737664,shop=convenience
"Dauphin Island, AL",,retail,445110,Publix,"22530 US Highway 98, Fairhope, AL, 36532-6398",+1 251-929-7355,https://www.publix.com/locations/1265,30.555695,-87.890899,,,n_3281357970,"shop=supermarket, brand=Publix"
"Dauphin Island, AL",,retail,446120,Knu Spa,59 North Section Street,+1 251-929-5099,https://www.facebook.com/Knu-Spa-870406889719318/,30.5250428,-87.9031441,,,n_3855242457,shop=beauty
"Dauphin Island, AL",,retail,445120,Pierce Street Market,,,,30.5250893,-87.9028319,,,n_3855242458,shop=convenience
"Dauphin Island, AL",,retail,445110,Walmart Neighborhood Market,"7320 Theodore Dawes Road, Theodore, AL, 36582",+1 251-370-1723,https://www.walmart.com/store/5744-theodore-al,30.5637903,-88.2131224,,,n_5315596708,"shop=supermarket, brand=Walmart, operator=Walmart"
"Dauphin Island, AL",,retail,445120,,,,,30.5240159,-87.8867914,,,n_9819371793,shop=convenience
"Dauphin Island, AL",,retail,446110,Walgreens,"2 Greeno Road South, Fairhope, AL, 36532",,https://www.walgreens.com/locator/walgreens-2+greeno+rd+s-fairhope-al-36532/id=6084,30.5232166,-87.8869133,,,n_9819371794,"shop=chemist, brand=Walgreens"
"Dauphin Island, AL",,retail,445110,Winn-Dixie,"187 Baldwin Square, Fairhope, AL, 36532",+1 251-990-5188,https://www.winndixie.com/storedetails/fairhope/al?search=599,30.5206562,-87.8847345,,,n_9819442098,"shop=supermarket, brand=Winn-Dixie"
"Dauphin Island, AL",,retail,452210,Big Lots,"150 Eastern Shore Shopping Center, Fairhope, AL, 36532",+1 251-929-3640,https://local.biglots.com/al/fairhope/150-eastern-shore-shopping-ctr,30.5230879,-87.8848106,,,n_9819442101,"shop=department_store, brand=Big Lots"
"Dauphin Island, AL",,retail,446120,,,,,30.5232916,-87.8848875,,,n_9819442104,shop=beauty
