Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Dodge City, AL",,retail,445120,,,,,34.2060882,-86.8722498,,,n_4640806660,shop=convenience
"Dodge City, AL",,retail,445120,,,,,34.203912,-86.8279799,,,n_4640851729,shop=convenience
"Dodge City, AL",,retail,445120,,,,,34.2026653,-86.8284171,,,n_4640851730,shop=convenience
"Dodge City, AL",,retail,453991,Steampunk Vape,,,,33.8529195,-86.8176457,,,n_5046688851,shop=tobacco
"Dodge City, AL",,retail,446120,Ulta Beauty,"1108 Cullman Shopping Center Northwest, Cullman, AL, 35055",+1 256-734-8874,https://www.ulta.com/stores/cullman-al-1115,34.1824338,-86.849606,,,n_5712412163,"shop=beauty, brand=Ulta Beauty"
"Dodge City, AL",,retail,445110,Piggly Wiggly,"415 Caldwell Drive, Warrior, AL, 35180",+1 205-647-3241,,33.8072708,-86.8104039,,,n_5713950595,"shop=supermarket, brand=Piggly Wiggly"
"Dodge City, AL",,retail,446120,Palm Beach Tan,,,https://palmbeachtan.com/locations/AL/Cullman-Patriot-Way-South-West,34.1525005,-86.8408219,,,n_5716212063,"shop=beauty, brand=Palm Beach Tan"
"Dodge City, AL",,retail,452210,TJ Maxx,,,,34.1509252,-86.8393091,,,n_5716219673,"shop=department_store, brand=TJ Maxx"
"Dodge City, AL",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/al/cullman/881/,34.1503634,-86.839315,,,n_5716219674,"shop=variety_store, brand=Dollar Tree"
"Dodge City, AL",,retail,446110,,,,,33.9040332,-86.6204991,,,n_7810229622,shop=chemist
"Dodge City, AL",,retail,445110,S & S Foods,,,,34.1753911,-86.6191135,,,n_7810359076,"shop=supermarket, brand=Grocery Outlet"
"Dodge City, AL",,retail,445230,Sandlin Produce,"3403 Airport Road, Jasper, 35504",(205) 387-0320,,33.89635,-87.2694168,,,n_9517526017,shop=greengrocer
"Dodge City, AL",,retail,452319,Dollar General,"Hayden, AL, 35079",,https://www.dollargeneral.com/store-directory/al/hayden/9077,33.9104355,-86.7280589,,,n_9862852918,"shop=variety_store, brand=Dollar General"
"Dodge City, AL",,retail,445110,Dollar General,"Eva, AL, 35621",,https://www.dollargeneral.com/store-directory/al/eva/7550,34.3316885,-86.7604605,,,n_10720010218,"shop=supermarket, brand=Dollar General"
"Dodge City, AL",,retail,452319,Dollar General,,,,34.3682213,-86.9000347,,,n_10981774995,"shop=variety_store, brand=Dollar General"
"Dodge City, AL",,retail,445120,,,,,34.3684135,-86.9080844,,,n_10981774999,shop=convenience
"Dodge City, AL",,retail,445110,Dollar General Market,,,https://www.dollargeneral.com/store-directory/al/falkville/11230,34.3693436,-86.9067668,,,n_10981814309,"shop=supermarket, brand=Dollar General Market"
"Dodge City, AL",,retail,446120,Beautiful Heart Day Spa,,,,33.946341,-86.4735849,,,n_11879667473,shop=beauty
"Dodge City, AL",,retail,446120,Styles Unlimited,,,,33.945526,-86.4752785,,,n_11879667477,shop=beauty
"Dodge City, AL",,retail,446120,Nail Star,,,,33.9476365,-86.470957,,,n_12093884973,shop=beauty
"Dodge City, AL",,retail,446120,The Nail Spa,,,https://nail-spa-andover-mn.com,33.9586823,-86.4638138,,,n_12095881406,shop=beauty
"Dodge City, AL",,retail,453991,Smoke n’ Dip,,,,33.9589219,-86.4634655,,,n_12099411876,shop=tobacco
"Dodge City, AL",,retail,445110,Azteca Supermarket,"1112 2nd Avenue East, Oneonta, AL, 35121",+1 205-493-4527,,33.9593484,-86.4631101,,,n_12099491056,shop=supermarket
"Dodge City, AL",,retail,445120,,,,,34.2072238,-86.8821291,,,n_12180406444,shop=convenience
"Dodge City, AL",,retail,445120,Tiger Mart,,,,34.2086339,-86.8816239,,,n_12180406445,"shop=convenience, brand=Tiger Mart"
"Dodge City, AL",,retail,446191,The Root Health and Wellness,"28252 Alabama 75, Oneonta, AL, 35121",+1 205-274-7369,,33.9391743,-86.4875112,,,n_12263057781,shop=health_food
"Dodge City, AL",,retail,446120,New Beginnings Salon,,,,33.9391934,-86.4874221,,,n_12265501903,shop=beauty
"Dodge City, AL",,retail,452319,Dollar General,,,,34.2506699,-86.8226119,,,n_12351232683,"shop=variety_store, brand=Dollar General"
"Dodge City, AL",,retail,445120,,,,,34.1722565,-87.1148363,,,n_12535281934,shop=convenience
"Dodge City, AL",,retail,445120,Shell,,,,33.9838218,-86.5869197,,,n_12564678247,"shop=convenience, brand=Shell"
"Dodge City, AL",,retail,445230,Dixie’s Produce Market,"25564 Highway 75, Oneonta, AL, 35121",,,33.9086188,-86.5120307,,,n_12669264002,shop=greengrocer
"Dodge City, AL",,retail,445120,,,,,33.8436084,-87.2515669,,,n_12696654479,shop=convenience
"Dodge City, AL",,retail,453991,Tobacco Country,"1309 4th Street Southwest, Cullman, AL, 35055",,,34.1724607,-86.8527245,,,n_12761944600,shop=tobacco
"Dodge City, AL",,retail,445120,Love's,,,,34.3672971,-86.8937219,,,w_220388747,"shop=convenience, brand=Love's"
"Dodge City, AL",,retail,452319,Dollar General,,,,34.1980522,-87.1640748,,,w_289934562,"shop=variety_store, brand=Dollar General"
"Dodge City, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/cullman/11184,34.2090744,-87.0544542,,,w_289934563,"shop=variety_store, brand=Dollar General"
"Dodge City, AL",,retail,445120,,,,,34.2076622,-86.8766399,,,w_469799321,shop=convenience
"Dodge City, AL",,retail,445120,Conoco,"5982 Highway 157, Cullman, AL, 35058",,,34.2076962,-86.8748658,,,w_469799323,"shop=convenience, brand=Conoco"
"Dodge City, AL",,retail,445110,Walmart Supercenter,"626 Olive Street Southwest, Cullman, AL, 35055",+1 256-739-1664,https://www.walmart.com/store/670-cullman-al,34.1490925,-86.8421996,,,w_511599556,"shop=supermarket, brand=Walmart, operator=Walmart"
"Dodge City, AL",,retail,446110,CVS Pharmacy,,,https://www.cvs.com/store-locator/warrior-al-pharmacies/434-hwy-31-warrior-al-35180/storeid=4843,33.8061109,-86.8117761,,,w_601115127,"shop=chemist, brand=CVS Pharmacy"
"Dodge City, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/warrior/1642,33.8085468,-86.812445,,,w_601116104,"shop=variety_store, brand=Dollar General"
"Dodge City, AL",,retail,445110,Walmart Supercenter,"5601 Highway 157, Cullman, AL, 35058",+1 256-615-6667,https://www.walmart.com/store/7280-cullman-al,34.2043165,-86.8695694,,,w_601354365,"shop=supermarket, brand=Walmart, operator=Walmart"
"Dodge City, AL",,retail,445110,ALDI,"1831 Cherokee Avenue Southwest, Cullman, AL, 35055",+1 833-470-7039,https://stores.aldi.us/al/cullman/1831-cherokee-ave-sw,34.1534389,-86.8420516,,,w_601414948,"shop=supermarket, brand=ALDI"
"Dodge City, AL",,retail,445120,Ice House,,,,34.1717869,-86.8503082,,,w_608375942,shop=convenience
"Dodge City, AL",,retail,445110,Publix,"1104 Cullman Shopping Center Northwest, Cullman, AL, 35055-2855",+1 256-736-7000,https://www.publix.com/locations/1503,34.1814387,-86.8494003,,,w_718229805,"shop=supermarket, brand=Publix"
"Dodge City, AL",,retail,452210,Belk,,,,34.1825383,-86.8510923,,,w_718229810,"shop=department_store, brand=Belk"
"Dodge City, AL",,retail,445310,ABC Store,,,,34.1830513,-86.851387,,,w_718229811,shop=alcohol
"Dodge City, AL",,retail,452210,Ross,"1224 Cullman Shopping Center, Cullman, AL, 35055",+1 256-736-9216,,34.183295,-86.8515211,,,w_718229812,"shop=department_store, brand=Ross"
"Dodge City, AL",,retail,452319,Five Below,,+1 256-736-5496,https://locations.fivebelow.com/al/cullman/1230-cullman-shopping-ctr-nw,34.1837195,-86.8515856,,,w_718229814,"shop=variety_store, brand=Five Below"
"Dodge City, AL",,retail,445120,Circle K,,,,34.2065056,-86.8753703,,,w_729962256,"shop=convenience, brand=Circle K"
"Dodge City, AL",,retail,445120,,,,,34.2061835,-86.8736651,,,w_729962260,shop=convenience
"Dodge City, AL",,retail,446110,Payless Drug Store,"585 Morris Majestic Road, Morris, AL, 35116",,,33.7474508,-86.8099225,,,w_753563011,shop=chemist
"Dodge City, AL",,retail,452319,Po' Boys Country Store,,,,33.8465019,-86.6617446,,,w_836597117,shop=general
