Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Emerald Mountain, AL",,retail,445120,Coosa Mart,"1669 Highway 31 North, Pratville, AL, 36022",,,32.547099,-86.4580469,,,n_2505394266,"shop=convenience, amenity=fuel, brand=BP"
"Emerald Mountain, AL",,retail,445110,Catherine's Market,"17 Russell Farms Road, Alexander City, AL, 35010",+1-256-215-7070,https://www.catherinesatcrossroads.com/,32.7659486,-85.9449854,,,n_4048358552,shop=supermarket
"Emerald Mountain, AL",,retail,446120,Bath & Body Works,,,,32.3582812,-86.167477,,,n_4315597164,"shop=cosmetics, brand=Bath & Body Works"
"Emerald Mountain, AL",,retail,452210,Ross,"2556 Berryhill Road, Montgomery, AL, 36117",+1 334-272-0996,,32.3595596,-86.160432,,,n_4315597186,"shop=department_store, brand=Ross"
"Emerald Mountain, AL",,retail,445110,Walmart Supercenter,"6495 Atlanta Highway, Montgomery, AL, 36117",+1 334-272-0263,https://www.walmart.com/store/938-montgomery-al,32.385046,-86.184915,,,n_5315594654,"shop=supermarket, brand=Walmart, operator=Walmart"
"Emerald Mountain, AL",,retail,445110,Walmart Neighborhood Market,"1600 Federal Drive, Montgomery, AL, 36107",+1 334-777-5865,https://www.walmart.com/store/4672/montgomery-al,32.402505,-86.266962,,,n_5315597961,"shop=supermarket, brand=Walmart, operator=Walmart"
"Emerald Mountain, AL",,retail,446110,City Drug,,,,32.3776972,-86.3086961,,,n_6451078970,shop=chemist
"Emerald Mountain, AL",,retail,445310,S L T Package Store,,,,32.3788885,-86.3103328,,,n_6451078981,shop=alcohol
"Emerald Mountain, AL",,retail,445110,Commissary,,,,32.3750706,-86.3549734,,,n_7281083354,shop=supermarket
"Emerald Mountain, AL",,retail,452210,Base Exchange,,+1 334-834-5946,https://www.shopmyexchange.com/exchange-stores/United%20States/AL/Maxwell%20AFB%20/Maxwell-AFB--1031605,32.3744027,-86.3542335,,,n_7281091324,shop=department_store
"Emerald Mountain, AL",,retail,445310,Class Six,,,,32.37684,-86.3540317,,,n_7281317367,shop=alcohol
"Emerald Mountain, AL",,retail,452210,Burlington,"7721 Eastchase Parkway, Montgomery, AL, 36117",+1 334-781-6403,https://stores.burlington.com/al/montgomery/408,32.3626892,-86.1563254,,,n_7947127356,"shop=department_store, brand=Burlington"
"Emerald Mountain, AL",,retail,446120,Avon,,,,32.4648743,-86.3960552,,,n_7985722018,"shop=cosmetics, brand=Avon"
"Emerald Mountain, AL",,retail,452210,Ross,"2760 Legends Parkway, Prattville, AL, 36066",+1 334-285-7237,,32.4574343,-86.3947825,,,n_7989043175,"shop=department_store, brand=Ross"
"Emerald Mountain, AL",,retail,452210,TJ Maxx,,,,32.4573075,-86.3968867,,,n_7989043180,"shop=department_store, brand=TJ Maxx"
"Emerald Mountain, AL",,retail,452210,Target,"2754 Legends Parkway, Prattville, AL, 36066-7748",+1 334-290-6000,https://www.target.com/sl/prattville/2274,32.457389,-86.3955161,,,n_7989043181,"shop=department_store, brand=Target"
"Emerald Mountain, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/prattville/3232,32.465293,-86.4526807,,,n_8004360817,"shop=variety_store, brand=Dollar General"
"Emerald Mountain, AL",,retail,446191,Fountain City,,,,32.4650706,-86.4502412,,,n_8004360861,shop=health_food
"Emerald Mountain, AL",,retail,445310,Select Spirits,,,,32.460743,-86.4539708,,,n_8010760224,shop=alcohol
"Emerald Mountain, AL",,retail,445110,Fred's,,,,32.4612319,-86.4539856,,,n_8010760226,shop=supermarket
