Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Eutaw, AL",,retail,452319,Family Dollar,,,,32.9977066,-87.6225516,,,n_2681643924,"shop=variety_store, brand=Family Dollar"
"Eutaw, AL",,retail,445110,Walmart Supercenter,"969 Us Highway 80 West, Demopolis, AL, 36732",+1 334-289-2385,https://www.walmart.com/store/731-demopolis-al,32.493003,-87.849349,,,n_5315596464,"shop=supermarket, brand=Walmart, operator=Walmart"
"Eutaw, AL",,retail,453110,Forever Lou's,"1301 Main Street, Greensboro, AL, 36744",+1 334 662 3045,https://www.facebook.com/telenaaiken/,32.7040183,-87.5946439,,,n_8511661701,shop=florist
"Eutaw, AL",,retail,446120,Irene's Beauty Palace,"1303 Main Street, Greensboro, AL, 36744",+1 334 624 3190,,32.7040241,-87.5947348,,,n_8522730283,shop=beauty
"Eutaw, AL",,retail,453110,,"1311 Main Street, Greensboro, AL, 36744",,,32.7040254,-87.5949703,,,n_8572639750,shop=florist
"Eutaw, AL",,retail,446120,,,,,32.7022611,-87.5958328,,,n_8644750353,shop=beauty
"Eutaw, AL",,retail,446110,CVS Pharmacy,,,https://www.cvs.com/store-locator/greensboro-al-pharmacies/675-tuscaloosa-street-greensboro-al-36744/storeid=4917,32.7007623,-87.5946795,,,n_9084470062,"shop=chemist, brand=CVS Pharmacy"
"Eutaw, AL",,retail,445110,Food Outlet,"641 Tuscaloosa Street, Greensboro, AL, 36744",+1 334-624-8338,,32.7004392,-87.5946784,,,n_10084844411,shop=supermarket
"Eutaw, AL",,retail,452319,Dollar Tree,,,,32.4972621,-87.8499603,,,n_12385189298,"shop=variety_store, brand=Dollar Tree"
"Eutaw, AL",,retail,445120,TJ & J Grocery And Deli,,,,32.9147061,-87.9928945,,,n_13034187121,shop=convenience
"Eutaw, AL",,retail,452319,The Country Store,,,,32.9875924,-87.9133766,,,n_13052671586,shop=general
"Eutaw, AL",,retail,445120,Circle K,,,,32.9883135,-87.7887562,,,n_13054180233,"shop=convenience, brand=Circle K"
"Eutaw, AL",,retail,445110,Fosters FoodLand,,,,33.0935901,-87.6853923,,,n_13054553000,"shop=supermarket, brand=FoodLand"
"Eutaw, AL",,retail,445120,Fosters Food And Deli,,,,33.1081879,-87.6742345,,,n_13054688524,shop=convenience
"Eutaw, AL",,retail,453991,Kings Tobacco,,,,32.6242585,-88.2053046,,,n_13063824590,shop=tobacco
"Eutaw, AL",,retail,445110,FoodLand,,,,32.6075297,-88.1846655,,,n_13063847440,"shop=supermarket, brand=FoodLand"
"Eutaw, AL",,retail,445120,L&B Travel Plaza,"651 AL 28, Livingston, AL, 35470",+1 (205) 652-6460,,32.6232005,-88.2074643,,,w_461631901,shop=convenience
"Eutaw, AL",,retail,445120,,,,,32.6235123,-88.2064701,,,w_461631904,shop=convenience
"Eutaw, AL",,retail,445120,,,,,32.6242631,-88.2053127,,,w_461631907,shop=convenience
"Eutaw, AL",,retail,445120,,,,,32.6249904,-88.2057305,,,w_461631909,shop=convenience
"Eutaw, AL",,retail,445120,Food Mart,"17619 County Road 20, Boligee, AL, 35443",,,32.7943072,-88.0308185,,,w_461639911,shop=convenience
"Eutaw, AL",,retail,445120,Marathon,,,,32.7988126,-88.0325155,,,w_461640776,shop=convenience
"Eutaw, AL",,retail,445120,,,,,32.9883099,-87.7887576,,,w_461647508,shop=convenience
"Eutaw, AL",,retail,445120,,,,,33.0948719,-87.6850673,,,w_461648906,shop=convenience
"Eutaw, AL",,retail,445120,Love's,,,,32.8664304,-87.9225424,,,w_838828844,"shop=convenience, brand=Love's"
"Eutaw, AL",,retail,446120,Swan Salon,"Main Street, Greensboro, AL",,,32.7039791,-87.5959857,,,w_915660354,shop=beauty
"Eutaw, AL",,retail,452319,Dollar General,"Tuscaloosa Street, Greensboro, AL, 36744",,,32.7054521,-87.5950983,,,w_915660360,"shop=variety_store, brand=Dollar General"
"Eutaw, AL",,retail,452319,Family Dollar,"Tuscaloosa Street, Greensboro, AL, 36744",,,32.705067,-87.5950469,,,w_915660361,"shop=variety_store, brand=Family Dollar"
"Eutaw, AL",,retail,446120,Mission Mark,"1102 Tuscaloosa Street, Greensboro, AL",+1 334 624 0027,https://www.facebook.com/missionmarkbeauty/,32.7054654,-87.5959354,,,w_915660362,shop=cosmetics
"Eutaw, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/moundville/1075,33.0031734,-87.6174163,,,w_1019605148,"shop=variety_store, brand=Dollar General"
"Eutaw, AL",,retail,445120,Robertson BBQ & Country Store,,,,33.0435767,-87.7661781,,,w_1388333795,shop=convenience
