Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Geneva, AL",,retail,445310,,,,,31.2949307,-85.4773211,,,n_3414108911,shop=alcohol
"Geneva, AL",,retail,445110,Winn-Dixie,"1571 Westgate Parkway, Dothan, AL, 36303",+1 334-794-4377,https://www.winndixie.com/storedetails/dothan/al?search=426,31.25947,-85.43219,,,n_3414108914,"shop=supermarket, brand=Winn-Dixie"
"Geneva, AL",,retail,445110,Walmart Supercenter,"600 Boll Weevil Circle, Enterprise, AL, 36330",+1 334-347-5353,https://www.walmart.com/store/734-enterprise-al,31.3157087,-85.8265113,,,n_4234468503,"shop=supermarket, brand=Walmart, operator=Walmart"
"Geneva, AL",,retail,453110,Miles Of Flowers,"4143 West Main Street, Dothan, AL, 36305",+1-334-699-5773,https://www.milesofflowers.com/,31.2339355,-85.4543342,,,n_6210542454,shop=florist
"Geneva, AL",,retail,452319,Dollar Tree,"3341 South Oates Street, Dothan, AL, 36301-5889",+1-334-547-6002,https://www.dollartree.com/locations/al/dothan/1095/,31.1785786,-85.4006526,,,n_7684553157,"shop=variety_store, brand=Dollar Tree"
"Geneva, AL",,retail,452210,TJ Maxx,,,,31.2462223,-85.4247296,,,n_9198286006,"shop=department_store, brand=TJ Maxx"
"Geneva, AL",,retail,452319,Five Below,,+1 334-792-5144,https://locations.fivebelow.com/al/dothan/3500-ross-clark-cir,31.2460951,-85.4238613,,,n_9198286008,"shop=variety_store, brand=Five Below"
"Geneva, AL",,retail,445110,Publix,"3525 Ross Clark Circle, Dothan, AL, 36303",+1 334-792-4281,https://www.publix.com/locations/1369,31.2484097,-85.4288195,,,n_9227200517,"shop=supermarket, brand=Publix"
"Geneva, AL",,retail,452319,Roses,,,,31.1934218,-85.4045822,,,n_9544092098,"shop=variety_store, brand=Roses"
"Geneva, AL",,retail,452319,Ollie's Bargain Outlet,,,,31.1932316,-85.4040448,,,n_9544092099,"shop=variety_store, brand=Ollie's Bargain Outlet"
"Geneva, AL",,retail,452319,Dirt Cheap,,,,31.1931548,-85.4037782,,,n_9544092100,shop=variety_store
"Geneva, AL",,retail,445310,Rainbow Liquors,,,,30.7660902,-85.686041,,,n_10557754457,shop=alcohol
"Geneva, AL",,retail,452319,Dollar Tree,,,,31.0492585,-85.8970719,,,n_11079745231,"shop=variety_store, brand=Dollar Tree"
"Geneva, AL",,retail,452210,Burlington,"3102 Ross Clark Circle, Dothan, AL, 36303",+1 334-792-4999,https://stores.burlington.com/al/dothan/582,31.2289381,-85.4308515,,,n_11369458281,"shop=department_store, brand=Burlington"
"Geneva, AL",,retail,446120,Dothan Nails Spa,"3341 South Oates Street, Dothan, AL, 36301",+1 -334-671-8118,https://dothannailsspa-al.com,31.1785749,-85.4006166,,,n_11414218106,"shop=beauty, operator=Huong Nguyen"
"Geneva, AL",,retail,445110,Piggly Wiggly,"5355 Cotton Street, Graceville, FL, 32440",+1 850-263-6360,,30.9576393,-85.5172664,,,n_11618396415,"shop=supermarket, brand=Piggly Wiggly"
"Geneva, AL",,retail,445110,Piggly Wiggly,"911 North Waukesha Street, Bonifay, FL, 32425",+1 850-547-3826,http://www.bonifaypigglywiggly.com,30.8008299,-85.6801556,,,n_11618396416,"shop=supermarket, brand=Piggly Wiggly"
"Geneva, AL",,retail,445110,Publix,"847 Boll Weevil Circle, Enterprise, AL, 36330-2476",+1 334-348-1489,https://www.publix.com/locations/1402,31.3260852,-85.8380514,,,n_11618396432,"shop=supermarket, brand=Publix"
"Geneva, AL",,retail,445110,ALDI,"630 Boll Weevil Circle, Enterprise, AL, 36330",+1 877-482-1088,https://stores.aldi.us/al/enterprise/630-boll-weevil-cir,31.3186656,-85.8286398,,,n_11618396433,"shop=supermarket, brand=ALDI"
"Geneva, AL",,retail,445110,Piggly Wiggly,"621 Boll Weevile Circle, Enterprise, AL, 36330",+1 334-709-9000,,31.3193616,-85.832386,,,n_11618396434,"shop=supermarket, brand=Piggly Wiggly"
"Geneva, AL",,retail,445110,Piggly Wiggly,"1020 Geneva Highway, Enterprise, AL, 36330",+1 334-347-9254,http://www.pigglywigglyenterprise.com,31.3009432,-85.8574601,,,n_11618396435,"shop=supermarket, brand=Piggly Wiggly"
