Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Grant, AL",,retail,445120,Hollytree Grocery,"11620 AL Hwy 65, Hollytree, 35751",,,34.8022599,-86.2493836,,,n_463676090,shop=convenience
"Grant, AL",,retail,445110,Star Supermarket,,,,34.7385841,-86.5762711,,,n_664322420,shop=supermarket
"Grant, AL",,retail,445120,5 Pts. BP,,,,34.7383108,-86.5769873,,,n_667416160,shop=convenience
"Grant, AL",,retail,445120,,,,,34.7489915,-86.5922688,,,n_696297448,shop=convenience
"Grant, AL",,retail,445120,,,,,34.7157146,-86.6200866,,,n_697155266,shop=convenience
"Grant, AL",,retail,452210,Target,"2750 Carl T Jones Drive Southeast, Huntsville, AL, 35802-4914",+1 256-650-3491,https://www.target.com/sl/huntsville-south/1367,34.6735029,-86.5422231,,,n_702326649,"shop=department_store, brand=Target"
"Grant, AL",,retail,445120,Unisversity Jet Pep,,,,34.7350082,-86.6115459,,,n_704043123,shop=convenience
"Grant, AL",,retail,445120,Shop,,,,34.7696091,-86.4841174,,,n_805570784,"shop=convenience, operator=Dollar General"
"Grant, AL",,retail,445120,,,,,34.5877067,-86.4517152,,,n_921116254,shop=convenience
"Grant, AL",,retail,445120,Mt. Gap food Mart,,,,34.6245366,-86.5413249,,,n_974272363,shop=convenience
"Grant, AL",,retail,445120,Chevron,,,,34.7005509,-86.3848185,,,n_993705534,"shop=convenience, brand=Chevron"
"Grant, AL",,retail,446120,Venus Nails,,,,34.6573573,-86.4879241,,,n_993725048,shop=beauty
"Grant, AL",,retail,452210,TJ Maxx,"975 Airport Road Southwest, Huntsville, AL, 35802",+1-256-880-6829,https://tjmaxx.tjx.com/store/stores/Huntsville-AL-35802/705/aboutstore,34.689958,-86.5780382,,,n_1003335950,"shop=department_store, brand=TJ Maxx"
"Grant, AL",,retail,452319,Family Dollar,"809 Wellman Avenue Northeast, Huntsville, 35801",,,34.7379942,-86.5761089,,,n_1004185595,"shop=variety_store, brand=Family Dollar, operator=Family Dollar"
"Grant, AL",,retail,445120,Clean Fuels 25,"593 Rockvale Road, Laceys Spring, 35754",256 498-0667,,34.4724712,-86.5691107,,,n_1004590771,shop=convenience
"Grant, AL",,retail,445120,,,,,34.7391159,-86.5825501,,,n_1020326718,shop=convenience
"Grant, AL",,retail,445310,Wagon Wheel Liquors,"6846 US-431, Owens Cross Road, AL, 35763",,,34.6530422,-86.4804375,,,n_3462613492,shop=alcohol
"Grant, AL",,retail,452319,Dollar General,"6466 Hwy 431 S, Owens Cross Roads, AL, 35763",,https://www.dollargeneral.com/store-directory/al/hampton-cove/6797,34.6649201,-86.4873308,,,n_3462662559,"shop=variety_store, brand=Dollar General"
"Grant, AL",,retail,445110,Walmart Neighborhood Market,"2305 Jordan Lane Southwest, Huntsville, AL, 35805",+1 256-755-3080,https://www.walmart.com/store/5925-huntsville-al,34.7135989,-86.6249168,,,n_5315596644,"shop=supermarket, brand=Walmart Neighborhood Market, operator=Walmart"
"Grant, AL",,retail,445110,The Fresh Market,"4800 Whitesburg Drive South, Huntsville, AL",+1-256-880-9042,https://stores.thefreshmarket.com/al/huntsville/83,34.6921142,-86.5702528,,,n_5736778188,"shop=supermarket, brand=The Fresh Market"
"Grant, AL",,retail,446120,Revive Nails and Massage Therapy,,,,34.6596502,-86.5409566,,,n_5749611269,shop=beauty
"Grant, AL",,retail,446120,Sun Kissed,,,,34.6591387,-86.5399684,,,n_5749611275,shop=beauty
"Grant, AL",,retail,445110,Fyffe Foodland,,,,34.443161,-85.908923,,,n_6376600463,shop=supermarket
"Grant, AL",,retail,452319,Dollar General,"1258 Main Street, Fyffe, AL, 35971",,https://www.dollargeneral.com/store-directory/al/fyffe/3986,34.4447625,-85.9083855,,,n_6376600464,"shop=variety_store, brand=Dollar General"
"Grant, AL",,retail,446120,Victoria Nails,,,,34.816735,-86.4927026,,,n_6788421283,shop=beauty
"Grant, AL",,retail,453110,Blue Violet Florist,7901 Memorial parkway,,,34.6618961,-86.5716504,,,n_6951293183,shop=florist
"Grant, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/huntsville/6093,34.6443834,-86.5405131,,,n_7804838030,"shop=variety_store, brand=Dollar General"
"Grant, AL",,retail,452210,Ross,"7360 Highway 431, Albertville, AL, 35950",+1 256-878-0726,,34.2792681,-86.207199,,,n_7804950041,"shop=department_store, brand=Ross"
"Grant, AL",,retail,453991,Smoke Land,"2719 Patton Road Southwest, Huntsville, AL, 35805",2564893595,https://smokeland-al.business.site/,34.7124299,-86.6264895,,,n_8150310554,shop=tobacco
"Grant, AL",,retail,445110,ALDI,"2900 Memorial Parkway Southwest, Huntsville, AL, 35801",+1 833-470-7083,https://stores.aldi.us/al/huntsville/2900-a-memorial-pkwy-sw,34.7066621,-86.5908024,,,n_8713131695,"shop=supermarket, brand=ALDI"
"Grant, AL",,retail,445110,ALDI,"2125 Winchester Road Northeast, Huntsville, AL, 35811",+1 833-470-7082,https://stores.aldi.us/al/huntsville/2125-winchester-rd-ne,34.8176119,-86.495243,,,n_8713369962,"shop=supermarket, brand=ALDI"
"Grant, AL",,retail,445310,,,,,34.6139519,-86.569488,,,n_8853842083,shop=alcohol
"Grant, AL",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/al/huntsville/2500/,34.6143802,-86.5694589,,,n_8863163472,"shop=variety_store, brand=Dollar Tree"
"Grant, AL",,retail,446120,Victoria Nails,,,,34.6606378,-86.4849665,,,n_8889143356,shop=beauty
"Grant, AL",,retail,445120,Circle K,"11040 Memorial Parkway Southwest, Huntsville, AL, 35803",,,34.6294929,-86.5680106,,,n_8927881618,"shop=convenience, brand=Circle K"
"Grant, AL",,retail,445120,Speedway,"11431 South Memorial Parkway, Huntsville, AL, 35803",,,34.6298822,-86.5661464,,,n_8927881668,"shop=convenience, brand=Speedway"
"Grant, AL",,retail,445120,Mapco,,,,34.6138689,-86.5665599,,,n_9416708938,shop=convenience
"Grant, AL",,retail,445110,Piggly Wiggly,"250 Alabama Highway 75 North, Albertville, AL, 35950",+1 256-878-2075,,34.2778427,-86.2012966,,,n_9651626281,"shop=supermarket, brand=Piggly Wiggly"
"Grant, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/albertville/15890,34.2785538,-86.1992035,,,n_9651662181,"shop=variety_store, brand=Dollar General"
"Grant, AL",,retail,445110,Food City,,,,34.2780094,-86.2039423,,,n_9651719839,"shop=supermarket, brand=Food City"
"Grant, AL",,retail,446120,Ulta Beauty,"7200 Florida Short Route, Albertville, AL, 35951",+1 256-857-3114,https://www.ulta.com/stores/albertville-al-1635,34.2777502,-86.2033413,,,n_9651719841,"shop=beauty, brand=Ulta Beauty"
"Grant, AL",,retail,452210,TJ Maxx,,,,34.2792685,-86.2067589,,,n_9651772469,"shop=department_store, brand=TJ Maxx"
"Grant, AL",,retail,446120,Nails World,,,,34.2792198,-86.2078696,,,n_9651772471,shop=beauty
"Grant, AL",,retail,445120,RaceWay,,,,34.2997873,-86.2745151,,,n_9828345387,"shop=convenience, brand=RaceWay"
"Grant, AL",,retail,452210,Belk,,,,34.2989068,-86.2773903,,,n_9828345465,"shop=department_store, brand=Belk"
"Grant, AL",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/al/guntersville/2914/,34.2988295,-86.2767764,,,n_9828345466,"shop=variety_store, brand=Dollar Tree"
"Grant, AL",,retail,452319,pOpshelf,,,,34.2985642,-86.276004,,,n_9828345470,"shop=variety_store, brand=pOpshelf"
"Grant, AL",,retail,445110,ALDI,"11100 US Highway 431, Guntersville, AL, 35976",+1 833-470-7085,https://stores.aldi.us/al/guntersville/11100-us-hwy-431,34.2989006,-86.2667171,,,n_9828345619,"shop=supermarket, brand=ALDI"
"Grant, AL",,retail,446120,Mira Bella Salon,,,,34.2992231,-86.2657117,,,n_9828345656,shop=beauty
"Grant, AL",,retail,445110,Kroger,"8404 Memorial Parkway Southwest, Huntsville, AL, 35802",+1 256-881-5696,https://www.kroger.com/stores/grocery/al/huntsville/logan-square/026/00849,34.6566457,-86.5712642,,,n_9862744917,"shop=supermarket, brand=Kroger"
"Grant, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/albertville/545,34.2672975,-86.2061826,,,n_9902967004,"shop=variety_store, brand=Dollar General"
"Grant, AL",,retail,445120,,,,,34.2606767,-86.1884387,,,n_9968139989,shop=convenience
"Grant, AL",,retail,452319,Dollar General,"4240 High Point Road, Albertville, AL, 35950",,https://www.dollargeneral.com/store-directory/al/albertville/15729,34.2422444,-86.2790211,,,n_9968143762,"shop=variety_store, brand=Dollar General"
"Grant, AL",,retail,445120,,,,,34.2415495,-86.2787333,,,n_9968143765,shop=convenience
"Grant, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/albertville/20894,34.2859303,-86.2306429,,,n_10775425366,"shop=variety_store, brand=Dollar General"
"Grant, AL",,retail,452319,Dollar General,"Section, AL",,,34.5834304,-85.9896827,,,n_10778297652,"shop=variety_store, brand=Dollar General"
"Grant, AL",,retail,445110,FoodLand,"Section, AL",,,34.5839248,-85.9886103,,,n_10778297653,"shop=supermarket, brand=FoodLand"
"Grant, AL",,retail,452319,Dollar Tree,,,,34.3343973,-86.5051007,,,n_10779203300,"shop=variety_store, brand=Dollar Tree"
"Grant, AL",,retail,445110,Publix,"310 Pelham Avenue Southwest, Huntsville, AL, 35801-5016",+1 256-534-2330,https://www.publix.com/locations/1451,34.7234245,-86.5839255,,,n_10823042890,"shop=supermarket, brand=Publix"
"Grant, AL",,retail,445110,Halsey Foodservice,,,,34.7333388,-86.5878972,,,n_10828176859,shop=supermarket
"Grant, AL",,retail,452210,TJ Maxx,"Scottsboro, AL",,,34.6663693,-86.0150482,,,n_11300391987,"shop=department_store, brand=TJ Maxx"
"Grant, AL",,retail,452319,Dollar General,"4397 Cathedral Caverns Highway, Grant, AL, 35747",,https://www.dollargeneral.com/store-directory/al/grant/4136,34.513529,-86.2604967,,,n_11331855394,"shop=variety_store, brand=Dollar General"
"Grant, AL",,retail,445120,,,,,34.5113126,-86.2609434,,,n_11331855395,shop=convenience
"Grant, AL",,retail,445120,,,,,34.516379,-86.2567968,,,n_11331855397,shop=convenience
"Grant, AL",,retail,446120,Infinity Med-I-Spa,"7914 Memorial Parkway Southwest, Huntsville, AL, 35802",+1-256-880-3672,https://med-i-spa.com/locations/huntsville/,34.6616146,-86.5718323,,,n_11368035181,shop=beauty
"Grant, AL",,retail,446120,Classy Nails,"2750 Carl T Jones Drive Southeast, Huntsville, AL, 35802",1-256-880-8884,https://www.facebook.com/people/Classy-Nails/100086513105752/,34.6730214,-86.5413132,,,n_11370360561,shop=beauty
"Grant, AL",,retail,452319,Five Below,"2750 Carl T Jones Drive Southeast, Huntsville, AL, 35802",1-256-880-5185,https://locations.fivebelow.com/al/huntsville/2750-carl-t-jones-drive,34.6744575,-86.5435569,,,n_11370360565,"shop=variety_store, brand=Five Below"
"Grant, AL",,retail,446120,Bath & Body Works,"2750 Carl T Jones Drive Southeast, Huntsville, AL, 35802",1-256-947-5350,,34.6749187,-86.5445047,,,n_11370360568,"shop=cosmetics, brand=Bath & Body Works"
"Grant, AL",,retail,452319,Dollar Tree,"2750 Carl T Jones Drive Southeast, Huntsville, AL, 35802",1-256-755-3224,https://www.dollartree.com/locations/al/huntsville/8686/,34.6749374,-86.5447902,,,n_11370375470,"shop=variety_store, brand=Dollar Tree"
"Grant, AL",,retail,452210,Marshalls,"2750 Carl T Jones Drive Southeast, Huntsville, AL, 35802",1-256-881-8131,https://www.marshalls.com/us/store/stores/Huntsville-AL-35802/422/aboutstore,34.6749729,-86.5455986,,,n_11370375474,"shop=department_store, brand=Marshalls"
"Grant, AL",,retail,446120,European Wax Center,"2750 Carl T Jones Drive Southeast, Huntsville, AL, 35802",1-256-936-4400,https://locations.waxcenter.com/al/huntsville/huntsville-valley-bend-1142.html,34.6749813,-86.5460573,,,n_11370375475,"shop=beauty, brand=European Wax Center"
"Grant, AL",,retail,446120,Tonya Jones SalonSpa,"2722 Carl T Jones Drive Southeast, Huntsville, AL, 35802",1-256-277-9120,https://tonyajonessalon.com/about-us/locations/jones-valley/,34.6758815,-86.5479142,,,n_11370375483,shop=beauty
"Grant, AL",,retail,445110,Grant Foodland,,,,34.5152071,-86.2572208,,,n_11503377251,shop=supermarket
"Grant, AL",,retail,446120,Gigi's Hair & Nail Salon,"Rainsville, AL, 35986",,,34.4985447,-85.8547403,,,n_11578514389,shop=beauty
"Grant, AL",,retail,446110,Rainsville Drugs,"Rainsville, AL, 35986",,,34.4983514,-85.8544685,,,n_11578514391,shop=chemist
"Grant, AL",,retail,445120,Triple-T Mini Market,"Section, AL",,,34.586173,-85.9902922,,,n_11578609370,shop=convenience
"Grant, AL",,retail,445110,Publix,"4851 Whitesburg Drive Southeast, Huntsville, AL, 35802-1626",+1 256-650-2390,https://www.publix.com/locations/574,34.6927586,-86.5661762,,,n_11651005441,"shop=supermarket, brand=Publix"
"Grant, AL",,retail,445110,Piggly Wiggly,"6022 Highway 72 East, Gurley, AL, 35748",+1 256-776-3661,https://www.shopmypig.com/,34.69547,-86.371,,,n_11651005442,"shop=supermarket, brand=Piggly Wiggly"
"Grant, AL",,retail,445110,Piggly Wiggly,"10199 Highway 431, New Hope, AL, 35760",+1 256-723-4142,https://www.shopmypig.com/,34.5492435,-86.4301043,,,n_11651005443,"shop=supermarket, brand=Piggly Wiggly"
"Grant, AL",,retail,445110,Piggly Wiggly,"1455 Sunset Drive, Guntersville, AL, 35976",+1 256-582-2865,https://www.foodgiant.com,34.3522811,-86.3143271,,,n_11651005444,"shop=supermarket, brand=Piggly Wiggly"
"Grant, AL",,retail,452319,Dollar Tree,"McCurdy Avenue North, Rainsville, AL",,https://www.dollartree.com/locations/al/rainsville/8278/,34.4942271,-85.8465463,,,n_11658339923,"shop=variety_store, brand=Dollar Tree"
"Grant, AL",,retail,446120,Rainsville Nails,"Rainsville, AL",,,34.4934262,-85.8466569,,,n_11658339961,shop=beauty
