Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Gurley, AL",,retail,445120,Hollytree Grocery,"11620 AL Hwy 65, Hollytree, 35751",,,34.8022599,-86.2493836,,,n_463676090,shop=convenience
"Gurley, AL",,retail,446110,Walgreens,"298 Hughes Road, Madison, AL, 35758",,https://www.walgreens.com/locator/walgreens-298+hughes+rd-madison-al-35758/id=19809,34.7063144,-86.7428229,,,n_470512006,"shop=chemist, brand=Walgreens"
"Gurley, AL",,retail,452210,Target,"6275 University Drive Northwest, Huntsville, AL, 35806",+1 256-922-0169,https://www.target.com/sl/huntsville-west/1346,34.7410978,-86.6821021,,,n_493609205,"shop=department_store, brand=Target"
"Gurley, AL",,retail,445110,Star Supermarket,,,,34.7385841,-86.5762711,,,n_664322420,shop=supermarket
"Gurley, AL",,retail,445120,5 Pts. BP,,,,34.7383108,-86.5769873,,,n_667416160,shop=convenience
"Gurley, AL",,retail,445120,,,,,34.7489915,-86.5922688,,,n_696297448,shop=convenience
"Gurley, AL",,retail,445120,,,,,34.7157146,-86.6200866,,,n_697155266,shop=convenience
"Gurley, AL",,retail,452210,Target,"2750 Carl T Jones Drive Southeast, Huntsville, AL, 35802-4914",+1 256-650-3491,https://www.target.com/sl/huntsville-south/1367,34.6735029,-86.5422231,,,n_702326649,"shop=department_store, brand=Target"
"Gurley, AL",,retail,445120,,,,,34.7353462,-86.6334382,,,n_704025000,"shop=convenience, amenity=fuel"
"Gurley, AL",,retail,445120,,,,,34.7353984,-86.6327045,,,n_704025007,"shop=convenience, amenity=fuel"
"Gurley, AL",,retail,445120,,,,,34.7345146,-86.63355,,,n_704025052,shop=convenience
"Gurley, AL",,retail,445120,Discount Tobacco Center,,,,34.727745,-86.6266857,,,n_704043061,shop=convenience
"Gurley, AL",,retail,445120,Unisversity Jet Pep,,,,34.7350082,-86.6115459,,,n_704043123,shop=convenience
"Gurley, AL",,retail,445120,Shop,,,,34.7696091,-86.4841174,,,n_805570784,"shop=convenience, operator=Dollar General"
"Gurley, AL",,retail,445120,,,,,34.5877067,-86.4517152,,,n_921116254,shop=convenience
"Gurley, AL",,retail,452319,Dollar General,"4991 Winchester Road, New Market, AL, 35761",,https://www.dollargeneral.com/store-directory/al/new-market/6474,34.8929772,-86.4336499,,,n_967622051,"shop=variety_store, brand=Dollar General"
"Gurley, AL",,retail,445120,Mt. Gap food Mart,,,,34.6245366,-86.5413249,,,n_974272363,shop=convenience
"Gurley, AL",,retail,445120,Chevron,,,,34.7005509,-86.3848185,,,n_993705534,"shop=convenience, brand=Chevron"
"Gurley, AL",,retail,446120,Venus Nails,,,,34.6573573,-86.4879241,,,n_993725048,shop=beauty
"Gurley, AL",,retail,452210,TJ Maxx,"975 Airport Road Southwest, Huntsville, AL, 35802",+1-256-880-6829,https://tjmaxx.tjx.com/store/stores/Huntsville-AL-35802/705/aboutstore,34.689958,-86.5780382,,,n_1003335950,"shop=department_store, brand=TJ Maxx"
"Gurley, AL",,retail,452319,Family Dollar,"809 Wellman Avenue Northeast, Huntsville, 35801",,,34.7379942,-86.5761089,,,n_1004185595,"shop=variety_store, brand=Family Dollar, operator=Family Dollar"
"Gurley, AL",,retail,445120,Clean Fuels 25,"593 Rockvale Road, Laceys Spring, 35754",256 498-0667,,34.4724712,-86.5691107,,,n_1004590771,shop=convenience
"Gurley, AL",,retail,452210,,,,,34.7678363,-86.5854716,,,n_1004967598,"shop=department_store, operator=Big Lots"
"Gurley, AL",,retail,445120,C-Store,,,,34.7256564,-86.6385295,,,n_1016907759,shop=convenience
"Gurley, AL",,retail,445120,,,,,34.7391159,-86.5825501,,,n_1020326718,shop=convenience
"Gurley, AL",,retail,445310,Windmill Beverages,,,,34.8593841,-86.5706019,,,n_1536493660,shop=alcohol
"Gurley, AL",,retail,445110,Jamo's Grocery,,,,34.7266594,-86.6266602,,,n_1802247650,shop=supermarket
"Gurley, AL",,retail,445110,Choi's Oriental Food & Gifts,"402 Jordan Lane, 35805",,http://www.specialtygrocery.net/oriental/alabama/chois_oriental_food_gifts_al.html,34.7243624,-86.6270196,,,n_1802266330,shop=supermarket
"Gurley, AL",,retail,445110,Star Supermarket,,,,34.8646324,-86.5705267,,,n_2249386442,shop=supermarket
"Gurley, AL",,retail,446110,CVS Pharmacy,,,https://www.cvs.com/store-locator/meridianville-al-pharmacies/12275-hwy-231-431n-meridianville-al-35759/storeid=5316,34.8703212,-86.5722191,,,n_2249386457,"shop=chemist, brand=CVS Pharmacy"
"Gurley, AL",,retail,452319,Family Dollar,,,,34.9304116,-86.5722641,,,n_2314716035,"shop=variety_store, brand=Family Dollar"
