Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Heflin, AL",,retail,445110,foot outlet,,,,33.6120833,-85.9632739,,,n_300120881,shop=supermarket
"Heflin, AL",,retail,452319,Family Dollar,,,,33.8066063,-85.7602842,,,n_1252117590,"shop=variety_store, brand=Family Dollar"
"Heflin, AL",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/al/jacksonville/4378/,33.7908752,-85.7626944,,,n_1252117594,"shop=variety_store, brand=Dollar Tree"
"Heflin, AL",,retail,452210,Dillard's,,+1 256-835-2819,https://www.dillards.com/stores/alabama/quintard-mall-oxford/0416,33.6140309,-85.8223453,,,n_1252155494,"shop=department_store, brand=Dillard's"
"Heflin, AL",,retail,452210,JCPenney,,,,33.6122707,-85.8255336,,,n_1252155752,"shop=department_store, brand=JCPenney"
"Heflin, AL",,retail,445292,32°: A Yogurt Bar,,,,33.6084148,-85.7845833,,,n_1676542262,shop=confectionery
"Heflin, AL",,retail,445210,Edward's Grocery and Valley Meats,,,,33.8297139,-85.8096008,,,n_2155655120,shop=butcher
"Heflin, AL",,retail,445110,Publix,"115 Commons Way, Oxford, AL, 36203-3483",+1 256-835-4075,https://www.publix.com/locations/1420,33.6076891,-85.7883478,,,n_2257183562,"shop=supermarket, brand=Publix"
"Heflin, AL",,retail,445110,Piggly Wiggly,,,,33.6654342,-85.8254889,,,n_2396965180,"shop=supermarket, brand=Piggly Wiggly"
"Heflin, AL",,retail,452210,Midtown Outlet,,,,33.6674233,-85.8278559,,,n_2421547797,shop=department_store
"Heflin, AL",,retail,445230,,,,,33.5794775,-85.2059688,,,n_2517038399,shop=greengrocer
"Heflin, AL",,retail,452210,Big Lots,"3124 McClellan Boulevard, Anniston, AL, 36201",+1 256-236-9480,https://local.biglots.com/al/anniston/3124-mcclellan-blvd,33.6892041,-85.8249012,,,n_3426283137,"shop=department_store, brand=Big Lots"
"Heflin, AL",,retail,452210,Goody's,,,,33.7059246,-85.1615387,,,n_3517981491,"shop=department_store, brand=Goody's"
"Heflin, AL",,retail,445110,Exile Armory,,,,33.7518409,-85.8328918,,,n_4808916746,shop=supermarket
"Heflin, AL",,retail,445110,Lion Foods,,,,33.7811962,-85.8988883,,,n_5048449745,shop=supermarket
"Heflin, AL",,retail,445110,Piggly Wiggly,"136 Lovvorn Avenue, Bowdon, GA, 30108",+1 770-258-2465,https://www.pigglywiggly.com/,33.5402736,-85.2521365,,,n_6093088848,"shop=supermarket, brand=Piggly Wiggly, operator=Mark Dermo"
