Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Highland Lake, AL",,retail,445120,Stephen's Express Mart,,,,33.861414,-86.0424577,,,n_649085089,shop=convenience
"Highland Lake, AL",,retail,452210,Belk,,,,33.9939479,-86.0078778,,,n_1498100225,"shop=department_store, brand=Belk"
"Highland Lake, AL",,retail,445120,B & B Pawn,,,,34.0217317,-86.0229832,,,n_1864945382,shop=convenience
"Highland Lake, AL",,retail,445120,Gas Station,,,,34.021874,-86.023584,,,n_1864945385,shop=convenience
"Highland Lake, AL",,retail,452210,JCPenney,"5060 Pinnacle Square, Trussville, AL, 35173",,https://www.jcpenney.com/,33.6050521,-86.6422259,,,n_2089099510,"shop=department_store, brand=JCPenney, operator=jcpenny"
"Highland Lake, AL",,retail,452210,Kohl's,"5900 Chalkville Mountain Road, Birmingham, AL, 35235",+1 205-661-0580,https://www.kohls.com/stores/al/birmingham-658.shtml,33.6455668,-86.627228,,,n_2090005145,"shop=department_store, brand=Kohl's"
"Highland Lake, AL",,retail,445110,Winn-Dixie,"465 Main Street, Trussville, AL, 35173",+1 205-661-0026,https://www.winndixie.com/storedetails/trussville/al?search=461,33.6153319,-86.6181014,,,n_2154621848,"shop=supermarket, brand=Winn-Dixie"
"Highland Lake, AL",,retail,445110,Food Giant,,,,33.6980891,-86.6821978,,,n_2182845287,shop=supermarket
"Highland Lake, AL",,retail,445310,ABC Beverage,,,,33.6481904,-86.6321618,,,n_2217000896,shop=alcohol
"Highland Lake, AL",,retail,445310,ABC liquor ,,,http://www.abcboard.alabama.gov,33.607475,-86.6287749,,,n_2267416327,shop=alcohol
"Highland Lake, AL",,retail,452210,Belk,"5036 Pinnacle Square, Trussville, AL, 35173",,https://www.belk.com/store/belk-trussville-al/?storeid=349,33.6084431,-86.6385161,,,n_2457343889,"shop=department_store, brand=Belk"
"Highland Lake, AL",,retail,452210,TJ Maxx,,,,33.6046443,-86.6381253,,,n_2457343902,"shop=department_store, brand=TJ Maxx"
"Highland Lake, AL",,retail,445310,ABC SELECT SPIRITS,"300 Springville Sta Blvd, Springville, AL, 35146",+1-205-467-2534,https://www.alabcboard.gov/,33.7780217,-86.4342114,,,n_2870754849,shop=alcohol
"Highland Lake, AL",,retail,452319,Dollar Tree,"300 Springville Station Boulevard, Springville, AL, 35146",,https://www.dollartree.com/locations/al/springville/4496/,33.7789116,-86.4343982,,,n_2870754852,"shop=variety_store, brand=Dollar Tree"
"Highland Lake, AL",,retail,445120,,,,,34.0191403,-86.0942138,,,n_3824416008,shop=convenience
"Highland Lake, AL",,retail,453991,Steampunk Vape,,,,33.8529195,-86.8176457,,,n_5046688851,shop=tobacco
"Highland Lake, AL",,retail,445110,Walmart Neighborhood Market,"1916 Center Point Parkway, Birmingham, AL, 35215",+1 205-520-0269,https://www.walmart.com/store/5100-birmingham-al,33.637368,-86.684495,,,n_5315597805,"shop=supermarket, brand=Walmart, operator=Walmart"
"Highland Lake, AL",,retail,445110,Piggly Wiggly,"415 Caldwell Drive, Warrior, AL, 35180",+1 205-647-3241,,33.8072708,-86.8104039,,,n_5713950595,"shop=supermarket, brand=Piggly Wiggly"
"Highland Lake, AL",,retail,445120,Mini Mart #1,,,,33.9991348,-86.1219789,,,n_5919363385,shop=convenience
"Highland Lake, AL",,retail,446120,,,,,33.6423283,-86.6238223,,,n_6352909950,shop=beauty
