Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Hissop, AL",,retail,445120,Golden Rule C-Store,,,,32.864981,-86.0924207,,,n_1888138690,shop=convenience
"Hissop, AL",,retail,445110,Catherine's Market,"17 Russell Farms Road, Alexander City, AL, 35010",+1-256-215-7070,https://www.catherinesatcrossroads.com/,32.7659486,-85.9449854,,,n_4048358552,shop=supermarket
"Hissop, AL",,retail,445110,Walmart Supercenter,"41301 Us Highway 280, Sylacauga, AL, 35150",+1 256-245-0356,https://www.walmart.com/store/730-sylacauga-al,33.1757912,-86.2857733,,,n_5315596467,"shop=supermarket, brand=Walmart, operator=Walmart"
"Hissop, AL",,retail,452210,TJ Maxx,,,,33.1738297,-86.282984,,,n_7241397916,"shop=department_store, brand=TJ Maxx"
"Hissop, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/sylacauga/6434,33.1849697,-86.2468455,,,n_9009330676,"shop=variety_store, brand=Dollar General"
"Hissop, AL",,retail,446120,M. D. Nails,,,,33.1847448,-86.2468483,,,n_9009330678,shop=beauty
"Hissop, AL",,retail,445110,Walmart Supercenter,"2190 Gilmer Avenue, Tallassee, AL, 36078",+1 334-283-6841,https://www.walmart.com/store/1057-tallassee-al,32.5661121,-85.9314677,,,n_10701991705,"shop=supermarket, brand=Walmart"
"Hissop, AL",,retail,452210,Burkes Outlet,,,,33.1766132,-86.2875547,,,n_10762069322,shop=department_store
"Hissop, AL",,retail,446120,Bath & Body Works,,,,33.1764381,-86.2872352,,,n_10762069324,"shop=cosmetics, brand=Bath & Body Works"
"Hissop, AL",,retail,452319,Five Below,,+1 256-367-1274,https://locations.fivebelow.com/al/sylacauga/41271-us-280-w,33.1762922,-86.286969,,,n_10762069327,"shop=variety_store, brand=Five Below"
"Hissop, AL",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/al/alexander-city/4133/,32.9213692,-85.9606432,,,n_10808089409,"shop=variety_store, brand=Dollar Tree"
"Hissop, AL",,retail,445110,Winn-Dixie,"1061 US Highway 280, Alexander City, AL, 35010",+1 256-234-5141,https://www.winndixie.com/storedetails/alexander%20city/al?search=456,32.9219141,-85.9611728,,,n_10808365510,"shop=supermarket, brand=Winn-Dixie"
"Hissop, AL",,retail,445310,Emporium Wine,,,,32.9450197,-85.9527826,,,n_10833092463,shop=wine
"Hissop, AL",,retail,446120,Mini's Nails,,,,32.9449694,-85.9543968,,,n_10833092470,shop=beauty
"Hissop, AL",,retail,446120,A's Beauty Supply,,,,32.9204596,-85.9597227,,,n_10911682369,shop=beauty
"Hissop, AL",,retail,446120,Modern Nails,,,,32.9205341,-85.9597773,,,n_10911682372,shop=beauty
"Hissop, AL",,retail,453991,Walco Handy Mart,"626 Alabama Avenue, Sylacauga, AL, 35150",256-249-9263,,33.1830259,-86.2716509,,,n_11919268747,"shop=tobacco, operator=Andy Patel"
"Hissop, AL",,retail,452319,Dollar General,"1235 Cherokee Road, Alexander City, AL, 35010",+1 256 853 0800,https://www.dollargeneral.com/store-directory/al/alexander-city/1786,32.931329,-85.9479122,,,n_12180095449,"shop=variety_store, brand=Dollar General"
"Hissop, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/alexander-city/10028,32.9550603,-85.9456909,,,w_272981607,"shop=variety_store, brand=Dollar General"
"Hissop, AL",,retail,445110,Walmart Supercenter,"2643 Highway 280, Alexander City, AL, 35010",+1 256-234-0316,https://www.walmart.com/store/726-alexander-city-al,32.9413759,-85.9758201,,,w_591918305,"shop=supermarket, brand=Walmart, operator=Walmart"
"Hissop, AL",,retail,445120,,,,,33.0546551,-86.1466357,,,w_592485793,shop=convenience
