Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Huntsville, AL",,retail,445120,Hollytree Grocery,"11620 AL Hwy 65, Hollytree, 35751",,,34.8022599,-86.2493836,,,n_463676090,shop=convenience
"Huntsville, AL",,retail,446110,Walgreens,"298 Hughes Road, Madison, AL, 35758",,https://www.walgreens.com/locator/walgreens-298+hughes+rd-madison-al-35758/id=19809,34.7063144,-86.7428229,,,n_470512006,"shop=chemist, brand=Walgreens"
"Huntsville, AL",,retail,452210,Target,"6275 University Drive Northwest, Huntsville, AL, 35806",+1 256-922-0169,https://www.target.com/sl/huntsville-west/1346,34.7410978,-86.6821021,,,n_493609205,"shop=department_store, brand=Target"
"Huntsville, AL",,retail,445110,Star Supermarket,,,,34.7385841,-86.5762711,,,n_664322420,shop=supermarket
"Huntsville, AL",,retail,445120,5 Pts. BP,,,,34.7383108,-86.5769873,,,n_667416160,shop=convenience
"Huntsville, AL",,retail,445120,,,,,34.7489915,-86.5922688,,,n_696297448,shop=convenience
"Huntsville, AL",,retail,445120,,,,,34.7157146,-86.6200866,,,n_697155266,shop=convenience
"Huntsville, AL",,retail,452210,Target,"2750 Carl T Jones Drive Southeast, Huntsville, AL, 35802-4914",+1 256-650-3491,https://www.target.com/sl/huntsville-south/1367,34.6735029,-86.5422231,,,n_702326649,"shop=department_store, brand=Target"
"Huntsville, AL",,retail,445120,,,,,34.7353462,-86.6334382,,,n_704025000,"shop=convenience, amenity=fuel"
"Huntsville, AL",,retail,445120,,,,,34.7353984,-86.6327045,,,n_704025007,"shop=convenience, amenity=fuel"
"Huntsville, AL",,retail,445120,,,,,34.7345146,-86.63355,,,n_704025052,shop=convenience
"Huntsville, AL",,retail,445120,Discount Tobacco Center,,,,34.727745,-86.6266857,,,n_704043061,shop=convenience
"Huntsville, AL",,retail,445120,Unisversity Jet Pep,,,,34.7350082,-86.6115459,,,n_704043123,shop=convenience
"Huntsville, AL",,retail,445120,Shop,,,,34.7696091,-86.4841174,,,n_805570784,"shop=convenience, operator=Dollar General"
"Huntsville, AL",,retail,445120,,,,,34.5877067,-86.4517152,,,n_921116254,shop=convenience
"Huntsville, AL",,retail,452319,Dollar General,"4991 Winchester Road, New Market, AL, 35761",,https://www.dollargeneral.com/store-directory/al/new-market/6474,34.8929772,-86.4336499,,,n_967622051,"shop=variety_store, brand=Dollar General"
"Huntsville, AL",,retail,445120,Mt. Gap food Mart,,,,34.6245366,-86.5413249,,,n_974272363,shop=convenience
"Huntsville, AL",,retail,445120,Chevron,,,,34.7005509,-86.3848185,,,n_993705534,"shop=convenience, brand=Chevron"
"Huntsville, AL",,retail,446120,Venus Nails,,,,34.6573573,-86.4879241,,,n_993725048,shop=beauty
"Huntsville, AL",,retail,452210,TJ Maxx,"975 Airport Road Southwest, Huntsville, AL, 35802",+1-256-880-6829,https://tjmaxx.tjx.com/store/stores/Huntsville-AL-35802/705/aboutstore,34.689958,-86.5780382,,,n_1003335950,"shop=department_store, brand=TJ Maxx"
"Huntsville, AL",,retail,452319,Family Dollar,"809 Wellman Avenue Northeast, Huntsville, 35801",,,34.7379942,-86.5761089,,,n_1004185595,"shop=variety_store, brand=Family Dollar, operator=Family Dollar"
"Huntsville, AL",,retail,445120,Clean Fuels 25,"593 Rockvale Road, Laceys Spring, 35754",256 498-0667,,34.4724712,-86.5691107,,,n_1004590771,shop=convenience
"Huntsville, AL",,retail,452210,,,,,34.7678363,-86.5854716,,,n_1004967598,"shop=department_store, operator=Big Lots"
"Huntsville, AL",,retail,445120,C-Store,,,,34.7256564,-86.6385295,,,n_1016907759,shop=convenience
"Huntsville, AL",,retail,445120,,,,,34.7391159,-86.5825501,,,n_1020326718,shop=convenience
"Huntsville, AL",,retail,445110,Foodland,,,,34.5248746,-86.8934757,,,n_1127665806,shop=supermarket
"Huntsville, AL",,retail,445310,Windmill Beverages,,,,34.8593841,-86.5706019,,,n_1536493660,shop=alcohol
"Huntsville, AL",,retail,445110,Jamo's Grocery,,,,34.7266594,-86.6266602,,,n_1802247650,shop=supermarket
"Huntsville, AL",,retail,445110,Choi's Oriental Food & Gifts,"402 Jordan Lane, 35805",,http://www.specialtygrocery.net/oriental/alabama/chois_oriental_food_gifts_al.html,34.7243624,-86.6270196,,,n_1802266330,shop=supermarket
"Huntsville, AL",,retail,445110,Star Supermarket,,,,34.8646324,-86.5705267,,,n_2249386442,shop=supermarket
"Huntsville, AL",,retail,446110,CVS Pharmacy,,,https://www.cvs.com/store-locator/meridianville-al-pharmacies/12275-hwy-231-431n-meridianville-al-35759/storeid=5316,34.8703212,-86.5722191,,,n_2249386457,"shop=chemist, brand=CVS Pharmacy"
"Huntsville, AL",,retail,452319,Family Dollar,,,,34.9304116,-86.5722641,,,n_2314716035,"shop=variety_store, brand=Family Dollar"
"Huntsville, AL",,retail,445310,Wagon Wheel Liquors,"6846 US-431, Owens Cross Road, AL, 35763",,,34.6530422,-86.4804375,,,n_3462613492,shop=alcohol
"Huntsville, AL",,retail,452319,Dollar General,"6466 Hwy 431 S, Owens Cross Roads, AL, 35763",,https://www.dollargeneral.com/store-directory/al/hampton-cove/6797,34.6649201,-86.4873308,,,n_3462662559,"shop=variety_store, brand=Dollar General"
"Huntsville, AL",,retail,446120,US Nails,,,,34.6917296,-86.7177493,,,n_3878550087,shop=beauty
"Huntsville, AL",,retail,445310,Madison Beverage,,,,34.6915839,-86.7166502,,,n_3878550223,shop=alcohol
"Huntsville, AL",,retail,445310,Windmill Beverages,,,,34.6798845,-86.7524115,,,n_3884198487,shop=alcohol
"Huntsville, AL",,retail,446120,I Love Nails,,,,34.6832165,-86.738875,,,n_3884198507,shop=beauty
"Huntsville, AL",,retail,445110,Gordon Food Service Store,4710 University Drive Northwest,+1-256-517-8145,https://gfsstore.com/locations/huntsville/,34.7375482,-86.6469872,,,n_4712471444,"shop=supermarket, brand=Gordon Food Service Store"
"Huntsville, AL",,retail,446120,Tip Top Nails,,,,34.7541378,-86.7473927,,,n_4737362884,shop=beauty
"Huntsville, AL",,retail,452319,Dollar General,,,,34.7538934,-86.74865,,,n_4737362890,"shop=variety_store, brand=Dollar General"
"Huntsville, AL",,retail,445110,Sprouts Farmers Market,"7504 US Highway 72 West, Madison, AL, 35758",+1 256-203-8334,https://www.sprouts.com/store/al/madison/huntsville-madison/,34.7584292,-86.7293907,,,n_4763191093,"shop=supermarket, brand=Sprouts Farmers Market"
"Huntsville, AL",,retail,445110,Walmart Neighborhood Market,"2305 Jordan Lane Southwest, Huntsville, AL, 35805",+1 256-755-3080,https://www.walmart.com/store/5925-huntsville-al,34.7135989,-86.6249168,,,n_5315596644,"shop=supermarket, brand=Walmart Neighborhood Market, operator=Walmart"
"Huntsville, AL",,retail,445110,Asian Market,"6125 University Drive Northwest, Huntsville, AL, 35806",+1-256-213-7466,https://asian-market.business.site/,34.7415503,-86.6767372,,,n_5317000836,shop=supermarket
"Huntsville, AL",,retail,445110,The Fresh Market,"4800 Whitesburg Drive South, Huntsville, AL",+1-256-880-9042,https://stores.thefreshmarket.com/al/huntsville/83,34.6921142,-86.5702528,,,n_5736778188,"shop=supermarket, brand=The Fresh Market"
"Huntsville, AL",,retail,446120,Revive Nails and Massage Therapy,,,,34.6596502,-86.5409566,,,n_5749611269,shop=beauty
"Huntsville, AL",,retail,446120,Sun Kissed,,,,34.6591387,-86.5399684,,,n_5749611275,shop=beauty
"Huntsville, AL",,retail,445120,Mediteranian Food,"4320 University Drive Northwest, Huntsville, AL, 35816",,,34.7359576,-86.6339821,,,n_5924688366,shop=convenience
"Huntsville, AL",,retail,445120,El Azteca Supermercado,,+12562166232,,34.8165377,-86.9717117,,,n_6007970706,shop=convenience
"Huntsville, AL",,retail,445120,,,,,34.7343853,-86.6281603,,,n_6634193230,shop=convenience
"Huntsville, AL",,retail,446120,Victoria Nails,,,,34.816735,-86.4927026,,,n_6788421283,shop=beauty
"Huntsville, AL",,retail,453110,Blue Violet Florist,7901 Memorial parkway,,,34.6618961,-86.5716504,,,n_6951293183,shop=florist
"Huntsville, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/huntsville/6093,34.6443834,-86.5405131,,,n_7804838030,"shop=variety_store, brand=Dollar General"
"Huntsville, AL",,retail,445110,Far East Market Madison,,2563258868,,34.7550083,-86.7163758,,,n_8120099217,shop=supermarket
"Huntsville, AL",,retail,453991,Smoke Land,"2719 Patton Road Southwest, Huntsville, AL, 35805",2564893595,https://smokeland-al.business.site/,34.7124299,-86.6264895,,,n_8150310554,shop=tobacco
"Huntsville, AL",,retail,452319,Dollar Tree,"935 US Highway 72 East, Athens, AL, 35611",+1-256-233-1006,https://www.dollartree.com/locations/al/athens/1368/,34.7888561,-86.9619859,,,n_8712951235,"shop=variety_store, brand=Dollar Tree"
"Huntsville, AL",,retail,446120,Diva Nails,"1001 US Highway 72 East, Athens, AL, 35611",+1-256-444-2229,,34.7885983,-86.9605999,,,n_8712951245,shop=beauty
"Huntsville, AL",,retail,445110,ALDI,"2900 Memorial Parkway Southwest, Huntsville, AL, 35801",+1 833-470-7083,https://stores.aldi.us/al/huntsville/2900-a-memorial-pkwy-sw,34.7066621,-86.5908024,,,n_8713131695,"shop=supermarket, brand=ALDI"
"Huntsville, AL",,retail,445110,ALDI,"2125 Winchester Road Northeast, Huntsville, AL, 35811",+1 833-470-7082,https://stores.aldi.us/al/huntsville/2125-winchester-rd-ne,34.8176119,-86.495243,,,n_8713369962,"shop=supermarket, brand=ALDI"
"Huntsville, AL",,retail,445310,,,,,34.6139519,-86.569488,,,n_8853842083,shop=alcohol
"Huntsville, AL",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/al/huntsville/2500/,34.6143802,-86.5694589,,,n_8863163472,"shop=variety_store, brand=Dollar Tree"
"Huntsville, AL",,retail,446120,Victoria Nails,,,,34.6606378,-86.4849665,,,n_8889143356,shop=beauty
"Huntsville, AL",,retail,445120,Circle K,"11040 Memorial Parkway Southwest, Huntsville, AL, 35803",,,34.6294929,-86.5680106,,,n_8927881618,"shop=convenience, brand=Circle K"
"Huntsville, AL",,retail,445120,Speedway,"11431 South Memorial Parkway, Huntsville, AL, 35803",,,34.6298822,-86.5661464,,,n_8927881668,"shop=convenience, brand=Speedway"
"Huntsville, AL",,retail,445120,Morningside Eazy-Shop,"1809 11th Street Southeast, 35601",+1-256-351-1804,,34.5836091,-86.9635493,,,n_9018674917,shop=convenience
"Huntsville, AL",,retail,446191,Nature's Apothecary,,,,34.7678286,-86.5877886,,,n_9091062396,shop=health_food
"Huntsville, AL",,retail,445120,J & M Market,,,,34.9136947,-86.633361,,,n_9309735779,shop=convenience
"Huntsville, AL",,retail,445120,Mapco,,,,34.6138689,-86.5665599,,,n_9416708938,shop=convenience
"Huntsville, AL",,retail,446120,LifeStyle Nail,"100 Outfield Drive, Madison, AL, 35758",+1(256)325-5001,https://lifestylenail100.com/,34.6843559,-86.7171265,,,n_9762284037,shop=beauty
"Huntsville, AL",,retail,453991,Smoke Spot,"27035 Main Street, Ardmore, TN, 38449",931-427-2223,https://smokespotkratom.com,34.9922787,-86.8375164,,,n_9774960735,shop=tobacco
"Huntsville, AL",,retail,445110,Kroger,"8404 Memorial Parkway Southwest, Huntsville, AL, 35802",+1 256-881-5696,https://www.kroger.com/stores/grocery/al/huntsville/logan-square/026/00849,34.6566457,-86.5712642,,,n_9862744917,"shop=supermarket, brand=Kroger"
"Huntsville, AL",,retail,445110,Rural King,"3418 Memorial Parkway Northwest, Huntsville, AL, 35810",+12568980523,https://www.ruralking.com,34.7696628,-86.5844611,,,n_9886161405,shop=supermarket
"Huntsville, AL",,retail,445110,Trader Joe's,"1100 Mid City Drive Northwest, Huntsville, AL, 35806",+1 256-890-7156,https://locations.traderjoes.com/al/huntsville/785/,34.7401294,-86.6651914,,,n_10293923395,"shop=supermarket, brand=Trader Joe's"
"Huntsville, AL",,retail,445110,Publix,"2934 Point Mallard Parkway Southeast, Decatur, AL, 35603",+1 256-351-5261,https://www.publix.com/locations/1609,34.5427399,-86.9203561,,,n_10783567667,"shop=supermarket, brand=Publix"
"Huntsville, AL",,retail,452319,Family Dollar,,,,34.7704019,-86.6172733,,,n_10794746356,"shop=variety_store, brand=Family Dollar"
"Huntsville, AL",,retail,445110,Publix,"310 Pelham Avenue Southwest, Huntsville, AL, 35801-5016",+1 256-534-2330,https://www.publix.com/locations/1451,34.7234245,-86.5839255,,,n_10823042890,"shop=supermarket, brand=Publix"
"Huntsville, AL",,retail,445110,Halsey Foodservice,,,,34.7333388,-86.5878972,,,n_10828176859,shop=supermarket
"Huntsville, AL",,retail,446110,CVS Pharmacy,,,https://www.cvs.com/store-locator/harvest-al-pharmacies/5859-highway-53-harvest-al-35749/storeid=10516,34.8450922,-86.7129216,,,n_10975617707,"shop=chemist, brand=CVS Pharmacy"
"Huntsville, AL",,retail,445120,,,,,34.6829485,-86.7377484,,,n_11059420646,shop=convenience
"Huntsville, AL",,retail,446120,Vicky nail spa,"930 Old Monrovia Road Northwest, Huntsville, AL, 35806",,,34.7368621,-86.6614558,,,n_11282560548,shop=beauty
"Huntsville, AL",,retail,446120,Donatella Nail Lounge,"5850 University Drive Northwest, Huntsville, AL, 35806",+12569647240,https://donatellanailloungehuntsville.com/,34.741087,-86.6630613,,,n_11303206425,shop=beauty
