Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Ladonia, AL",,retail,445310,Papa's Package,,,,32.5366986,-84.8708423,,,n_1686238278,shop=alcohol
"Ladonia, AL",,retail,445310,Cagney's Party Shop,,,,32.5239739,-84.8886392,,,n_1686315279,shop=alcohol
"Ladonia, AL",,retail,445110,ASIAN SUPERMARKET,,,,32.5231145,-84.8870943,,,n_1686318239,shop=supermarket
"Ladonia, AL",,retail,445110,Food Depot,,,,32.5201174,-84.8896315,,,n_1695484257,shop=supermarket
"Ladonia, AL",,retail,452210,TJ Maxx,,,,32.4828803,-84.9429856,,,n_2639745450,"shop=department_store, brand=TJ Maxx"
"Ladonia, AL",,retail,452210,Fred's,,,,32.4806317,-84.9452043,,,n_2657853860,shop=department_store
"Ladonia, AL",,retail,445310,,,,,32.485058,-84.9381972,,,n_2677442355,shop=alcohol
"Ladonia, AL",,retail,445110,Kroger,"300 North Dean Road, Auburn, AL, 36830",+1 334-821-1325,https://www.kroger.com/stores/grocery/al/auburn/corner-village/011/00260,32.6105188,-85.4634465,,,n_2814709689,"shop=supermarket, brand=Kroger"
"Ladonia, AL",,retail,452319,Toomer's Drugs,"100 North College Street, Auburn, AL, 36830",+1-334-887-3488,http://www.toomersdrugs.com/,32.6067044,-85.4815391,,,n_2822078401,shop=general
"Ladonia, AL",,retail,445292,The Auburn Popcorn Company,,,,32.6069051,-85.4815397,,,n_2822078403,shop=confectionery
"Ladonia, AL",,retail,452319,Dollar Tree,"2000 280 Bypass, Phenix City, 36867",+1 334 298 9552,,32.4798586,-85.0293526,,,n_2894739234,"shop=variety_store, brand=Dollar Tree"
"Ladonia, AL",,retail,445110,Publix,"5435 Woodruff Farm Road, Columbus, GA, 31907-1395",+1 706-568-8820,https://www.publix.com/locations/562,32.5196615,-84.8936139,,,n_2941369065,"shop=supermarket, brand=Publix"
"Ladonia, AL",,retail,445310,Z&Z Tobacco and Spirits,,,,32.574658,-85.4977179,,,n_3343153824,shop=alcohol
"Ladonia, AL",,retail,445310,ABC Store,,,,32.584273,-85.4879656,,,n_3347198442,"shop=alcohol, operator=Alabama Alcohol Beverage Control Board"
"Ladonia, AL",,retail,445110,Earth Fare,,,,32.6233717,-85.4468207,,,n_4632279320,shop=supermarket
"Ladonia, AL",,retail,452210,Dillard's,,+1 334-821-3900,https://www.dillards.com/stores/alabama/auburn-mall-auburn/0417,32.6281021,-85.4482678,,,n_4635543786,"shop=department_store, brand=Dillard's"
"Ladonia, AL",,retail,452210,Belk,,,,32.6266896,-85.4462421,,,n_4635543787,"shop=department_store, brand=Belk"
"Ladonia, AL",,retail,452210,Big Lots,"1716 Opelika Road, Auburn, AL, 36830",+1 334-826-0050,https://local.biglots.com/al/auburn/1716-opelika-rd,32.6245666,-85.4441526,,,n_4648501646,"shop=department_store, brand=Big Lots"
"Ladonia, AL",,retail,446120,Pretty Please Nail Salon,,,,32.6079663,-85.4819043,,,n_4760950385,shop=beauty
"Ladonia, AL",,retail,445120,Food Mart,,,,32.5686074,-84.9666015,,,n_5077984859,shop=convenience
"Ladonia, AL",,retail,445120,,,,,32.568029,-84.9656611,,,n_5077984861,shop=convenience
"Ladonia, AL",,retail,446120,Megan's Nail Salon,"1290 Double Churches Road, Columbus, GA, 31904",,,32.5556315,-84.9737608,,,n_5177013682,shop=beauty
"Ladonia, AL",,retail,445110,Walmart Neighborhood Market,"4909 Buena Vista Road, Columbus, GA, 31907",+1 706-223-6914,https://www.walmart.com/store/5907-columbus-ga,32.4688,-84.9102,,,n_5315596650,"shop=supermarket, brand=Walmart, operator=Walmart"
"Ladonia, AL",,retail,452319,Dollar General,"Sweetwater Branch Road, Fort Mitchell, AL, 36856",,https://www.dollargeneral.com/store-directory/al/fort-mitchell/11889,32.2816877,-85.0050753,,,n_5373757904,"shop=variety_store, brand=Dollar General"
"Ladonia, AL",,retail,445120,Store 17,,,,32.569353,-85.4997728,,,n_5495147608,shop=convenience
"Ladonia, AL",,retail,446120,For You Beauty Supply,,,,32.5707464,-85.4992849,,,n_5495147614,shop=beauty
"Ladonia, AL",,retail,446120,Palm Beach Tan,"814-A Annalue Drive, Auburn, AL, 36830",,https://palmbeachtan.com/locations/AL/Auburn-Annalue-Drive,32.6118895,-85.4640334,,,n_5521304401,"shop=beauty, brand=Palm Beach Tan"
"Ladonia, AL",,retail,446120,Nail Love,300 North Dean Road,+1-334-826-3511,,32.6112381,-85.4634884,,,n_5526720705,shop=beauty
"Ladonia, AL",,retail,446120,Dimensions Salon,,,,32.6063874,-85.4802566,,,n_5553284662,shop=beauty
"Ladonia, AL",,retail,445292,University Doughnut Company,,,,32.606691,-85.4804294,,,n_5553284663,shop=confectionery
"Ladonia, AL",,retail,446120,Luxury Nail Spa,,,,32.6068332,-85.481531,,,n_5575256256,shop=beauty
"Ladonia, AL",,retail,452319,Crazy Cazboy's,"2510 Pepperell Parkway, Opelika, AL, 36801",,,32.6401428,-85.4143667,,,n_5727118086,shop=variety_store
"Ladonia, AL",,retail,446120,Auburn Med Spa,,+1-334-501-2221,https://www.auburnmedspa.com/,32.6062953,-85.4395083,,,n_5727170423,shop=beauty
"Ladonia, AL",,retail,445120,Circle K,,,,32.6440732,-85.3489186,,,n_6390244450,"shop=convenience, brand=Circle K"
"Ladonia, AL",,retail,446120,Vy's Spa & Nails,"6517 Kitten Lake Drive, Midland, GA, 31820",+1-706-221-4985,,32.5403091,-84.8686168,,,n_7306872301,shop=beauty
"Ladonia, AL",,retail,446120,Bath & Body Works,,,,32.6259914,-85.4471856,,,n_8229262086,"shop=cosmetics, brand=Bath & Body Works"
"Ladonia, AL",,retail,445110,ALDI,"6301 Veterans Parkway, Columbus, GA, 31909",+1 844-476-1047,https://stores.aldi.us/ga/columbus/6301-veterans-pkwy,32.5358897,-84.9565029,,,n_8238390252,"shop=supermarket, brand=ALDI"
"Ladonia, AL",,retail,446120,,,,,32.4118336,-84.9442114,,,n_9060495427,shop=beauty
"Ladonia, AL",,retail,446120,,,,,32.4166016,-84.9419203,,,n_9060495568,shop=beauty
"Ladonia, AL",,retail,446120,SuperShack,,,,32.4164009,-84.9430956,,,n_9060495575,shop=beauty
"Ladonia, AL",,retail,446120,Sassy Beauty,,,,32.4219253,-84.9453371,,,n_9060495900,shop=beauty
"Ladonia, AL",,retail,445120,,,,,32.4727491,-84.9868434,,,n_9063750653,shop=convenience
"Ladonia, AL",,retail,445120,,,,,32.5065053,-84.9727496,,,n_9064041083,shop=convenience
"Ladonia, AL",,retail,446120,Tips N Toes,,,,32.5415861,-84.9504673,,,n_9064047249,shop=beauty
"Ladonia, AL",,retail,446120,Roayl Nails & Spa,,,,32.5424783,-84.9496168,,,n_9064047253,shop=beauty
"Ladonia, AL",,retail,446120,Pinky Nails,,,,32.543522,-84.9467596,,,n_9064047262,shop=beauty
"Ladonia, AL",,retail,445120,Ivy Park Market,"9501 Veterans Parkway, Midland, GA, 31820",,,32.5891501,-84.9107903,,,n_9407631328,shop=convenience
"Ladonia, AL",,retail,446120,Bath & Body Works,,,,32.5091545,-84.9442161,,,n_9445694820,"shop=cosmetics, brand=Bath & Body Works"
"Ladonia, AL",,retail,452210,Macy's,,,https://www.macys.com/stores/ga/columbus/peachtree-mall_749.html,32.508313,-84.9447955,,,n_9445694821,"shop=department_store, brand=Macy's"
"Ladonia, AL",,retail,452210,Dillard's,,+1 706-324-7272,https://www.dillards.com/stores/georgia/peachtree-mall-columbus/0275,32.5094621,-84.9416358,,,n_9445694822,"shop=department_store, brand=Dillard's"
"Ladonia, AL",,retail,452210,JCPenney,,,,32.5100095,-84.9398226,,,n_9445694824,"shop=department_store, brand=JCPenney"
"Ladonia, AL",,retail,446120,Ulta Beauty,"2690 Enterprise Drive, Opelika, AL, 36801",+1 334-749-2593,https://www.ulta.com/stores/opelika-al-379,32.6166988,-85.4103613,,,n_9451330450,"shop=beauty, brand=Ulta Beauty"
"Ladonia, AL",,retail,446120,Perfect Nails,"5750 Milgen Road, Columbus, GA, 31907",+1-706-561-1820,,32.5230425,-84.8871627,,,n_9487965813,shop=beauty
