Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Mosses, AL",,retail,445120,Stuckey's,,,,32.1948372,-86.4160937,,,n_891970387,shop=convenience
"Mosses, AL",,retail,445210,Wild Game Meat Processing,,,,32.3268095,-86.9923136,,,n_4569094324,shop=butcher
"Mosses, AL",,retail,445110,Walmart Supercenter,501 Willow Ln,+1-334-382-2655,https://www.walmart.com/store/1462-greenville-al,31.849507,-86.647223,,,n_5315601723,"shop=supermarket, brand=Walmart, operator=Walmart"
"Mosses, AL",,retail,445110,Commissary,,,,32.3750706,-86.3549734,,,n_7281083354,shop=supermarket
"Mosses, AL",,retail,452210,Base Exchange,,+1 334-834-5946,https://www.shopmyexchange.com/exchange-stores/United%20States/AL/Maxwell%20AFB%20/Maxwell-AFB--1031605,32.3744027,-86.3542335,,,n_7281091324,shop=department_store
"Mosses, AL",,retail,445310,Class Six,,,,32.37684,-86.3540317,,,n_7281317367,shop=alcohol
"Mosses, AL",,retail,445310,Panola Spirits,"34 Burgamy Swamp Road, Lapine, AL, 36046",,,31.9722158,-86.3894025,,,n_7963863003,shop=alcohol
"Mosses, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/prattville/3232,32.465293,-86.4526807,,,n_8004360817,"shop=variety_store, brand=Dollar General"
"Mosses, AL",,retail,446191,Fountain City,,,,32.4650706,-86.4502412,,,n_8004360861,shop=health_food
"Mosses, AL",,retail,445310,Select Spirits,,,,32.460743,-86.4539708,,,n_8010760224,shop=alcohol
"Mosses, AL",,retail,445110,Fred's,,,,32.4612319,-86.4539856,,,n_8010760226,shop=supermarket
"Mosses, AL",,retail,446120,Top's Beauty Supply,,,,32.4588341,-86.4553428,,,n_8010782449,shop=beauty
"Mosses, AL",,retail,445110,Food Outlet,,,,32.4588295,-86.4558309,,,n_8010782450,shop=supermarket
"Mosses, AL",,retail,445120,Speedway,"821 Tyson Road, Hope Hull, AL, 36043",,,32.1959023,-86.4201253,,,n_8949405726,"shop=convenience, brand=Speedway"
"Mosses, AL",,retail,445120,The Purple Cow,,,,32.3085282,-86.3887139,,,n_9084117773,shop=convenience
"Mosses, AL",,retail,445120,,,,,32.3534438,-86.9687645,,,n_12361271668,shop=convenience
"Mosses, AL",,retail,445120,,,,,32.4382295,-86.474762,,,n_12361426508,shop=convenience
"Mosses, AL",,retail,452319,Dollar General,"601 South McQueen Smith Road, Prattville, AL, 36066",,,32.4587076,-86.4171219,,,n_12912070186,"shop=variety_store, brand=Dollar General"
"Mosses, AL",,retail,445292,Priester's Country Retail Store,80  Bishop Bottom Road,,,31.9870743,-86.5269237,,,w_94706984,shop=confectionery
"Mosses, AL",,retail,445120,Slade's Country Corner,,,,32.269706,-86.3570111,,,w_170175618,shop=convenience
"Mosses, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/selma/16827,32.3549581,-86.9708235,,,w_745327763,"shop=variety_store, brand=Dollar General"
"Mosses, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/selma/11295,32.3713148,-87.0079708,,,w_751887197,"shop=variety_store, brand=Dollar General"
"Mosses, AL",,retail,445120,,,,,32.3283937,-86.337412,,,w_777877353,shop=convenience
"Mosses, AL",,retail,445120,Airtec,,,,32.3696982,-86.3466046,,,w_826815358,shop=convenience
"Mosses, AL",,retail,452319,Family Dollar,,,,32.3697131,-86.3429768,,,w_826815400,"shop=variety_store, brand=Family Dollar"
"Mosses, AL",,retail,445120,Citgo,,,,32.3690487,-86.3496381,,,w_826815421,"shop=convenience, brand=Citgo"
"Mosses, AL",,retail,452319,Five Below,,+1 334-290-2864,https://locations.fivebelow.com/al/prattville/1472-cotton-exchange,32.4574297,-86.4076318,,,w_854281914,"shop=variety_store, brand=Five Below"
"Mosses, AL",,retail,446120,Ulta Beauty,"1466 Cotton Exchange, Prattville, AL, 36066",+1 334-285-7717,https://www.ulta.com/stores/prattville-al-752,32.4576133,-86.4076357,,,w_854281915,"shop=beauty, brand=Ulta Beauty"
"Mosses, AL",,retail,452210,Kohl's,"1460 Cotton Exchange, Prattville, AL, 36066",+1 334-285-2491,https://www.kohls.com/stores/al/prattville-1334.shtml,32.4580865,-86.4078149,,,w_854281916,"shop=department_store, brand=Kohl's"
