Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Oak Grove, AL",,retail,445110,Winn-Dixie,"150 Chelsea Corners Way, Chelsea, AL, 35043",+1 205-678-8808,https://www.winndixie.com/storedetails/chelsea/al?search=509,33.3462774,-86.6308773,,,n_1740785052,"shop=supermarket, brand=Winn-Dixie"
"Oak Grove, AL",,retail,445110,Walmart Supercenter,"16077 Highway 280, Chelsea, AL, 35043",+1 205-678-2222,https://www.walmart.com/store/4330-chelsea-al,33.347786,-86.619238,,,n_1740790505,"shop=supermarket, brand=Walmart, operator=Walmart"
"Oak Grove, AL",,retail,445120,Allen's Food Mart,"33867 US Highway 280, Childersburg, AL, 35044",+1 256 378 7809,http://www.exxonmobilstations.com/en/13907-allens-food-mart-27-childersburg,33.2634204,-86.349421,,,n_4076735528,shop=convenience
"Oak Grove, AL",,retail,445120,The Cotton Patch,"6478 Renfroe Road, Talladega, AL, 35160",+1 256 268 2778,https://thecottonpatchal.com/home.htm,33.4553687,-86.2542454,,,n_4080688862,shop=convenience
"Oak Grove, AL",,retail,445110,Walmart Supercenter,"41301 Us Highway 280, Sylacauga, AL, 35150",+1 256-245-0356,https://www.walmart.com/store/730-sylacauga-al,33.1757912,-86.2857733,,,n_5315596467,"shop=supermarket, brand=Walmart, operator=Walmart"
"Oak Grove, AL",,retail,452210,TJ Maxx,,,,33.1738297,-86.282984,,,n_7241397916,"shop=department_store, brand=TJ Maxx"
"Oak Grove, AL",,retail,446110,Village Drug Co,,,,33.4083771,-86.6313016,,,n_7784313879,shop=chemist
"Oak Grove, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/sylacauga/6434,33.1849697,-86.2468455,,,n_9009330676,"shop=variety_store, brand=Dollar General"
"Oak Grove, AL",,retail,446120,M. D. Nails,,,,33.1847448,-86.2468483,,,n_9009330678,shop=beauty
"Oak Grove, AL",,retail,452210,Burkes Outlet,,,,33.1766132,-86.2875547,,,n_10762069322,shop=department_store
"Oak Grove, AL",,retail,446120,Bath & Body Works,,,,33.1764381,-86.2872352,,,n_10762069324,"shop=cosmetics, brand=Bath & Body Works"
"Oak Grove, AL",,retail,452319,Five Below,,+1 256-367-1274,https://locations.fivebelow.com/al/sylacauga/41271-us-280-w,33.1762922,-86.286969,,,n_10762069327,"shop=variety_store, brand=Five Below"
"Oak Grove, AL",,retail,445110,Publix,"501 Chelsea Crossroads, Chelsea, AL, 35043-3900",+1 205-678-5600,https://www.publix.com/locations/1370,33.3532285,-86.6088316,,,n_10765291274,"shop=supermarket, brand=Publix"
"Oak Grove, AL",,retail,453991,Walco Handy Mart,"626 Alabama Avenue, Sylacauga, AL, 35150",256-249-9263,,33.1830259,-86.2716509,,,n_11919268747,"shop=tobacco, operator=Andy Patel"
"Oak Grove, AL",,retail,445120,,,,,33.2821553,-86.3624549,,,n_12361301180,shop=convenience
"Oak Grove, AL",,retail,445120,Kangaroo Express,"716 Cherry Street, Talladega, AL",,https://www.circlek.com/store-locator/US/talladega/716-s-cherry-st/2654159,33.4253705,-86.0967499,,,n_13004814851,"shop=convenience, amenity=fuel, brand=Kangaroo Express"
"Oak Grove, AL",,retail,445120,Circle K,"4209 Stemley Bridge Road, Pell City, AL",,https://www.circlek.com/store-locator/US/pell-city/4209-stemley-bridge-rd/2654160,33.5363071,-86.2599972,,,n_13004872148,"shop=convenience, brand=Circle K"
"Oak Grove, AL",,retail,445120,Circle K,,,,33.1804395,-86.6153225,,,w_569166394,"shop=convenience, brand=Circle K"
"Oak Grove, AL",,retail,445110,Piggly Wiggly,"211 West College Street, Columbiana, AL, 35051",+1 205-669-9916,,33.1791063,-86.6133071,,,w_569166397,"shop=supermarket, brand=Piggly Wiggly"
"Oak Grove, AL",,retail,445310,ABC Beverages,,,,33.1793324,-86.6139413,,,w_569166399,shop=alcohol
"Oak Grove, AL",,retail,445120,,,,,33.0546551,-86.1466357,,,w_592485793,shop=convenience
"Oak Grove, AL",,retail,445110,Piggly Wiggly,"1351 North Fort Williams Street, Sylacauga, AL, 35150",+1 256-249-8989,,33.1647041,-86.272942,,,w_592487546,"shop=supermarket, brand=Piggly Wiggly"
"Oak Grove, AL",,retail,445110,Piggly Wiggly,"1324 Dunnavant Valley Road, Birmingham, AL, 35242",+1 205-918-7120,,33.4064498,-86.6317268,,,w_619892086,"shop=supermarket, brand=Piggly Wiggly, operator=Piggly Wiggly"
"Oak Grove, AL",,retail,445110,Hudd's Food Center,,,,33.2357699,-86.4834795,,,w_620995890,shop=supermarket
"Oak Grove, AL",,retail,445120,,,,,33.1783649,-86.6050588,,,w_690258115,shop=convenience
"Oak Grove, AL",,retail,452319,Dollar General,"32300 US Highway 280, Childersburg, AL, 35044",+1 256 378 5682,https://www.dollargeneral.com/store-directory/al/childersburg/4339,33.2831706,-86.3625301,,,w_751960709,"shop=variety_store, brand=Dollar General"
"Oak Grove, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/wilsonville/6415,33.2402518,-86.4801614,,,w_751965807,"shop=variety_store, brand=Dollar General"
"Oak Grove, AL",,retail,452319,Dollar General,"45 Stemley Road, Talladega, AL, 35160",+1 256 474 4580,https://www.dollargeneral.com/store-directory/al/talladega/15731,33.4487572,-86.2362908,,,w_752003309,"shop=variety_store, brand=Dollar General"
"Oak Grove, AL",,retail,445110,Piggly Wiggly,"1244 North Talladega Highway, Sylacauga, AL, 35150",+1 256-249-4836,,33.1847328,-86.243721,,,w_973430147,"shop=supermarket, brand=Piggly Wiggly"
"Oak Grove, AL",,retail,452319,Dixie Drugs [Defunct],,,,33.1780002,-86.2504658,,,w_1058148307,shop=general
"Oak Grove, AL",,retail,445120,BP Shop,,,,33.0660995,-86.0544015,,,w_1098258349,"shop=convenience, brand=BP Shop"
"Oak Grove, AL",,retail,445120,In-and-Out Market,,,,33.066832,-86.0553456,,,w_1098258352,shop=convenience
"Oak Grove, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/sylacauga/2332,33.1681611,-86.251296,,,w_1157063293,"shop=variety_store, brand=Dollar General"
"Oak Grove, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/sylacauga/16257,33.2219136,-86.3213124,,,w_1157123646,"shop=variety_store, brand=Dollar General"
"Oak Grove, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/talladega/17398,33.4785247,-86.1214612,,,w_1157273441,"shop=variety_store, brand=Dollar General"
"Oak Grove, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/sylacauga/22329,33.2508963,-86.3400606,,,w_1225604557,"shop=variety_store, brand=Dollar General"
"Oak Grove, AL",,retail,452319,Dollar General,,,,33.0755627,-86.5715285,,,w_1263564433,"shop=variety_store, brand=Dollar General"
"Oak Grove, AL",,retail,446110,CVS Pharmacy,,,https://www.cvs.com/store-locator/columbiana-al-pharmacies/227-west-college-st-columbiana-al-35051/storeid=4866,33.1792015,-86.6146782,,,w_1263564449,"shop=chemist, brand=CVS Pharmacy"
"Oak Grove, AL",,retail,445110,Walmart Supercenter,"214 Haynes Street, Talladega, AL, 35160",+1 256-761-1681,https://www.walmart.com/store/432-talladega-al,33.4385613,-86.0801697,,,w_1311916002,"shop=supermarket, brand=Walmart, operator=Walmart"
"Oak Grove, AL",,retail,445110,Winn-Dixie,,,,33.3462256,-86.6312701,,,w_1322310227,"shop=supermarket, brand=Winn-Dixie"
"Oak Grove, AL",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/al/sylacauga/541/,33.1729327,-86.2894706,,,w_1373113697,"shop=variety_store, brand=Dollar Tree"
