Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Oxford, AL",,retail,445110,foot outlet,,,,33.6120833,-85.9632739,,,n_300120881,shop=supermarket
"Oxford, AL",,retail,445120,Stephen's Express Mart,,,,33.861414,-86.0424577,,,n_649085089,shop=convenience
"Oxford, AL",,retail,452319,Family Dollar,,,,33.8066063,-85.7602842,,,n_1252117590,"shop=variety_store, brand=Family Dollar"
"Oxford, AL",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/al/jacksonville/4378/,33.7908752,-85.7626944,,,n_1252117594,"shop=variety_store, brand=Dollar Tree"
"Oxford, AL",,retail,452210,Dillard's,,+1 256-835-2819,https://www.dillards.com/stores/alabama/quintard-mall-oxford/0416,33.6140309,-85.8223453,,,n_1252155494,"shop=department_store, brand=Dillard's"
"Oxford, AL",,retail,452210,JCPenney,,,,33.6122707,-85.8255336,,,n_1252155752,"shop=department_store, brand=JCPenney"
"Oxford, AL",,retail,445292,32°: A Yogurt Bar,,,,33.6084148,-85.7845833,,,n_1676542262,shop=confectionery
"Oxford, AL",,retail,445210,Edward's Grocery and Valley Meats,,,,33.8297139,-85.8096008,,,n_2155655120,shop=butcher
"Oxford, AL",,retail,445110,Publix,"115 Commons Way, Oxford, AL, 36203-3483",+1 256-835-4075,https://www.publix.com/locations/1420,33.6076891,-85.7883478,,,n_2257183562,"shop=supermarket, brand=Publix"
"Oxford, AL",,retail,445110,Piggly Wiggly,,,,33.6654342,-85.8254889,,,n_2396965180,"shop=supermarket, brand=Piggly Wiggly"
"Oxford, AL",,retail,452210,Midtown Outlet,,,,33.6674233,-85.8278559,,,n_2421547797,shop=department_store
"Oxford, AL",,retail,452210,Big Lots,"3124 McClellan Boulevard, Anniston, AL, 36201",+1 256-236-9480,https://local.biglots.com/al/anniston/3124-mcclellan-blvd,33.6892041,-85.8249012,,,n_3426283137,"shop=department_store, brand=Big Lots"
"Oxford, AL",,retail,445120,,,,,33.5900689,-86.16349,,,n_4549979453,shop=convenience
"Oxford, AL",,retail,445110,Exile Armory,,,,33.7518409,-85.8328918,,,n_4808916746,shop=supermarket
"Oxford, AL",,retail,445110,Lion Foods,,,,33.7811962,-85.8988883,,,n_5048449745,shop=supermarket
"Oxford, AL",,retail,452319,Ollie's Bargain Outlet,,,,33.6855601,-85.8204031,,,n_7727054479,"shop=variety_store, brand=Ollie's Bargain Outlet"
"Oxford, AL",,retail,445110,Piggly Wiggly,"800 Ross Street, Heflin, AL, 36264",+1 256-463-7769,,33.6477873,-85.5865092,,,n_8595469364,"shop=supermarket, brand=Piggly Wiggly"
"Oxford, AL",,retail,445110,Johnson's Giant Food,"815 Pelham Rd S, 36265",,,33.8053897,-85.7631195,,,n_9146477729,shop=supermarket
"Oxford, AL",,retail,452319,Dollar General,"25 Mudd Street, Eastaboga, AL, 36260",,https://www.dollargeneral.com/store-directory/al/eastaboga/12945,33.6044569,-86.0222979,,,n_10098747322,"shop=variety_store, brand=Dollar General"
"Oxford, AL",,retail,452319,Roses,,,,33.3118771,-85.7557742,,,n_10170365873,"shop=variety_store, brand=Roses"
"Oxford, AL",,retail,445110,Piggly Wiggly,"88985 Highway 9, Lineville, AL, 36266",+1 256-396-2224,,33.3113644,-85.7517766,,,n_10170365874,"shop=supermarket, brand=Piggly Wiggly"
"Oxford, AL",,retail,445120,,,,,33.5973221,-85.9262454,,,n_10930748383,shop=convenience
"Oxford, AL",,retail,445120,,,,,33.5724614,-85.8520718,,,n_11228367602,shop=convenience
"Oxford, AL",,retail,445120,,,,,33.5955616,-86.1218946,,,n_11552223440,shop=convenience
"Oxford, AL",,retail,445110,Johnsons Giant Foods,"4920 US 78, Oxford, AL",+1 256 770-0100,https://www.johnsonsgiantfood.com/,33.5977755,-85.9281143,,,n_11967441920,shop=supermarket
"Oxford, AL",,retail,445120,Quickfill,,+12567419798,,33.6038355,-85.999213,,,n_12022211120,shop=convenience
"Oxford, AL",,retail,452319,Dollar General,"1800 Friendship Road, Oxford, AL, 36203",,,33.5863574,-85.8071653,,,n_12855414793,"shop=variety_store, brand=Dollar General"
"Oxford, AL",,retail,452319,Dollar General,"1106 Caffey Drive, Oxford, AL, 36203",,,33.597209,-85.869692,,,n_12855598380,"shop=variety_store, brand=Dollar General"
"Oxford, AL",,retail,445120,Circle K,"OHATCHEE, AL",,https://www.circlek.com/store-locator/US/ohatchee/7876-alabama-hwy-77/2709322,33.78266,-86.0364181,,,n_13004805235,"shop=convenience, brand=Circle K"
"Oxford, AL",,retail,445120,Kangaroo Express,"716 Cherry Street, Talladega, AL",,https://www.circlek.com/store-locator/US/talladega/716-s-cherry-st/2654159,33.4253705,-86.0967499,,,n_13004814851,"shop=convenience, amenity=fuel, brand=Kangaroo Express"
"Oxford, AL",,retail,445110,Walmart Supercenter,"92 Plaza Lane, Oxford, AL, 36203",+1 256-835-4701,https://www.walmart.com/store/809-oxford-al,33.5989813,-85.832309,,,w_27356504,"shop=supermarket, brand=Walmart, operator=Walmart"
"Oxford, AL",,retail,445110,Walmart Supercenter,"1625 Pelham Road South, Jacksonville, AL, 36265",+1 256-435-8100,https://www.walmart.com/store/300-jacksonville-al,33.7882581,-85.7651407,,,w_109361420,"shop=supermarket, brand=Walmart, operator=Walmart"
"Oxford, AL",,retail,445110,Dorsey's Market,,,,33.61378,-85.8349024,,,w_110520281,shop=supermarket
"Oxford, AL",,retail,445110,Walmart Supercenter,"5560 McClellan Boulevard, Anniston, AL, 36206",+1 256-820-3326,https://www.walmart.com/store/329-anniston-al,33.7200711,-85.8200791,,,w_116077801,"shop=supermarket, brand=Walmart, operator=Walmart"
"Oxford, AL",,retail,445120,Grub Mart,,,,33.7497105,-85.8875798,,,w_243731780,shop=convenience
"Oxford, AL",,retail,445110,Fred's,,,,33.7697642,-85.8917062,,,w_243819858,shop=supermarket
"Oxford, AL",,retail,445120,Stateline Fuel Center,,,,33.6460028,-85.5061716,,,w_243869762,shop=convenience
"Oxford, AL",,retail,445110,Winn-Dixie,"1408 Golden Springs Road, Anniston, AL, 36207",+1 256-831-8801,https://www.winndixie.com/storedetails/anniston/al?search=447,33.6279215,-85.7875737,,,w_255533136,"shop=supermarket, brand=Winn-Dixie"
"Oxford, AL",,retail,452319,Dollar General,"619 Pelham Road South, Jacksonville, 36265",,https://www.dollargeneral.com/store-directory/al/jacksonville/3681,33.8088725,-85.7619373,,,w_391144460,"shop=variety_store, brand=Dollar General"
"Oxford, AL",,retail,445120,Country Store,,,,33.4771662,-85.8086605,,,w_444433266,shop=convenience
"Oxford, AL",,retail,445120,Circle K,,,,33.6017955,-85.8329368,,,w_456461716,"shop=convenience, brand=Circle K"
"Oxford, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/alexandria/4449,33.7654515,-85.8928789,,,w_517323254,"shop=variety_store, brand=Dollar General"
"Oxford, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/jacksonville/20316,33.8263518,-85.7716726,,,w_744704695,"shop=variety_store, brand=Dollar General"
"Oxford, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/anniston/1111,33.6267831,-85.7854549,,,w_751722454,"shop=variety_store, brand=Dollar General"
"Oxford, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/munford/8462,33.5329146,-85.9409731,,,w_751758541,"shop=variety_store, brand=Dollar General"
"Oxford, AL",,retail,445120,Abel Mall,"4304 County Road 24, Delta, AL, 36258",,,33.549572,-85.712886,,,w_852988572,shop=convenience
"Oxford, AL",,retail,445120,,,,,33.5239235,-85.6381407,,,w_853102234,shop=convenience
