Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Perdido Beach, AL",,retail,445110,Winn-Dixie,"13019 Sorrento Road, Pensacola, FL, 32507",+1 850-492-2076,https://www.winndixie.com/storedetails/pensacola/fl?search=493,30.3213613,-87.4179549,,,n_1672637310,"shop=supermarket, brand=Winn-Dixie"
"Perdido Beach, AL",,retail,445310,Park Plaza Liquor,"Suite #11 13019 Sorrento Road, 32507",,https://www.winndixie.com/Pages/Home.aspx,30.3220461,-87.4182738,,,n_1672658884,shop=alcohol
"Perdido Beach, AL",,retail,445120,Waves,,,,30.2443478,-87.7163479,,,n_1910737664,shop=convenience
"Perdido Beach, AL",,retail,445110,Rouses,"1545 Gulf Shores Parkway, Gulf Shores, AL, 36542",,,30.2660105,-87.6900354,,,n_1910751544,"shop=supermarket, brand=Rouses"
"Perdido Beach, AL",,retail,445110,Publix,"160 Cotton Creek Drive, Gulf Shores, AL, 36542-2850",+1 251-948-1281,https://www.publix.com/locations/1292,30.2986297,-87.6816058,,,n_1910763236,"shop=supermarket, brand=Publix"
"Perdido Beach, AL",,retail,445292,Yogurt+Plus,,,,30.3687908,-87.6824448,,,n_1910800156,shop=confectionery
"Perdido Beach, AL",,retail,452210,TJ Maxx,,,,30.3757563,-87.6785824,,,n_1910810082,"shop=department_store, brand=TJ Maxx"
"Perdido Beach, AL",,retail,445110,Piggly Wiggly,"1200 South McKenzie Street, Foley, AL, 36535",+1 251-990-5690,,30.3928508,-87.6846334,,,n_1910817687,"shop=supermarket, brand=Piggly Wiggly"
"Perdido Beach, AL",,retail,445292,Orange Julius,,,,30.3924713,-87.6820693,,,n_1910817688,"shop=confectionery, amenity=fast_food, brand=Orange Julius"
"Perdido Beach, AL",,retail,445110,Winn-Dixie,"1235 South McKenzie Street, Foley, AL, 36535",+1 251-943-4866,https://www.winndixie.com/storedetails/foley/al?search=570,30.3932394,-87.6818332,,,n_1910817694,"shop=supermarket, brand=Winn-Dixie"
"Perdido Beach, AL",,retail,453110,Stemz,,,,30.4049826,-87.6837,,,n_1910842777,shop=florist
