Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Red Bay, AL",,retail,446110,CVS Pharmacy,,,https://www.cvs.com/store-locator/russellville-al-pharmacies/14695-hwy-43-russellville-al-35653/storeid=78,34.5048049,-87.7177243,,,n_981238664,"shop=chemist, brand=CVS Pharmacy"
"Red Bay, AL",,retail,445110,Piggly Wiggly,"518 Fourth Avenue South, Red Bay, AL, 35582",+1 256-356-4406,,34.4387242,-88.138478,,,n_2631865387,"shop=supermarket, brand=Piggly Wiggly"
"Red Bay, AL",,retail,445110,Dollar General Market,"Red Bay, AL",,https://www.dollargeneral.com/store-directory/al/red-bay/13757,34.4401837,-88.1391151,,,n_2631872514,"shop=supermarket, brand=Dollar General"
"Red Bay, AL",,retail,445120,FRED'S,,,,34.4394051,-88.1369586,,,n_2631872522,shop=convenience
"Red Bay, AL",,retail,445110,Priceless - IGA,,,,34.4977753,-87.7239487,,,n_4917152647,shop=supermarket
"Red Bay, AL",,retail,445110,Hackleburg,"1515 Old Hackleburg Road, 35564",+1-205-935-3200,https://www.hackleburgmarket.com/,34.2766156,-87.8305482,,,n_5868363385,shop=supermarket
"Red Bay, AL",,retail,445110,Big Star,,,,34.5080664,-88.2062598,,,n_6924888162,"shop=supermarket, operator=Big Star"
"Red Bay, AL",,retail,445310,Happy Days Package Store,,,,34.5025182,-87.7308008,,,n_12779255531,shop=alcohol
"Red Bay, AL",,retail,452319,Dollar General,"Russellville, AL, 35653",,,34.5091436,-87.7178228,,,n_12779277020,"shop=variety_store, brand=Dollar General"
"Red Bay, AL",,retail,445110,Big Star,,,,34.5021492,-87.7308535,,,n_12779286799,shop=supermarket
"Red Bay, AL",,retail,452319,Dollar Tree,,,,34.5164099,-87.7183434,,,n_12779314351,"shop=variety_store, brand=Dollar Tree"
"Red Bay, AL",,retail,453110,Russellville Florist,,,,34.5048308,-87.7301463,,,n_12779314503,shop=florist
"Red Bay, AL",,retail,446191,Russellville Nutrition,,,,34.4974117,-87.7210412,,,n_12779453769,shop=health_food
"Red Bay, AL",,retail,445110,Walmart Supercenter,"13675 US Highway 43, Russellville, AL, 35653",+1 256-332-7382,https://www.walmart.com/store/403-russellville-al,34.4953677,-87.7289445,,,w_301960795,"shop=supermarket, brand=Walmart, operator=Walmart"
"Red Bay, AL",,retail,445110,Walmart Supercenter,"100 Interchange Drive, Fulton, MS, 38843",+1 662-862-2143,https://www.walmart.com/store/273-fulton-ms,34.2421536,-88.3972085,,,w_422115757,"shop=supermarket, brand=Walmart, operator=Walmart"
"Red Bay, AL",,retail,445110,Piggly Wiggly,"326 South Second Street, Belmont, MS, 38827",+1 662-454-7163,,34.5055918,-88.2062997,,,w_739579420,"shop=supermarket, brand=Piggly Wiggly, operator=PigglyWiggly"
"Red Bay, AL",,retail,445110,,,,,34.5020271,-87.7308479,,,w_745438925,shop=supermarket
"Red Bay, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ms/fulton/3684,34.2483107,-88.4049201,,,w_777828215,"shop=variety_store, brand=Dollar General"
"Red Bay, AL",,retail,445110,Walmart Supercenter,"1706 Military Street South, Hamilton, AL, 35570",+1 205-921-3090,https://www.walmart.com/store/1100-hamilton-al,34.119646,-87.9923475,,,w_955089196,"shop=supermarket, brand=Walmart, operator=Walmart"
"Red Bay, AL",,retail,452319,Dollar General,"Russellville, AL, 35653",,https://www.dollargeneral.com/store-directory/al/russellville/17373,34.479888,-87.8630695,,,w_1018645323,"shop=variety_store, brand=Dollar General"
"Red Bay, AL",,retail,445110,Big Star,,,,34.4431759,-88.1468749,,,w_1063988897,shop=supermarket
"Red Bay, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ms/mantachie/4989,34.3150932,-88.4993426,,,w_1121796479,"shop=variety_store, brand=Dollar General"
"Red Bay, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ms/belmont/4276,34.5138076,-88.2118996,,,w_1172221260,"shop=variety_store, brand=Dollar General"
"Red Bay, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/cherokee/1762,34.7519165,-87.9669676,,,w_1222639467,"shop=variety_store, brand=Dollar General"
"Red Bay, AL",,retail,445120,Marathon,,,,34.2581333,-88.455363,,,w_1311408420,"shop=convenience, brand=Marathon"
"Red Bay, AL",,retail,445120,Dorsey Food Mart,,,,34.2546823,-88.4913578,,,w_1311408910,shop=convenience
"Red Bay, AL",,retail,445120,Food Mart,,,,34.1404248,-87.9887959,,,w_1312111204,"shop=convenience, amenity=marketplace"
"Red Bay, AL",,retail,445120,Dollar General,,,,34.1274848,-87.989109,,,w_1312111208,"shop=convenience, amenity=marketplace"
"Red Bay, AL",,retail,445120,,"Fulton, MS",,,34.2480523,-88.4033495,,,w_1355284959,shop=convenience
