Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Riverside, AL",,retail,445110,foot outlet,,,,33.6120833,-85.9632739,,,n_300120881,shop=supermarket
"Riverside, AL",,retail,445120,Stephen's Express Mart,,,,33.861414,-86.0424577,,,n_649085089,shop=convenience
"Riverside, AL",,retail,452210,Dillard's,,+1 256-835-2819,https://www.dillards.com/stores/alabama/quintard-mall-oxford/0416,33.6140309,-85.8223453,,,n_1252155494,"shop=department_store, brand=Dillard's"
"Riverside, AL",,retail,452210,JCPenney,,,,33.6122707,-85.8255336,,,n_1252155752,"shop=department_store, brand=JCPenney"
"Riverside, AL",,retail,445292,32°: A Yogurt Bar,,,,33.6084148,-85.7845833,,,n_1676542262,shop=confectionery
"Riverside, AL",,retail,452210,Kohl's,"5900 Chalkville Mountain Road, Birmingham, AL, 35235",+1 205-661-0580,https://www.kohls.com/stores/al/birmingham-658.shtml,33.6455668,-86.627228,,,n_2090005145,"shop=department_store, brand=Kohl's"
"Riverside, AL",,retail,445110,Winn-Dixie,"465 Main Street, Trussville, AL, 35173",+1 205-661-0026,https://www.winndixie.com/storedetails/trussville/al?search=461,33.6153319,-86.6181014,,,n_2154621848,"shop=supermarket, brand=Winn-Dixie"
"Riverside, AL",,retail,445310,ABC Beverage,,,,33.6481904,-86.6321618,,,n_2217000896,shop=alcohol
"Riverside, AL",,retail,445110,Publix,"115 Commons Way, Oxford, AL, 36203-3483",+1 256-835-4075,https://www.publix.com/locations/1420,33.6076891,-85.7883478,,,n_2257183562,"shop=supermarket, brand=Publix"
"Riverside, AL",,retail,445310,ABC liquor ,,,http://www.abcboard.alabama.gov,33.607475,-86.6287749,,,n_2267416327,shop=alcohol
"Riverside, AL",,retail,445110,Piggly Wiggly,,,,33.6654342,-85.8254889,,,n_2396965180,"shop=supermarket, brand=Piggly Wiggly"
"Riverside, AL",,retail,452210,Midtown Outlet,,,,33.6674233,-85.8278559,,,n_2421547797,shop=department_store
"Riverside, AL",,retail,452210,Belk,"5036 Pinnacle Square, Trussville, AL, 35173",,https://www.belk.com/store/belk-trussville-al/?storeid=349,33.6084431,-86.6385161,,,n_2457343889,"shop=department_store, brand=Belk"
"Riverside, AL",,retail,452210,TJ Maxx,,,,33.6046443,-86.6381253,,,n_2457343902,"shop=department_store, brand=TJ Maxx"
"Riverside, AL",,retail,445310,ABC SELECT SPIRITS,"300 Springville Sta Blvd, Springville, AL, 35146",+1-205-467-2534,https://www.alabcboard.gov/,33.7780217,-86.4342114,,,n_2870754849,shop=alcohol
"Riverside, AL",,retail,452319,Dollar Tree,"300 Springville Station Boulevard, Springville, AL, 35146",,https://www.dollartree.com/locations/al/springville/4496/,33.7789116,-86.4343982,,,n_2870754852,"shop=variety_store, brand=Dollar Tree"
"Riverside, AL",,retail,452210,Big Lots,"3124 McClellan Boulevard, Anniston, AL, 36201",+1 256-236-9480,https://local.biglots.com/al/anniston/3124-mcclellan-blvd,33.6892041,-85.8249012,,,n_3426283137,"shop=department_store, brand=Big Lots"
"Riverside, AL",,retail,445120,Allen's Food Mart,"33867 US Highway 280, Childersburg, AL, 35044",+1 256 378 7809,http://www.exxonmobilstations.com/en/13907-allens-food-mart-27-childersburg,33.2634204,-86.349421,,,n_4076735528,shop=convenience
"Riverside, AL",,retail,445120,The Cotton Patch,"6478 Renfroe Road, Talladega, AL, 35160",+1 256 268 2778,https://thecottonpatchal.com/home.htm,33.4553687,-86.2542454,,,n_4080688862,shop=convenience
"Riverside, AL",,retail,445120,,,,,33.5900689,-86.16349,,,n_4549979453,shop=convenience
"Riverside, AL",,retail,445110,Exile Armory,,,,33.7518409,-85.8328918,,,n_4808916746,shop=supermarket
"Riverside, AL",,retail,445110,Lion Foods,,,,33.7811962,-85.8988883,,,n_5048449745,shop=supermarket
"Riverside, AL",,retail,446120,,,,,33.6423283,-86.6238223,,,n_6352909950,shop=beauty
"Riverside, AL",,retail,446120,Palm Beach Tan,,,https://palmbeachtan.com/locations/AL/Trussville-Frank-Street,33.6424209,-86.6248077,,,n_6352909951,"shop=beauty, brand=Palm Beach Tan"
"Riverside, AL",,retail,445110,ALDI,"5485 Patrick Way, Birmingham, AL, 35235",+1 833-470-7035,https://stores.aldi.us/al/birmingham/5485-patrick-way,33.6104075,-86.6236095,,,n_7122756252,"shop=supermarket, brand=ALDI"
"Riverside, AL",,retail,446120,Ulta Beauty,"5473 Patrick Way, Birmingham, AL, 35235",+1 205-655-0767,https://www.ulta.com/stores/birmingham-al-1154,33.6099251,-86.6239977,,,n_7122756254,"shop=beauty, brand=Ulta Beauty"
"Riverside, AL",,retail,452319,Five Below,,+1 205-661-0361,https://locations.fivebelow.com/al/birmingham/5463-patrick-way,33.6097301,-86.62454,,,n_7122756256,"shop=variety_store, brand=Five Below"
"Riverside, AL",,retail,445110,Piggly Wiggly,"6730 Deerfoot Parkway, Clay, AL, 35048",+1 205-681-3639,,33.6974321,-86.6078766,,,n_7141430154,"shop=supermarket, brand=Piggly Wiggly"
"Riverside, AL",,retail,446120,Super Nail & Spa,,,,33.6978098,-86.6078227,,,n_7141430156,shop=beauty
"Riverside, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/trussville/21618,33.6169244,-86.6152504,,,n_7154346032,"shop=variety_store, brand=Dollar General"
"Riverside, AL",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/al/trussville/2395/,33.6155715,-86.617434,,,n_7154346048,"shop=variety_store, brand=Dollar Tree"
"Riverside, AL",,retail,446110,Nelm's Pharmacy,,,,33.6136385,-86.6087843,,,n_7154359484,shop=chemist
"Riverside, AL",,retail,452210,Ross,"5933 Trussville Crossings Parkway, Trussville, AL, 35235",+1 205-655-4183,https://www.rossstores.com/,33.6392044,-86.62726,,,n_7297923930,"shop=department_store, brand=Ross"
"Riverside, AL",,retail,452319,Tools & More!,"6200 Grand River Boulevard, Leeds, AL, 35094",+1-205-702-4247,,33.5494027,-86.5961687,,,n_7373007263,shop=variety_store
"Riverside, AL",,retail,452319,Ollie's Bargain Outlet,,,,33.6855601,-85.8204031,,,n_7727054479,"shop=variety_store, brand=Ollie's Bargain Outlet"
"Riverside, AL",,retail,445110,Target,"1654 Gadsden Highway, Birmingham, AL, 35235",+1 205-655-6950,https://www.target.com/sl/trussville/1773,33.605437,-86.6372845,,,n_7847374594,"shop=supermarket, brand=Target"
"Riverside, AL",,retail,452210,Marshalls,"5929 Trussville Crossings Pkwy, Trussville, AL, 35235",+1-205-655-7743,https://www.marshalls.com/us/store/stores/Trussville-AL-35235/767/aboutstore/,33.6391399,-86.6277568,,,n_7934996184,"shop=department_store, brand=Marshalls"
"Riverside, AL",,retail,445110,Piggly Wiggly,"100 Council Drive, Odenville, AL, 35120",+1 205-629-6390,,33.6752717,-86.4062638,,,n_8560049551,"shop=supermarket, brand=Piggly Wiggly"
"Riverside, AL",,retail,452319,Dollar General,"25 Mudd Street, Eastaboga, AL, 36260",,https://www.dollargeneral.com/store-directory/al/eastaboga/12945,33.6044569,-86.0222979,,,n_10098747322,"shop=variety_store, brand=Dollar General"
"Riverside, AL",,retail,445120,,,,,33.5973221,-85.9262454,,,n_10930748383,shop=convenience
"Riverside, AL",,retail,445120,,,,,33.5928764,-86.2831764,,,n_11054069979,shop=convenience
"Riverside, AL",,retail,445120,,,,,33.5724614,-85.8520718,,,n_11228367602,shop=convenience
"Riverside, AL",,retail,446120,Fragrance outlet,,,,33.5488295,-86.595275,,,n_11378280651,shop=perfumery
"Riverside, AL",,retail,446120,Bath & Body Works,,,,33.5484217,-86.5955647,,,n_11418198799,"shop=cosmetics, brand=Bath & Body Works"
"Riverside, AL",,retail,446120,Nail Plus,,,,33.6156678,-86.6172117,,,n_11494914238,shop=beauty
"Riverside, AL",,retail,446120,Top Ten Nails,"245 Us-11, Trussville, AL, 35173",+1-205-467-2194,,33.6974018,-86.5229326,,,n_11537299450,"shop=beauty, operator=Top Ten Nails"
"Riverside, AL",,retail,445120,,,,,33.5955616,-86.1218946,,,n_11552223440,shop=convenience
"Riverside, AL",,retail,446120,B & K Nails,"183 County Road 12, Odenville, AL, 35120",+1-205-629-0890,,33.6746747,-86.4892869,,,n_11661728904,"shop=beauty, operator=B & K Nails"
"Riverside, AL",,retail,446120,Sugarplum Kids,,,,33.6060797,-86.6413101,,,n_11688090335,shop=beauty
"Riverside, AL",,retail,446120,Bath & Body Works,"1628 Gadsden Highway, Trussville, AL, 35173",,https://www.bathandbodyworks.com/?cm_mmc=local_bbw01678,33.6038243,-86.6398671,,,n_11688091981,"shop=cosmetics, brand=Bath & Body Works"
"Riverside, AL",,retail,446120,Genesis Nail Spa,,,,33.6039018,-86.639803,,,n_11688091983,shop=beauty
"Riverside, AL",,retail,453991,Tobacco Shop,,,,33.6402163,-86.6306615,,,n_11688484714,shop=tobacco
"Riverside, AL",,retail,446120,Bath & Body Works,,,,33.640128,-86.6306619,,,n_11688484715,"shop=cosmetics, brand=Bath & Body Works"
"Riverside, AL",,retail,446120,Vickie Nails,,,,33.6402742,-86.6306613,,,n_11688484716,shop=beauty
"Riverside, AL",,retail,446191,Margaret Nutrition,"135 Jeffrey Wilson Drive, Odenville, AL, 35120",+1-205-736-1126,,33.6725484,-86.4893685,,,n_11706317570,"shop=health_food, operator=Margaret Nutrition"
"Riverside, AL",,retail,452319,Dollar Tree,,,,33.6408893,-86.6305104,,,n_11774091566,"shop=variety_store, brand=Dollar Tree"
"Riverside, AL",,retail,445110,Johnsons Giant Foods,"4920 US 78, Oxford, AL",+1 256 770-0100,https://www.johnsonsgiantfood.com/,33.5977755,-85.9281143,,,n_11967441920,shop=supermarket
