Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Union, AL",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/al/northport/2428/,33.2371453,-87.6114133,,,n_2151204967,"shop=variety_store, brand=Dollar Tree"
"Union, AL",,retail,445310,State Liquor Store 82,"5550 McFarland Boulevard, 35476",,,33.2372081,-87.6110914,,,n_2151206969,shop=alcohol
"Union, AL",,retail,445110,Asian Market,"1910 Greensboro Avenue, 35401",,,33.1954606,-87.5622855,,,n_2151219554,shop=supermarket
"Union, AL",,retail,445110,Piggly Wiggly,"1721 Greensboro Avenue, Tuscaloosa, AL, 35401",+1 205-758-6832,,33.1968209,-87.5621399,,,n_2231208672,"shop=supermarket, brand=Piggly Wiggly"
"Union, AL",,retail,452319,Family Dollar,,,,32.9977066,-87.6225516,,,n_2681643924,"shop=variety_store, brand=Family Dollar"
"Union, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/tuscaloosa/8600,33.1449134,-87.5466375,,,n_2729266779,"shop=variety_store, brand=Dollar General"
"Union, AL",,retail,445120,La Ixtapita Mexican Grocery,2144 Greensboro Ave,,,33.1916229,-87.5598105,,,n_2747573605,shop=convenience
"Union, AL",,retail,452210,Big Lots,"5510 McFarland Boulevard, Northport, AL, 35476",+1 205-333-0096,https://local.biglots.com/al/northport/5510-mcfarland-blvd,33.2376801,-87.609394,,,n_4977430848,"shop=department_store, brand=Big Lots"
"Union, AL",,retail,445110,Publix,"1101 Southview Lane, Tuscaloosa, AL, 35405-6389",+1 205-247-7710,https://www.publix.com/locations/1253,33.1232121,-87.5527196,,,n_6632679734,"shop=supermarket, brand=Publix"
"Union, AL",,retail,445110,Winn-Dixie,"9750 Highway 69 South, Tuscaloosa, AL, 35405",+1 205-366-0355,https://www.winndixie.com/storedetails/tuscaloosa/al?search=479,33.1179128,-87.5530012,,,n_6632679735,"shop=supermarket, brand=Winn-Dixie"
"Union, AL",,retail,452319,Ollie's Bargain Outlet,,,,33.1632303,-87.5455603,,,n_6685888661,"shop=variety_store, brand=Ollie's Bargain Outlet"
"Union, AL",,retail,445310,ABC Store #238,,,,33.202685,-87.5687931,,,n_6929085398,"shop=alcohol, operator=State of Alabama"
