Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Valley, AL",,retail,445110,Kroger,"300 North Dean Road, Auburn, AL, 36830",+1 334-821-1325,https://www.kroger.com/stores/grocery/al/auburn/corner-village/011/00260,32.6105188,-85.4634465,,,n_2814709689,"shop=supermarket, brand=Kroger"
"Valley, AL",,retail,452319,Toomer's Drugs,"100 North College Street, Auburn, AL, 36830",+1-334-887-3488,http://www.toomersdrugs.com/,32.6067044,-85.4815391,,,n_2822078401,shop=general
"Valley, AL",,retail,445292,The Auburn Popcorn Company,,,,32.6069051,-85.4815397,,,n_2822078403,shop=confectionery
"Valley, AL",,retail,452319,Dollar Tree,"2000 280 Bypass, Phenix City, 36867",+1 334 298 9552,,32.4798586,-85.0293526,,,n_2894739234,"shop=variety_store, brand=Dollar Tree"
"Valley, AL",,retail,445310,ABC Store,,,,32.584273,-85.4879656,,,n_3347198442,"shop=alcohol, operator=Alabama Alcohol Beverage Control Board"
"Valley, AL",,retail,446120,Daffin's Beauty Salon,,,,32.8662256,-84.8546151,,,n_4077106759,shop=beauty
"Valley, AL",,retail,445110,Publix,"2900 East University Drive, Auburn, AL, 36830",+1 334-502-2416,https://www.publix.com/locations/1355,32.6381809,-85.4801561,,,n_4243555464,"shop=supermarket, brand=Publix"
"Valley, AL",,retail,452210,TJ Maxx,,,,33.0437452,-84.9819875,,,n_4518420964,"shop=department_store, brand=TJ Maxx"
"Valley, AL",,retail,445110,Earth Fare,,,,32.6233717,-85.4468207,,,n_4632279320,shop=supermarket
"Valley, AL",,retail,452210,Dillard's,,+1 334-821-3900,https://www.dillards.com/stores/alabama/auburn-mall-auburn/0417,32.6281021,-85.4482678,,,n_4635543786,"shop=department_store, brand=Dillard's"
"Valley, AL",,retail,452210,Belk,,,,32.6266896,-85.4462421,,,n_4635543787,"shop=department_store, brand=Belk"
