Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Valley Head, AL",,retail,445120,HWY 48 Food Mart,,,,34.4727823,-85.3702669,,,n_974266579,shop=convenience
"Valley Head, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/fort-payne/1934,34.4591228,-85.7074426,,,n_1360647462,"shop=variety_store, brand=Dollar General"
"Valley Head, AL",,retail,445120,Circle K,,,,34.4386305,-85.7565995,,,n_1360686845,"shop=convenience, brand=Circle K"
"Valley Head, AL",,retail,445110,Bruce's Foodland,,,,34.4672743,-85.7014345,,,n_1360686867,shop=supermarket
"Valley Head, AL",,retail,445110,Ingles,,,,34.8678339,-85.5107576,,,n_2917912535,"shop=supermarket, brand=Ingles"
"Valley Head, AL",,retail,445110,Lucky's Supermarket,"17175 State Highway 75, Henagar, 35978",,,34.6307875,-85.7451278,,,n_3462799957,"shop=supermarket, operator=Ragland Bro's"
"Valley Head, AL",,retail,452319,Dollar General,"32 Bellview Road, Henagar, AL, 35978",,https://www.dollargeneral.com/store-directory/al/henagar/634,34.6315487,-85.7434384,,,n_3462799959,"shop=variety_store, brand=Dollar General"
"Valley Head, AL",,retail,445120,Country Store,,,,34.5006459,-85.6183999,,,n_4415250182,shop=convenience
"Valley Head, AL",,retail,445120,Kangaroo Express,,,,34.8701105,-85.5179361,,,n_6139864249,"shop=convenience, brand=Kangaroo Express"
"Valley Head, AL",,retail,452210,Big Lots,"110 Dekalb Plaza Boulevard Southwest, Fort Payne, AL, 35967",+1 256-845-8186,https://local.biglots.com/al/fort-payne/110-dekalb-plaza-blvd-sw,34.4312223,-85.7337316,,,n_6376254430,"shop=department_store, brand=Big Lots"
"Valley Head, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/fort-payne/943,34.4397062,-85.723469,,,n_6376254437,"shop=variety_store, brand=Dollar General"
"Valley Head, AL",,retail,445120,Xtreme,,,,34.4591348,-85.7064102,,,n_6376254442,shop=convenience
"Valley Head, AL",,retail,445110,Price Less IGA,,,,34.4614569,-85.7050261,,,n_6376254454,"shop=supermarket, brand=IGA"
"Valley Head, AL",,retail,452210,Hammer's,,,,34.4437719,-85.7208136,,,n_6376254458,shop=department_store
"Valley Head, AL",,retail,445120,MAPCO,,,,34.4510049,-85.6858653,,,n_6376301577,shop=convenience
"Valley Head, AL",,retail,445120,Timesaver,,,,34.4667159,-85.6481802,,,n_6376301580,shop=convenience
"Valley Head, AL",,retail,445110,Fyffe Foodland,,,,34.443161,-85.908923,,,n_6376600463,shop=supermarket
"Valley Head, AL",,retail,452319,Dollar General,"1258 Main Street, Fyffe, AL, 35971",,https://www.dollargeneral.com/store-directory/al/fyffe/3986,34.4447625,-85.9083855,,,n_6376600464,"shop=variety_store, brand=Dollar General"
"Valley Head, AL",,retail,445120,Mapco,,,,34.4582603,-85.707951,,,n_6376686465,"shop=convenience, brand=Mapco"
"Valley Head, AL",,retail,445120,Mapco,,,,34.4900645,-85.6807377,,,n_6376730052,"shop=convenience, brand=Mapco"
