Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Waterloo, AL",,retail,445310,ABC Liquor Store,"2801 Mall Road, Florence, AL",,,34.839394,-87.6397121,,,n_1254093220,"shop=alcohol, operator=Alabama Alcoholic Beverage Control Board"
"Waterloo, AL",,retail,445120,Eastport Marina Store,"892 County Road 956, Iuka, 38852",,,34.883858,-88.1056371,,,n_3328405528,shop=convenience
"Waterloo, AL",,retail,445110,Dales Store,,,,35.0587377,-88.0667067,,,n_3431263961,shop=supermarket
"Waterloo, AL",,retail,445110,ALDI,"1825 South Harper Road, Corinth, MS, 38834",+1 833-470-7059,https://stores.aldi.us/ms/corinth/1825-south-harper-rd,34.9143877,-88.4989446,,,n_8663503106,"shop=supermarket, brand=ALDI"
"Waterloo, AL",,retail,445110,Food Outlet,,,,34.8963221,-87.7935319,,,n_9842294287,shop=supermarket
"Waterloo, AL",,retail,452210,Marshalls,,,,34.9147563,-88.4989357,,,n_10894523687,"shop=department_store, brand=Marshalls"
"Waterloo, AL",,retail,445120,Snap Mart,"317 Hwy 72, Burnsville, MS, 38833",,,34.8358217,-88.3159975,,,n_11340452155,shop=convenience
"Waterloo, AL",,retail,445110,Piggly Wiggly,"627 Battleground Drive, Iuka, MS, 38852",+1 662-423-3651,http://hometownpigglywiggly.net,34.8072383,-88.1993944,,,n_11802569678,"shop=supermarket, brand=Piggly Wiggly"
"Waterloo, AL",,retail,445310,Southern Liquor,35630,2563492945,,34.8235978,-87.6820085,,,n_12246651101,shop=alcohol
"Waterloo, AL",,retail,452319,Dollar General,1501 North Wood Avenue,,,34.8210122,-87.6835809,,,n_12337264839,"shop=variety_store, brand=Dollar General"
"Waterloo, AL",,retail,452319,Dollar Tree,1510 North Wood Avenue,,,34.8213555,-87.6813048,,,n_12337264841,"shop=variety_store, brand=Dollar Tree"
"Waterloo, AL",,retail,446120,Finger Promise,1505 North Wood Avenue,,,34.8213678,-87.6836153,,,n_12337264848,shop=beauty
"Waterloo, AL",,retail,446120,Solar Nails,960 Cox Creek Parkway,,,34.8396126,-87.6859652,,,n_12337264852,shop=beauty
"Waterloo, AL",,retail,445110,FoodLand,"1708 Darby Drive, Florence, AL, 35630",+1 256-767-2227,https://www.foodlandgrocery.com/store-locations/darby-drive-foodland/,34.8226708,-87.654199,,,n_12500539581,"shop=supermarket, brand=FoodLand"
"Waterloo, AL",,retail,446110,Burnsville Discount drugs,"603 A Highway 365, Burnsville, MS, 38833",,,34.8353092,-88.3252118,,,n_12600983358,shop=chemist
"Waterloo, AL",,retail,445110,B&J'S Supermarket,"605 Highway 365, Burnsville, MS, 38833",,,34.835729,-88.3249838,,,n_12600983360,shop=supermarket
"Waterloo, AL",,retail,445120,,,,,34.7100555,-87.7447933,,,n_12670976420,shop=convenience
"Waterloo, AL",,retail,446110,CVS Pharmacy,1501 Florence Boulevard,,https://www.cvs.com/store-locator/florence-al-pharmacies/1501-florence-blvd-florence-al-35630/storeid=4817,34.8206406,-87.6557197,,,w_220966965,"shop=chemist, brand=CVS Pharmacy"
"Waterloo, AL",,retail,452210,Target,"372 Cox Creek Parkway, Florence, AL, 35630",+1 256-764-6924,https://www.target.com/sl/florence/1322,34.8422082,-87.6340708,,,w_220969925,"shop=department_store, brand=Target"
"Waterloo, AL",,retail,445110,Food Outlet,"2503 North Wood Avenue, Florence, AL, 35630",+1-256-766-0456,,34.8377681,-87.6867993,,,w_222719381,shop=supermarket
"Waterloo, AL",,retail,445110,Walmart Supercenter,"517 Avalon Avenue, Muscle Shoals, AL, 35661",+1 256-381-0987,https://www.walmart.com/store/660-muscle-shoals-al,34.7477608,-87.6735887,,,w_224440422,"shop=supermarket, brand=Walmart"
"Waterloo, AL",,retail,446110,Walgreens,"800 Wayne Road, Savannah, TN, 38372",+1 731 926 1195,https://www.walgreens.com/locator/walgreens-800+wayne+rd-savannah-tn-38372/id=10871,35.2269212,-88.2328793,,,w_389795897,"shop=chemist, brand=Walgreens"
"Waterloo, AL",,retail,445110,Walmart Supercenter,"175 Bell Lane, Savannah, TN, 38372",+1 731-925-3020,https://www.walmart.com/store/268-savannah-tn,35.2240251,-88.2146584,,,w_389892847,"shop=supermarket, brand=Walmart"
"Waterloo, AL",,retail,445110,Kroger,"775 Pickwick Street South, Savannah, TN, 38372",+1 731-925-9700,https://www.kroger.com/stores/grocery/tn/savannah/savannah/025/00484,35.2165206,-88.2440369,,,w_389983527,"shop=supermarket, brand=Kroger"
"Waterloo, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/tn/savannah/11068,35.2130771,-88.2437642,,,w_390132804,"shop=variety_store, brand=Dollar General"
"Waterloo, AL",,retail,445110,Fred's,,,,35.2066006,-88.240008,,,w_390132814,shop=supermarket
"Waterloo, AL",,retail,445120,Dodge's Store,,,,35.2270688,-88.2354167,,,w_390132911,shop=convenience
"Waterloo, AL",,retail,445120,Shell,,,,35.2280522,-88.2325655,,,w_390132917,"shop=convenience, brand=Shell"
"Waterloo, AL",,retail,445310,64 Liquors,,,,35.2279386,-88.2331777,,,w_390132919,shop=alcohol
"Waterloo, AL",,retail,445310,Cedar Chest Liquors,,,,35.2269503,-88.2187079,,,w_390132930,shop=alcohol
"Waterloo, AL",,retail,445120,,,,,35.2245024,-88.2434235,,,w_390132931,shop=convenience
"Waterloo, AL",,retail,445310,,,,,35.2226434,-88.246346,,,w_390132937,shop=alcohol
"Waterloo, AL",,retail,445310,Pickwick Package Store,,,,35.2220456,-88.2470878,,,w_390132938,shop=alcohol
"Waterloo, AL",,retail,445120,,,,,35.2251792,-88.2533558,,,w_390132942,shop=convenience
"Waterloo, AL",,retail,445120,,,,,35.2168197,-88.2337749,,,w_390132944,shop=convenience
"Waterloo, AL",,retail,453110,,,,,35.2269901,-88.2365697,,,w_390892740,shop=florist
"Waterloo, AL",,retail,445120,,,,,35.2377259,-88.2310827,,,w_390892749,shop=convenience
"Waterloo, AL",,retail,445120,,,,,35.2128846,-88.2452801,,,w_390892756,shop=convenience
"Waterloo, AL",,retail,452210,JCPenney,,+1-256-766-8280,,34.8380592,-87.637739,,,w_447099940,"shop=department_store, brand=JCPenney"
"Waterloo, AL",,retail,445120,,602 Cox Creek Parkway,,,34.844636,-87.6466119,,,w_447269596,shop=convenience
"Waterloo, AL",,retail,452210,Dillard's,,+1-256-766-8200,https://www.dillards.com/stores/alabama/florence-mall-florence/0453,34.8368354,-87.6363633,,,w_447280334,"shop=department_store, brand=Dillard's"
"Waterloo, AL",,retail,452210,Sears,,+1-256-760-3400,,34.8362239,-87.6343216,,,w_447280335,"shop=department_store, brand=Sears"
"Waterloo, AL",,retail,445110,ALDI,"411 Cox Creek Parkway, Florence, AL, 35630",+1 833-470-7096,https://stores.aldi.us/al/florence/411-cox-creek-pkwy,34.8411438,-87.6400928,,,w_447303213,"shop=supermarket, brand=ALDI"
"Waterloo, AL",,retail,446120,,"Cox Creek Parkway, Florence, AL, 35630",+1-256-764-1820,https://palmbeachtan.com/locations/AL/Cox-Creek-Parkway/,34.8410115,-87.6394171,,,w_447502692,shop=beauty
"Waterloo, AL",,retail,452210,Belk,,+1-256-760-2400,,34.8381478,-87.636416,,,w_447751223,"shop=department_store, brand=Belk"
"Waterloo, AL",,retail,452210,Belk,,+1-256-760-2400,,34.8372294,-87.634798,,,w_447751227,"shop=department_store, brand=Belk"
"Waterloo, AL",,retail,446120,Studio Nails & Spa,,+1-256-766-0450,,34.8378143,-87.6373823,,,w_447751235,shop=beauty
"Waterloo, AL",,retail,445292,Great American Cookie,,+1-256-760-8400,,34.8377303,-87.6364406,,,w_447751242,shop=confectionery
"Waterloo, AL",,retail,446120,Bath & Body Works,,+1-256-740-4677,,34.8372489,-87.6361875,,,w_447751260,"shop=cosmetics, brand=Bath & Body Works"
"Waterloo, AL",,retail,445110,Price Less IGA,1421 North Wood Avenue,,,34.8204888,-87.6824357,,,w_448731506,shop=supermarket
"Waterloo, AL",,retail,453110,Kaleidoscope Florist & Designs,"1633 Darby Drive, Florence, AL, 35630",+1-256-767-2056,https://www.kaleidoscopeflorist.com/,34.8214891,-87.6571145,,,w_449265450,shop=florist
"Waterloo, AL",,retail,445110,Walmart Neighborhood Market,"1410 Florence Boulevard, Florence, AL, 35630",+1 256-712-6195,https://www.walmart.com/store/4188-florence-al,34.817906,-87.6564751,,,w_449417838,"shop=supermarket, brand=Walmart, operator=Walmart"
"Waterloo, AL",,retail,445110,El Patron Tienda Mexicana,"1550 Florence Boulevard, Florence, AL, 35630",,,34.8200117,-87.654568,,,w_449423805,shop=supermarket
"Waterloo, AL",,retail,452319,Dollar Tree,"1606 Florence Boulevard, Florence, AL, 35630",,https://www.dollartree.com/locations/al/florence/322/,34.8206508,-87.6507625,,,w_449449378,"shop=variety_store, brand=Dollar Tree"
"Waterloo, AL",,retail,445120,,2106 Florence Boulevard,,,34.8246982,-87.6447332,,,w_449561647,shop=convenience
"Waterloo, AL",,retail,445120,,600 North Royal Avenue,,,34.8122694,-87.6709697,,,w_449740697,shop=convenience
"Waterloo, AL",,retail,446120,Marcia's,"851 Florence Boulevard, Florence, AL, 35630",,,34.8081858,-87.6655674,,,w_449751157,shop=beauty
"Waterloo, AL",,retail,452319,Fred's,"321 North Court Street, Florence, AL, 35630",,,34.8024879,-87.6778927,,,w_450669784,shop=general
"Waterloo, AL",,retail,453110,Something Ele'gant,"416 North Court Street, Florence, AL, 35630",,,34.8037039,-87.677846,,,w_451075616,shop=florist
"Waterloo, AL",,retail,446120,Bronzed Body Luxury Tanning,"110 South Seminary Street, Florence, AL, 35630",,http://www.bronzedbodytanning.com/,34.8003025,-87.6745373,,,w_451922708,shop=beauty
"Waterloo, AL",,retail,445110,Oriental Pearl,"111 East Tennessee Street, Florence, AL, 35630",,,34.8005678,-87.6755465,,,w_451938368,shop=supermarket
"Waterloo, AL",,retail,445230,Jack O'Lantern Farms,"123 East Mobile Street, Florence, AL, 35630",,,34.8016237,-87.6756067,,,w_451952595,shop=greengrocer
"Waterloo, AL",,retail,445310,The Carriage,"121 East Mobile Street, Florence, AL, 35630",+1-256-810-3752,http://www.thecarriagewineandmarket.com/,34.8015875,-87.6756576,,,w_451952596,shop=wine
"Waterloo, AL",,retail,446191,Valley Health Fooods,"117 South Cherry Street, Florence, AL, 35630",+1-256-764-5340,https://www.valley-health-foods.com/,34.8024954,-87.668923,,,w_452305803,shop=health_food
"Waterloo, AL",,retail,445120,,,,,34.8117124,-87.665814,,,w_454354764,shop=convenience
"Waterloo, AL",,retail,445310,ABC Beverages,"924 Florence Boulevard, Florence, AL, 35630",,,34.8129146,-87.6643729,,,w_454354768,shop=alcohol
"Waterloo, AL",,retail,445120,LiL' Steve's,,,,34.8130242,-87.6643422,,,w_454354769,shop=convenience
"Waterloo, AL",,retail,452319,Dollar General,"1115 Florence Blvd, Florence, AL, 35630",,https://www.dollargeneral.com/store-directory/al/florence/3663,34.8169403,-87.6631602,,,w_454362311,"shop=variety_store, brand=Dollar General"
"Waterloo, AL",,retail,452319,Dollar Tree,"378 Cox Creek Parkway, Florence, AL, 35630",,https://www.dollartree.com/locations/al/florence/88/,34.8423515,-87.636001,,,w_456804776,"shop=variety_store, brand=Dollar Tree"
"Waterloo, AL",,retail,445120,,2291 Florence Boulevard,,,34.8280242,-87.6397698,,,w_457045590,shop=convenience
"Waterloo, AL",,retail,445120,,2411 Darby Drive,,,34.8355638,-87.6536526,,,w_458007971,shop=convenience
"Waterloo, AL",,retail,445120,,802 Cox Creek Parkway,,,34.8443047,-87.6673198,,,w_458011030,shop=convenience
"Waterloo, AL",,retail,445120,,801 Cox Creek Parkway,,,34.8432614,-87.666947,,,w_458011036,shop=convenience
"Waterloo, AL",,retail,445120,,825 Cox Creek Parkway,,,34.8428022,-87.6688526,,,w_458091458,shop=convenience
"Waterloo, AL",,retail,445120,,1451 Helton Drive,,,34.8199442,-87.6675488,,,w_458167022,shop=convenience
"Waterloo, AL",,retail,446110,CVS Pharmacy,"1002 Cox Creek Parkway, Florence, AL, 35633",,https://www.cvs.com/store-locator/florence-al-pharmacies/1002-cox-creek-pkwy-florence-al-35633/storeid=4925,34.8401369,-87.6888093,,,w_458324905,"shop=chemist, brand=CVS Pharmacy"
"Waterloo, AL",,retail,445110,Walmart Supercenter,"2701 Cloverdale Road, Florence, AL, 35633",+1 256-712-6410,https://www.walmart.com/store/4187-florence-al,34.8430262,-87.6919015,,,w_458343172,"shop=supermarket, brand=Walmart, operator=Walmart"
"Waterloo, AL",,retail,445120,,,,,35.2247733,-88.2527472,,,w_491166208,shop=convenience
"Waterloo, AL",,retail,452319,Dollar Tree,"120 J I Bell Lane, Savannah, TN, 38372",,https://www.dollartree.com/locations/tn/savannah/2436/,35.2249302,-88.2170517,,,w_583098185,"shop=variety_store, brand=Dollar Tree"
"Waterloo, AL",,retail,445110,Walmart Supercenter,"2301 South Harper Road, Corinth, MS, 38834",+1 662-287-3148,https://www.walmart.com/store/105-corinth-ms,34.9099279,-88.5021488,,,w_589996030,"shop=supermarket, brand=Walmart, operator=Walmart"
"Waterloo, AL",,retail,445110,Piggly Wiggly,"940 Wayne Road, Savannah, TN, 38372",+1 731-925-3276,,35.2258697,-88.2304065,,,w_594329498,"shop=supermarket, brand=Piggly Wiggly"
"Waterloo, AL",,retail,452319,Family Dollar,,,,35.2260126,-88.2306976,,,w_594329503,"shop=variety_store, brand=Family Dollar"
"Waterloo, AL",,retail,445110,Gardner's,,,,34.9145755,-88.5051575,,,w_595960070,shop=supermarket
"Waterloo, AL",,retail,445120,,,,,34.8196074,-87.6795963,,,w_638600938,shop=convenience
"Waterloo, AL",,retail,445120,,,,,34.8590752,-87.6910765,,,w_650229643,shop=convenience
"Waterloo, AL",,retail,445120,,4408 Cloverdale Road,,,34.8706745,-87.6918191,,,w_650918031,shop=convenience
"Waterloo, AL",,retail,445120,,4401 Chisholm Road,,,34.873459,-87.6742114,,,w_651350027,shop=convenience
"Waterloo, AL",,retail,445110,FoodLand,"103 West 1st Street, Tuscumbia, AL, 35674",,https://foodlandgrocery.com/,34.7361316,-87.7043161,,,w_729951451,"shop=supermarket, brand=FoodLand"
"Waterloo, AL",,retail,446110,Trading Post Discount Drugs,,,,34.7316443,-87.7047729,,,w_829841698,shop=chemist
"Waterloo, AL",,retail,445310,Pickwick Package Store,,,,35.2109465,-88.2396564,,,w_974547920,shop=alcohol
"Waterloo, AL",,retail,445120,,,,,35.0471773,-88.2545285,,,w_1000292562,shop=convenience
"Waterloo, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/tn/michie/11554,35.0571785,-88.4326335,,,w_1011152330,"shop=variety_store, brand=Dollar General"
"Waterloo, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/sheffield/20423,34.7757705,-87.668165,,,w_1080123514,"shop=variety_store, brand=Dollar General"
"Waterloo, AL",,retail,452210,Walmart,"1110 Battleground Drive, Iuka, MS, 38852",+1 662-423-3054,https://www.walmart.com/store/274-iuka-ms,34.8043168,-88.2045436,,,w_1110670388,"shop=department_store, brand=Walmart, operator=Walmart"
"Waterloo, AL",,retail,452319,Dollar General,"2420 Highway 72 East, MS",,https://www.dollargeneral.com/store-directory/ms/glen/17186,34.8720877,-88.4311378,,,w_1172586825,"shop=variety_store, brand=Dollar General"
"Waterloo, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/florence/20420,34.8726848,-87.6931605,,,w_1186267731,"shop=variety_store, brand=Dollar General"
"Waterloo, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ms/corinth/9678,34.9311106,-88.4571825,,,w_1187764913,"shop=variety_store, brand=Dollar General"
"Waterloo, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/tn/savannah/19441,35.1302883,-88.2543402,,,w_1208130517,"shop=variety_store, brand=Dollar General"
"Waterloo, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/tn/iron-city/19912,35.0210217,-87.6709565,,,w_1210012889,"shop=variety_store, brand=Dollar General"
"Waterloo, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/tn/counce/1533,35.0425673,-88.2743976,,,w_1222639456,"shop=variety_store, brand=Dollar General"
"Waterloo, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/cherokee/1762,34.7519165,-87.9669676,,,w_1222639467,"shop=variety_store, brand=Dollar General"
"Waterloo, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/tuscumbia/197,34.7444317,-87.6826666,,,w_1229284832,"shop=variety_store, brand=Dollar General"
