Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Wedowee, AL",,retail,445230,,,,,33.5794775,-85.2059688,,,n_2517038399,shop=greengrocer
"Wedowee, AL",,retail,445110,Piggly Wiggly,"136 Lovvorn Avenue, Bowdon, GA, 30108",+1 770-258-2465,https://www.pigglywiggly.com/,33.5402736,-85.2521365,,,n_6093088848,"shop=supermarket, brand=Piggly Wiggly, operator=Mark Dermo"
"Wedowee, AL",,retail,445120,R & R Grocery & Deli,,+1 (770) 854-4700,,33.4566826,-85.130935,,,n_7529414745,"shop=convenience, amenity=fast_food"
"Wedowee, AL",,retail,445120,Bowdon Mini Mart,,,,33.5371351,-85.2529003,,,n_7623757953,shop=convenience
"Wedowee, AL",,retail,445110,Piggly Wiggly,"800 Ross Street, Heflin, AL, 36264",+1 256-463-7769,,33.6477873,-85.5865092,,,n_8595469364,"shop=supermarket, brand=Piggly Wiggly"
"Wedowee, AL",,retail,445120,,,,,33.4244551,-85.1344878,,,n_9074149154,shop=convenience
"Wedowee, AL",,retail,445120,,,,,33.4239063,-85.1342686,,,n_9074149155,shop=convenience
"Wedowee, AL",,retail,452319,Roses,,,,33.3118771,-85.7557742,,,n_10170365873,"shop=variety_store, brand=Roses"
"Wedowee, AL",,retail,445110,Piggly Wiggly,"88985 Highway 9, Lineville, AL, 36266",+1 256-396-2224,,33.3113644,-85.7517766,,,n_10170365874,"shop=supermarket, brand=Piggly Wiggly"
"Wedowee, AL",,retail,452319,Dollar General,,,,33.1378777,-85.3561564,,,n_12269309915,"shop=variety_store, brand=Dollar General"
"Wedowee, AL",,retail,452319,Dollar General,,,,33.5594817,-85.1820379,,,n_12297758034,"shop=variety_store, brand=Dollar General"
"Wedowee, AL",,retail,445120,Stateline Fuel Center,,,,33.6460028,-85.5061716,,,w_243869762,shop=convenience
"Wedowee, AL",,retail,445120,Bucktown Grocery,"2875 GA 100, Bowdon, GA, 30108",,,33.4750618,-85.2909392,,,w_243876140,shop=convenience
"Wedowee, AL",,retail,445120,,,,,33.5608514,-85.2317125,,,w_243876143,shop=convenience
"Wedowee, AL",,retail,445120,discount food mart,,,,33.5370359,-85.2648843,,,w_243876146,shop=convenience
"Wedowee, AL",,retail,445120,,,,,33.4679865,-85.2019345,,,w_244376826,shop=convenience
"Wedowee, AL",,retail,445120,Country Store,,,,33.4771662,-85.8086605,,,w_444433266,shop=convenience
"Wedowee, AL",,retail,445120,Roopville Grocery,"26 South Old Highway 27, Roopville, GA, 30170",+1 (770) 854-8300,,33.4594063,-85.1288449,,,w_804966043,shop=convenience
"Wedowee, AL",,retail,445120,Walgreens,"128 Lovvorn Avenue, Bowdon, GA, 30108",+1 (770) 258-3310,https://www.walgreens.com/locator/walgreens-128+lovvorn+avenue-bowdon-ga-30108/id=19230,33.5396124,-85.2528503,,,w_816256633,"shop=convenience, brand=Walgreens"
"Wedowee, AL",,retail,452319,Dollar General,"203 Wedowee Street, Bowdon, GA, 30108",+1 (470) 431-0782,https://www.dollargeneral.com/store-directory/ga/bowdon/4800,33.5365331,-85.2527362,,,w_816296192,"shop=variety_store, brand=Dollar General"
"Wedowee, AL",,retail,445120,Abel Mall,"4304 County Road 24, Delta, AL, 36258",,,33.549572,-85.712886,,,w_852988572,shop=convenience
"Wedowee, AL",,retail,445120,,,,,33.5239235,-85.6381407,,,w_853102234,shop=convenience
"Wedowee, AL",,retail,445120,L & S Shoppette,"2423 GA 100, Bowdon, GA, 30108",,,33.4862295,-85.2836766,,,w_873278209,shop=convenience
"Wedowee, AL",,retail,452319,Dollar General,"27 Hilltop Lane, Roopville, GA, 30170",,https://www.dollargeneral.com/store-directory/ga/roopville/12430,33.4608599,-85.1248558,,,w_875304491,"shop=variety_store, brand=Dollar General"
"Wedowee, AL",,retail,445120,,,,,33.4606747,-85.1229426,,,w_875317395,shop=convenience
"Wedowee, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ga/franklin/18728,33.3818862,-85.1101415,,,w_980962797,"shop=variety_store, brand=Dollar General"
"Wedowee, AL",,retail,445120,Stop 'N' Shop,"1945 Almon Street, Heflin",,,33.6232009,-85.5946029,,,w_1005692072,shop=convenience
"Wedowee, AL",,retail,445120,,,,,33.6200529,-85.5967246,,,w_1005692091,shop=convenience
"Wedowee, AL",,retail,445120,,,,,33.6194728,-85.596807,,,w_1005692093,shop=convenience
"Wedowee, AL",,retail,445120,,,,,33.6436666,-85.5012512,,,w_1005697635,shop=convenience
"Wedowee, AL",,retail,445110,Walmart Supercenter,"4180 US Highway 431, Roanoke, AL, 36274",+1 334-863-2147,https://www.walmart.com/store/863-roanoke-al,33.1648823,-85.3644037,,,w_1017014625,"shop=supermarket, brand=Walmart, operator=Walmart"
"Wedowee, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/lineville/20059,33.3133814,-85.6147413,,,w_1056419919,"shop=variety_store, brand=Dollar General"
"Wedowee, AL",,retail,445120,,,,,33.278132,-85.0988985,,,w_1063467577,"shop=convenience, brand=Marathon"
"Wedowee, AL",,retail,445110,Piggly Wiggly,"241 East Court Square, Franklin, GA, 30217",+1 706-675-0707,,33.2786637,-85.0977096,,,w_1063468709,"shop=supermarket, brand=Piggly Wiggly"
"Wedowee, AL",,retail,445110,WM Grocery,,,,33.1527158,-85.3769013,,,w_1151360369,shop=supermarket
"Wedowee, AL",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/al/roanoke/6605/,33.1527807,-85.3772757,,,w_1151360370,"shop=variety_store, brand=Dollar Tree"
"Wedowee, AL",,retail,445120,Love's,,,https://www.loves.com/locations/818,33.6474135,-85.5058169,,,w_1178167781,"shop=convenience, brand=Love's"
"Wedowee, AL",,retail,452319,Dollar General,"2040 Franklin Parkway, Franklin, GA, 30217",,https://www.dollargeneral.com/store-directory/ga/franklin/9422,33.2789994,-85.1035395,,,w_1178167865,"shop=variety_store, brand=Dollar General"
"Wedowee, AL",,retail,452319,Family Dollar,,,,33.2782452,-85.0977632,,,w_1217530548,"shop=variety_store, brand=Family Dollar"
"Wedowee, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/wedowee/505,33.312118,-85.4841154,,,w_1217548980,"shop=variety_store, brand=Dollar General"
"Wedowee, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/al/heflin/3779,33.6467223,-85.5867663,,,w_1229901947,"shop=variety_store, brand=Dollar General"
"Wedowee, AL",,retail,452319,Dollar General,,,,33.5231025,-85.34322,,,w_1307359690,"shop=variety_store, brand=Dollar General"
"Wedowee, AL",,retail,452319,Dollar General,,,,33.4120386,-85.2556474,,,w_1307361323,"shop=variety_store, brand=Dollar General"
"Wedowee, AL",,retail,445120,,,,,33.1766564,-85.3325373,,,w_1415294169,shop=convenience
