Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Woodland, AL",,retail,452210,TJ Maxx,,,,33.5557926,-85.0764506,,,n_2512391621,"shop=department_store, brand=TJ Maxx"
"Woodland, AL",,retail,445230,,,,,33.5794775,-85.2059688,,,n_2517038399,shop=greengrocer
"Woodland, AL",,retail,445310,Cheers Fine Wine and Spirits,"804 Maple Street, Carrollton, GA, 30117",,,33.5746215,-85.0835966,,,n_4829416764,shop=alcohol
"Woodland, AL",,retail,445110,Piggly Wiggly,"136 Lovvorn Avenue, Bowdon, GA, 30108",+1 770-258-2465,https://www.pigglywiggly.com/,33.5402736,-85.2521365,,,n_6093088848,"shop=supermarket, brand=Piggly Wiggly, operator=Mark Dermo"
"Woodland, AL",,retail,445120,R & R Grocery & Deli,,+1 (770) 854-4700,,33.4566826,-85.130935,,,n_7529414745,"shop=convenience, amenity=fast_food"
"Woodland, AL",,retail,445120,Bowdon Mini Mart,,,,33.5371351,-85.2529003,,,n_7623757953,shop=convenience
"Woodland, AL",,retail,445110,Piggly Wiggly,"800 Ross Street, Heflin, AL, 36264",+1 256-463-7769,,33.6477873,-85.5865092,,,n_8595469364,"shop=supermarket, brand=Piggly Wiggly"
"Woodland, AL",,retail,445120,,,,,33.4244551,-85.1344878,,,n_9074149154,shop=convenience
"Woodland, AL",,retail,445120,,,,,33.4239063,-85.1342686,,,n_9074149155,shop=convenience
"Woodland, AL",,retail,445120,,,,,33.5371496,-85.0750389,,,n_9075385529,shop=convenience
"Woodland, AL",,retail,446120,Elegant Nails,,,,33.543151,-85.0744913,,,n_9075385559,shop=beauty
"Woodland, AL",,retail,445120,,,,,33.5943222,-85.0791165,,,n_9075385652,shop=convenience
"Woodland, AL",,retail,446120,SaSa Nails & Spa,,,,33.5988601,-85.0807347,,,n_9075385748,shop=beauty
"Woodland, AL",,retail,445120,,,,,33.6063182,-85.0833937,,,n_9075385794,shop=convenience
"Woodland, AL",,retail,445120,Circle K,,,,33.6175674,-85.092835,,,n_9080212790,"shop=convenience, brand=Circle K"
"Woodland, AL",,retail,452319,Roses,,,,33.3118771,-85.7557742,,,n_10170365873,"shop=variety_store, brand=Roses"
"Woodland, AL",,retail,445110,Piggly Wiggly,"88985 Highway 9, Lineville, AL, 36266",+1 256-396-2224,,33.3113644,-85.7517766,,,n_10170365874,"shop=supermarket, brand=Piggly Wiggly"
"Woodland, AL",,retail,445120,,,,,33.6815701,-85.2638979,,,n_11147322470,shop=convenience
"Woodland, AL",,retail,452319,Dollar General,,,,33.1378777,-85.3561564,,,n_12269309915,"shop=variety_store, brand=Dollar General"
"Woodland, AL",,retail,452319,Dollar General,,,,33.5594817,-85.1820379,,,n_12297758034,"shop=variety_store, brand=Dollar General"
"Woodland, AL",,retail,446120,Nova on the Square,,,,33.5800182,-85.0755565,,,n_13048340897,shop=beauty
"Woodland, AL",,retail,445120,Love's,,,https://www.loves.com/locations/311,33.6912894,-85.1895899,,,w_225051148,"shop=convenience, brand=Love's"
"Woodland, AL",,retail,445120,Pilot,,,,33.6826395,-85.2632321,,,w_236501657,"shop=convenience, brand=Pilot"
"Woodland, AL",,retail,445110,Kroger,"1355 South Park Street, Carrollton, GA, 30117",+1 770-832-8932,https://www.kroger.com/stores/grocery/ga/carrollton/carrollton-crossing/011/00367,33.5530614,-85.0750178,,,w_243518603,"shop=supermarket, brand=Kroger"
"Woodland, AL",,retail,445110,Walmart Supercenter,"1735 South Highway 27, Carrollton, GA, 30117",+1 770-834-3513,https://www.walmart.com/store/722-carrollton-ga,33.5432166,-85.0772682,,,w_243521964,"shop=supermarket, brand=Walmart, operator=Walmart"
"Woodland, AL",,retail,445120,Stateline Fuel Center,,,,33.6460028,-85.5061716,,,w_243869762,shop=convenience
"Woodland, AL",,retail,445120,Bucktown Grocery,"2875 GA 100, Bowdon, GA, 30108",,,33.4750618,-85.2909392,,,w_243876140,shop=convenience
"Woodland, AL",,retail,445120,,,,,33.5608514,-85.2317125,,,w_243876143,shop=convenience
"Woodland, AL",,retail,445120,discount food mart,,,,33.5370359,-85.2648843,,,w_243876146,shop=convenience
"Woodland, AL",,retail,445120,B's Kwik Stop,,,,33.5776272,-85.0793152,,,w_244376067,shop=convenience
"Woodland, AL",,retail,445120,,,,,33.4679865,-85.2019345,,,w_244376826,shop=convenience
"Woodland, AL",,retail,445120,,,,,33.5632304,-85.073773,,,w_244994255,"shop=convenience, brand=BP"
"Woodland, AL",,retail,445120,Country Store,,,,33.4771662,-85.8086605,,,w_444433266,shop=convenience
"Woodland, AL",,retail,445120,,,,,33.682572,-85.2616711,,,w_458159694,shop=convenience
"Woodland, AL",,retail,452210,Target,"1129 South Park Street, Carrollton, GA, 30117-4429",+1 770-838-9221,https://www.target.com/sl/carrollton/1073,33.5586381,-85.0769846,,,w_591689601,"shop=department_store, brand=Target"
"Woodland, AL",,retail,445110,Publix,"1109 South Park Street, Carrollton, GA, 30117-4449",+1 770-214-3140,https://www.publix.com/locations/608,33.5608539,-85.0750293,,,w_591689646,"shop=supermarket, brand=Publix"
"Woodland, AL",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ga/carrollton/791/,33.5416224,-85.0771657,,,w_591871307,"shop=variety_store, brand=Dollar Tree"
"Woodland, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ga/carrollton/15113,33.5873231,-85.0987079,,,w_591924447,"shop=variety_store, brand=Dollar General"
"Woodland, AL",,retail,445310,Ole Campus Spirits,,,,33.5874005,-85.0999647,,,w_591924452,shop=alcohol
"Woodland, AL",,retail,445110,Food Depot,,,,33.5639742,-85.1138103,,,w_591924457,shop=supermarket
"Woodland, AL",,retail,445120,,,,,33.5821118,-85.0780647,,,w_703155534,shop=convenience
"Woodland, AL",,retail,446110,Walgreens,,,https://www.walgreens.com/locator/walgreens-794+s+park+st-carrollton-ga-30117/id=7820,33.5696655,-85.0776276,,,w_745112050,"shop=chemist, brand=Walgreens"
"Woodland, AL",,retail,445110,ALDI,"1495 South Highway 27, Carrolton, GA, 30116",+1 844-476-1023,https://stores.aldi.us/ga/carrollton/1495-highway-27-south,33.5500427,-85.0745467,,,w_745112053,"shop=supermarket, brand=ALDI"
"Woodland, AL",,retail,445120,Ricky Mart,"1031 GA 100, Tallapoosa, GA, 30176",+1 (770) 574-3300,,33.6873436,-85.2612712,,,w_794535516,shop=convenience
"Woodland, AL",,retail,445120,Roopville Grocery,"26 South Old Highway 27, Roopville, GA, 30170",+1 (770) 854-8300,,33.4594063,-85.1288449,,,w_804966043,shop=convenience
"Woodland, AL",,retail,445120,Walgreens,"128 Lovvorn Avenue, Bowdon, GA, 30108",+1 (770) 258-3310,https://www.walgreens.com/locator/walgreens-128+lovvorn+avenue-bowdon-ga-30108/id=19230,33.5396124,-85.2528503,,,w_816256633,"shop=convenience, brand=Walgreens"
"Woodland, AL",,retail,452319,Dollar General,"203 Wedowee Street, Bowdon, GA, 30108",+1 (470) 431-0782,https://www.dollargeneral.com/store-directory/ga/bowdon/4800,33.5365331,-85.2527362,,,w_816296192,"shop=variety_store, brand=Dollar General"
"Woodland, AL",,retail,445120,Abel Mall,"4304 County Road 24, Delta, AL, 36258",,,33.549572,-85.712886,,,w_852988572,shop=convenience
"Woodland, AL",,retail,445120,,,,,33.5239235,-85.6381407,,,w_853102234,shop=convenience
"Woodland, AL",,retail,445120,L & S Shoppette,"2423 GA 100, Bowdon, GA, 30108",,,33.4862295,-85.2836766,,,w_873278209,shop=convenience
"Woodland, AL",,retail,452319,Dollar General,"27 Hilltop Lane, Roopville, GA, 30170",,https://www.dollargeneral.com/store-directory/ga/roopville/12430,33.4608599,-85.1248558,,,w_875304491,"shop=variety_store, brand=Dollar General"
"Woodland, AL",,retail,445120,,,,,33.4606747,-85.1229426,,,w_875317395,shop=convenience
"Woodland, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ga/franklin/18728,33.3818862,-85.1101415,,,w_980962797,"shop=variety_store, brand=Dollar General"
"Woodland, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ga/carrollton/6546,33.52671,-85.0736012,,,w_981113586,"shop=variety_store, brand=Dollar General"
"Woodland, AL",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ga/carrollton/1272,33.5957073,-85.0784074,,,w_981113633,"shop=variety_store, brand=Dollar General"
"Woodland, AL",,retail,445110,Ingles,"1124 North Park Street, Carrollton, GA, 30117",,,33.599648,-85.0810556,,,w_981113645,"shop=supermarket, brand=Ingles"
