Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Argo, AL",indian grocery,wholesale,424410,City Wholesale Grocery Co Inc.,"300 Industrial Dr, Birmingham, AL 35211, USA",(205) 945-7120,http://www.citywholesale.com/,33.4466209,-86.85200499999999,3.7,34.0,ChIJoRa7LuMeiYgRtEAVfiwIOHg,"storage, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Birmingham Wholesale,"401 W Valley Ave, Birmingham, AL 35209, USA",(205) 731-2099,http://bhamwholesale.com/,33.4691534,-86.82640049999999,4.8,14.0,ChIJSfMU2wEbiYgRlcLergGoQqE,"point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,All In One Wholesale,"2111 Old Montgomery Hwy, Pelham, AL 35124, USA",(205) 218-4530,,33.3441783,-86.797315,4.7,3.0,ChIJH2Y42LYjiYgREm5Hnp-zmAU,"point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Alabama Wholesale Inc,"613 Graymont Ave N, Birmingham, AL 35203, USA",(205) 458-4788,,33.510899,-86.82587749999999,5.0,8.0,ChIJd-6Xv3QciYgR8pcS-jAS9LU,"point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,New Southern Wholesale,"2500 1st Pl W, Birmingham, AL 35204, USA",(205) 591-1077,,33.5386986,-86.83958319999999,4.0,1.0,ChIJI2es7LYdiYgRpBlQPvdT3Xs,"point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,LUCKYSTAR WHOLESALE,"1818 Merchants Dr, Hoover, AL 35244, USA",(205) 862-8498,,33.3740487,-86.80618659999999,5.0,5.0,ChIJe9sTwVwjiYgRO4GIlkFvpBk,"point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,J & G WHOLESALE LIQUIDATORS,"2113 Center Point Pkwy, Birmingham, AL 35215, USA",(205) 747-0803,,33.6407476,-86.6832218,5.0,4.0,ChIJC-FDL8AOiYgRAYP47UnBz8U,"point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,P&k wholesalers,"55 AL-144, Ragland, AL 35131, USA",,,33.6560186,-86.2771837,3.8,19.0,ChIJFVDMN9p_iYgR-pV88cehn1U,"store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Wholesale Wood Products,"1808 30th St N, Birmingham, AL 35234, USA",(205) 324-6311,http://www.wholesalewoodonline.com/,33.5432425,-86.8080336,4.3,18.0,ChIJDfLUgHEbiYgRUgRG2ckAxEA,"hardware_store, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,"Alabama Wholesale Stone, Inc.","1480 County Hwy 36, Oneonta, AL 35121, USA",(205) 466-3600,http://alastone.com/,34.0239118,-86.4283178,4.4,29.0,ChIJc52s2o-NiYgRfNi9vb26v8E,"general_contractor, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,T & M Wholesalers,"401 Bessemer Super Hwy, Birmingham, AL 35228, USA",(205) 470-3642,http://www.tandmwholesalers.com/,33.457951,-86.917728,3.6,116.0,ChIJzwWGgvThiIgR7nxI_Xj6fk8,"car_dealer, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,P & T Wholesale LLC,"344 Finley Ave W, Birmingham, AL 35204, USA",(205) 905-0548,,33.5347334,-86.8434132,5.0,1.0,ChIJaRCdF_UciYgROLlJqTTWmeA,"point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Brothers Wholesale Appliances,"210 3rd St SW, Attalla, AL 35954, USA",(256) 538-1972,http://www.facebook.com/brotherswholesaleappliances,34.016682,-86.0952834,4.3,170.0,ChIJT1q95kwjiogRSuVTSKP7JKc,"home_goods_store, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Southern Wholesale Automobiles,"740 US-11, Trussville, AL 35173, USA",(205) 352-0450,http://www.southernwholesale.net/,33.7016498,-86.5198818,4.3,19.0,ChIJlwzuKBZ2iYgRd2kRJJll1FY,"car_dealer, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Hall's Birmingham Wholesale Florist,"100 6th Ave SW, Birmingham, AL 35211, USA",(205) 322-4627,http://www.hallsbirmingham.com/,33.4917349,-86.8332503,4.9,15.0,ChIJyRrXwBwciYgRe3qrznF1zEc,"point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Garcia Wholesale,"Midfield, AL 35228, USA",,,33.4534386,-86.9213587,,,ChIJ57RyNcjhiIgRzSz7rNaOzYc,"point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Birmingham Pistol Wholesale Inc. (BPW),"6969 Gadsden Hwy, Trussville, AL 35173, USA",(205) 655-7800,http://www.birminghampistol.com/,33.6333336,-86.5865501,4.0,335.0,ChIJOSJzRMkMiYgR2L3VkUoyCnM,"store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Global Wholesale,"215 W Oxmoor Rd, Birmingham, AL 35209, USA",(205) 547-0786,,33.4430202,-86.84047149999999,,,ChIJ40w1yUkfiYgRguQePpxYMD8,"point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,International Auto Wholesalers,"650 Bessemer Super Hwy, Midfield, AL 35228, USA",(205) 426-6260,http://www.iawalabama.com/,33.4503542,-86.9244549,4.5,185.0,ChIJ1duKPVgniYgR7k8PH_ppLkE,"car_dealer, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,D&L Wholesales,"427 Caldwell Dr, Warrior, AL 35180, USA",(205) 647-9231,,33.806718,-86.81022630000001,,,ChIJrwUIg8ypiYgRgSn-y5zWMJI,"point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Alabama Wholesale Diamonds,"1820 Tin Valley Cir, Birmingham, AL 35235, USA",(205) 661-1667,http://www.alabamawholesalediamonds.com/,33.6071064,-86.6302576,4.7,127.0,ChIJBxuox68NiYgROXdsowOJkjw,"jewelry_store, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,International Wholesale,"1426 3rd Ave W, Birmingham, AL 35208, USA",(205) 786-3523,,33.5053223,-86.86101339999999,1.0,1.0,ChIJ00PFoTQciYgRNeVrvBt3KAg,"point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Davis Wholesale Florist,"3601 5th Ave S, Birmingham, AL 35222, USA",(205) 595-2179,https://www.daviswholesaleflorist.com/,33.51849200000001,-86.77925909999999,4.3,36.0,ChIJZS5N9pILiYgRpRVQ9GgAZ8M,"point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,"Trussville Wholesale Autos, LLC","8140 Gadsden Hwy, Trussville, AL 35173, USA",(205) 655-4713,http://www.trussvilleautos.com/,33.6610372,-86.54657440000001,3.7,67.0,ChIJNQ3JR4J0iYgRqLkTrhHyjZE,"car_dealer, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Riz llc (R&S WHOLESALE),"255 Riverchase Pkwy E, Birmingham, AL 35244, USA",(205) 413-3002,,33.3595074,-86.78570619999999,,,ChIJhToE_Zv9iIgRIT75yctTa0s,"point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Battery Wholesalers of Birmingham,"920 6th Ave N, Birmingham, AL 35203, USA",(205) 635-3157,https://www.jeffersonbattery1.com/birmingham-location,33.5125274,-86.82357689999999,5.0,2.0,ChIJz7yR9yYdiYgRZ2_kvJLWiTw,"electronics_store, car_repair, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,D&D Wholesale & Buying Services,"69 Argo Pk Ln, Trussville, AL 35173, USA",(205) 467-7366,,33.697283,-86.52173049999999,,,ChIJ4_5wiEl0iYgRCM7jF6U8SnI,"point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Birmingham Wholesale Furniture,"2200 2nd Ave S, Birmingham, AL 35233, USA",(205) 322-1687,https://www.birminghamwholesale.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,33.5124716,-86.8005022,4.8,414.0,ChIJuc3jS74biYgRw0ay1OjutTU,"furniture_store, general_contractor, home_goods_store, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,C & HB Wholesale Automotive,"1200 Gadsden Hwy, Birmingham, AL 35235, USA",(205) 789-4608,https://www.chbwholesaleauto.com/contact,33.5902749,-86.6528354,3.8,18.0,ChIJhaM3b-YNiYgR34gyI82oGT0,"car_dealer, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Center Point Wholesale Transmission,"1541 Center Point Pkwy, Center Point, AL 35215, USA",(205) 856-1670,http://center-trans.keeq.io/,33.626068,-86.6850693,3.8,54.0,ChIJdWrmtvMOiYgRseovarRrgNY,"car_repair, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Wholesale Auto Credit Inc.,"1468 Hartman Industrial Blvd, Birmingham, AL 35221, USA",(205) 261-8211,https://wholesaleautocredit.com/shop/?,33.4595976,-86.90203,4.6,35.0,ChIJobDbGcwdiYgRFsywz5ZmHQ8,"car_dealer, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Wholesale Tire Outlet,"931 7th Ave N, Birmingham, AL 35203, USA",(205) 323-4358,,33.513294,-86.8233444,4.0,21.0,ChIJOSHMpHUciYgRgJT_MgkgUno,"car_repair, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Roberts Wholesale,"141 Park Ave, Moody, AL 35004, USA",(205) 699-6229,,33.581135,-86.4684953,4.2,10.0,ChIJK1CRps9xiYgRXU3pa4MPiOc,"florist, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Wholesale Jewelry Birmingham,"Magnolia Ave, Birmingham, AL 35205, USA",,https://www.we-silver-jewels.com/?utm_source=Google%20My%20Business&utm_medium=Local%20Listing&utm_campaign=Birmingham%20AL,33.5017137,-86.796297,5.0,1.0,ChIJSRrtrPsbiYgR9Dn5cslQFsY,"jewelry_store, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Southern Tire Mart Wholesale,"2600 Morgan Rd, Bessemer, AL 35022, USA",(205) 848-4300,https://www.stmtires.com/,33.3391029,-86.9251463,4.0,48.0,ChIJjyBiiYsciYgRu7K-wRXpNi8,"car_repair, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Direct Wholesale Network,"610 Parkview Dr, Birmingham, AL 35215, USA",(205) 849-5585,,33.615016,-86.7321261,,,ChIJG9-9R4MPiYgRxjtz43FA5xk,"point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Birmingham Wholesale,"401 22nd St S, Birmingham, AL 35233, USA",(205) 879-2054,http://birminghamwholesale.com/,33.5101483,-86.79878839999999,,,ChIJ87TPbb8biYgRL3swOpScEf8,"furniture_store, home_goods_store, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,ABC Wholesale,"14547 US-280, Chelsea, AL 35043, USA",(205) 677-9046,http://alabcboard.gov/,33.3492552,-86.5941295,,,ChIJ3W2VIgA_iYgRIhjzF0cBFzk,"liquor_store, store, point_of_interest, establishment"
"Argo, AL",wholesale,wholesale,424490,Wholesale Beauty Products,"2808 Falliston Ln, Hoover, AL 35244, USA",(205) 218-1084,,33.3252122,-86.8627863,,,ChIJAQDMutggiYgRL7CmrukksaQ,"point_of_interest, establishment"
"Argo, AL",distributor,wholesale,424490,Mid-South Distributors Inc,"1200 Roberts Industrial Dr, Birmingham, AL 35208, USA",(205) 780-9900,,33.5170627,-86.8718596,3.7,44.0,ChIJydg8jLAdiYgRyXzZPrMA0fg,"storage, point_of_interest, establishment"
