Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Axis, AL",retail food,wholesale,424410,Cash & Carry Wholesale Grocery,"2406 Halls Mill Rd, Mobile, AL 36606, USA",(251) 473-4386,,30.6587207,-88.0991962,4.4,43.0,ChIJ_YBF5NFNmogRi09BPhQMUM8,"grocery_or_supermarket, store, food, point_of_interest, establishment"
"Axis, AL",wholesale,wholesale,424490,J&D Monarch Wholesale Groceries,"3958 Government Blvd, Mobile, AL 36693, USA",(251) 408-9128,,30.6390932,-88.14086220000002,5.0,17.0,ChIJYQdNHVNNmogR-YtsOFGVap0,"food, point_of_interest, establishment"
"Axis, AL",wholesale,wholesale,424410,Monarch Wholesale,"1500 West Interstate 65 Service Rd S, Mobile, AL 36693, USA",(251) 607-6400,,30.6589226,-88.1262951,5.0,1.0,ChIJ8zCUtsZNmogRHUpnzJatoPY,"grocery_or_supermarket, food, point_of_interest, store, establishment"
"Axis, AL",wholesale,wholesale,424490,Sai Wholesale LLC,"1230 Montlimar Dr, Mobile, AL 36609, USA",(251) 341-7343,https://saiwholesale.com/,30.6644379,-88.1337903,4.4,14.0,ChIJwcLlpKdNmogRlfKKh4rKSac,"point_of_interest, establishment"
"Axis, AL",wholesale,wholesale,424490,A & A Wholesalers,"228 Saraland Blvd, Saraland, AL 36571, USA",(251) 378-8350,http://aandawholesalers.net/,30.8285588,-88.0683645,3.5,35.0,ChIJ_040JhpUmogRzQy804i-p3k,"point_of_interest, store, establishment"
"Axis, AL",wholesale,wholesale,424490,Anthony Wholesale,"6910 Moffett Rd, Mobile, AL 36618, USA",(251) 622-2608,,30.7541805,-88.2042049,4.3,118.0,ChIJ42VgZ1-tm4gRcD5CEoC84gk,"car_dealer, point_of_interest, store, establishment"
"Axis, AL",wholesale,wholesale,424460,Fresh Seafood Distributors,"9910 Milton Jones Rd, Daphne, AL 36526, USA",(251) 626-1106,http://www.daphnefreshseafood.com/,30.5963416,-87.85356709999999,4.5,63.0,ChIJ12ndNQdqmogRGzKbTNb8e88,"food, point_of_interest, establishment"
"Axis, AL",wholesale,wholesale,424490,Southern Wholesale Inc,"20 Saraland Blvd S, Saraland, AL 36571, USA",(251) 716-1262,https://www.southernwholesaleinc.com/,30.8215344,-88.07053479999999,3.0,2.0,ChIJFTEyAG9XmogRDzkdfEfLVPs,"car_dealer, point_of_interest, store, establishment"
"Axis, AL",wholesale,wholesale,424490,Triple A Wholesale LLC,"8065 Lott Rd, Wilmer, AL 36587, USA",(251) 649-4688,http://www.tawholesalellc.com/,30.8586291,-88.2806734,3.7,91.0,ChIJ96Z5NPWrm4gRfSIPpzdH7xk,"car_dealer, point_of_interest, store, establishment"
"Axis, AL",wholesale,wholesale,424490,Wholesale Pump & Supply,"5365 Willis Rd, Theodore, AL 36582, USA",(251) 370-1260,https://www.wpspump.com/,30.5783143,-88.1735879,5.0,1.0,ChIJj85BmqpLmogRqod3ZXc_C1c,"general_contractor, point_of_interest, store, establishment"
"Axis, AL",wholesale,wholesale,424490,COAL WHOLESALE LLC,"2106 US-98, Daphne, AL 36526, USA",(251) 689-7744,http://www.coalwholesale.com/,30.6088441,-87.89852950000001,4.7,56.0,ChIJD7r5D9RDmogR4DBl0XMZhnQ,"car_dealer, point_of_interest, store, establishment"
