Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Baileyton, AL",wholesale,wholesale,424490,MOJI WHOLESALE,"1000 Beltline Rd SW Suite.G2, Decatur, AL 35601, USA",(888) 460-6654,https://www.mojiwholesale.com/,34.5617432,-87.0044976,5.0,4.0,ChIJBUG0zTOFYogRw_VVZETrnU4,"point_of_interest, establishment"
"Baileyton, AL",wholesale,wholesale,424490,Snead Wholesale,"87490 US-278, Snead, AL 35952, USA",(855) 203-6893,http://www.sneadwholesale.com/,34.1160247,-86.3902742,4.4,126.0,ChIJ-1bmgMTyiYgRmG27iLIXbxg,"point_of_interest, establishment"
"Baileyton, AL",wholesale,wholesale,424490,Savvi Wholesale,"401 14th St SE Bldg #11, Decatur, AL 35601, USA",(256) 686-0575,http://www.savvi-wholesale.com/,34.573932,-86.982348,5.0,3.0,ChIJIfLBdqyHYogR5pkIb2vR-Wg,"point_of_interest, establishment"
"Baileyton, AL",wholesale,wholesale,424490,J & R Wholesale,"6111 Hustleville Rd, Albertville, AL 35951, USA",(256) 582-3390,http://sites.google.com/jrwholesale.net/jrwholesale/home,34.3468165,-86.2218054,4.3,77.0,ChIJ1zxbaTECiogRvALqDc-bGgs,"car_dealer, store, point_of_interest, establishment"
"Baileyton, AL",wholesale,wholesale,424490,Murphy Wholesale,"5497 US-431, Albertville, AL 35950, USA",(256) 361-1093,https://www.murphywholesale.com/,34.2579029,-86.1859066,4.2,51.0,ChIJadCv1rociogRqb7SSnzBZ6U,"car_dealer, store, point_of_interest, establishment"
"Baileyton, AL",wholesale,wholesale,424490,K & D Auto Wholesale,"3023 Hwy 31 S, Decatur, AL 35603, USA",(256) 466-0386,http://kanddautowholesale.com/,34.55114530000001,-86.9740379,4.0,89.0,ChIJPwYHaFCBYogRDYUCAOB9usg,"car_dealer, store, point_of_interest, establishment"
"Baileyton, AL",wholesale,wholesale,424490,plt wholesale,"907 Co Rd 437, Cullman, AL 35057, USA",(256) 339-7475,https://pltwholesale.com/pages/contact-us,34.1246715,-86.8570238,4.0,1.0,ChIJD6E_UWPKiYgRU2IWeKezFFQ,"store, point_of_interest, establishment"
"Baileyton, AL",wholesale,wholesale,424490,"Alabama Wholesale Stone, Inc.","1480 County Hwy 36, Oneonta, AL 35121, USA",(205) 466-3600,http://alastone.com/,34.0239118,-86.4283178,4.4,29.0,ChIJc52s2o-NiYgRfNi9vb26v8E,"store, point_of_interest, general_contractor, establishment"
"Baileyton, AL",wholesale,wholesale,424490,"L & S Wholesale Dist/ Lowery Manufacturing, Inc.","145 AL-179, Boaz, AL 35957, USA",(256) 593-8842,http://www.lowerymanufacturing.com/,34.190334,-86.1881631,4.3,53.0,ChIJtwZnvRsciogREdkN0fWi10Y,"food, point_of_interest, establishment"
"Baileyton, AL",wholesale,wholesale,424490,Auto Wholesalers,"1418 Main St E, Hartselle, AL 35640, USA",(256) 773-6113,https://auto-wholesalers-hartselle.onmaps.online/,34.4488971,-86.9094112,4.1,20.0,ChIJE2UwsbcqiIgRwbv4xxB2Sik,"car_dealer, store, point_of_interest, establishment"
"Baileyton, AL",wholesale,wholesale,424490,Brian's Wholesale,"10934 US-431 Ste F, Albertville, AL 35950, USA",(256) 302-1971,,34.2979772,-86.26364590000001,4.4,21.0,ChIJYbxZ13L4iYgRAt1YskpRDXc,"car_dealer, car_repair, store, point_of_interest, establishment"
"Baileyton, AL",wholesale,wholesale,424490,"Alabama Wholesale Crowns, LLC","752 Waverly Hills Rd, Grant, AL 35747, USA",(407) 319-4316,https://www.rhinestonecrowns.com/,34.5432866,-86.2119495,5.0,21.0,ChIJbzVA6Cv5YYgRj-DhLoK1TCA,"store, point_of_interest, establishment"
"Baileyton, AL",wholesale,wholesale,424490,Capital Wholesale Florist Inc,"3428 Eva Rd, Eva, AL 35621, USA",(256) 758-8338,http://www.capitalwholesalefloristinc.com/,34.3486566,-86.7642134,5.0,4.0,ChIJPQe_ZHjRiYgR4LOYWyVNv6E,"point_of_interest, establishment"
"Baileyton, AL",distributor,wholesale,424490,Gulfsouth Wholesale,"688 AL-75, Albertville, AL 35951, USA",(256) 878-0753,,34.2805019,-86.19468289999999,1.0,1.0,ChIJ2xzRK0gDiogRq8BdwSqiCH8,"point_of_interest, establishment"
"Baileyton, AL",distributor,wholesale,424490,Consolidated Electrical Distributors,"1302 4th St SW, Cullman, AL 35055, USA",(256) 734-9624,http://cedcullman.portalced.com/,34.1717183,-86.8527797,4.5,10.0,ChIJhdXe0aTLiYgRI10g2D5GYVs,"store, point_of_interest, establishment"
