Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Bay Minette, AL",retail food,wholesale,424410,Cash & Carry Wholesale Grocery,"2406 Halls Mill Rd, Mobile, AL 36606, USA",(251) 473-4386,,30.6587207,-88.0991962,4.4,43.0,ChIJ_YBF5NFNmogRi09BPhQMUM8,"grocery_or_supermarket, point_of_interest, store, food, establishment"
"Bay Minette, AL",wholesale,wholesale,424410,Monarch Wholesale,"1500 West Interstate 65 Service Rd S, Mobile, AL 36693, USA",(251) 607-6400,,30.6589226,-88.1262951,5.0,1.0,ChIJ8zCUtsZNmogRHUpnzJatoPY,"grocery_or_supermarket, store, food, point_of_interest, establishment"
"Bay Minette, AL",wholesale,wholesale,424490,Sai Wholesale LLC,"1230 Montlimar Dr, Mobile, AL 36609, USA",(251) 341-7343,https://saiwholesale.com/,30.6644379,-88.1337903,4.4,14.0,ChIJwcLlpKdNmogRlfKKh4rKSac,"point_of_interest, establishment"
"Bay Minette, AL",wholesale,wholesale,424490,A & A Wholesalers,"228 Saraland Blvd, Saraland, AL 36571, USA",(251) 378-8350,http://aandawholesalers.net/,30.8285588,-88.0683645,3.5,35.0,ChIJ_040JhpUmogRzQy804i-p3k,"store, point_of_interest, establishment"
"Bay Minette, AL",wholesale,wholesale,424490,J&D Monarch Wholesale Groceries,"3958 Government Blvd, Mobile, AL 36693, USA",(251) 408-9128,,30.6390932,-88.14086220000002,5.0,17.0,ChIJYQdNHVNNmogR-YtsOFGVap0,"food, point_of_interest, establishment"
"Bay Minette, AL",wholesale,wholesale,424490,ABC Select Spirits #249 - WHOLESALE ONLY,"18306 AL-104, Robertsdale, AL 36567, USA",(251) 493-1367,https://alabcboard.gov/online-services,30.5451996,-87.7118302,,,ChIJobJmAgBtmogRjdtOwnz2aJE,"liquor_store, store, point_of_interest, establishment"
"Bay Minette, AL",wholesale,wholesale,424490,Eddie's Wholesale Jewelry And Pawn,"29182 US-98, Daphne, AL 36526, USA",(251) 626-2525,,30.6503652,-87.9119748,4.2,53.0,ChIJ33PnlgpDmogRMrAl61xrcYU,"finance, store, point_of_interest, establishment"
"Bay Minette, AL",wholesale,wholesale,424490,"Wholesale Flooring, Cabinets & Granite","14750 Neal Rd, Loxley, AL 36551, USA",(251) 964-2495,https://wholesalefcg.com/,30.6905969,-87.7720205,4.4,30.0,ChIJP3GAW-NvmogRhXUdPuVI7cE,"general_contractor, home_goods_store, store, point_of_interest, establishment"
"Bay Minette, AL",wholesale,wholesale,424490,Eddies Wholesale Jewelry,"3400 Government Blvd, Mobile, AL 36693, USA",(251) 660-7296,,30.6510292,-88.1254112,3.7,19.0,ChIJPd9Jl1RMmogReaH9dFzr-OA,"finance, store, point_of_interest, establishment"
"Bay Minette, AL",wholesale,wholesale,424490,Southern Wholesale Inc,"20 Saraland Blvd S, Saraland, AL 36571, USA",(251) 716-1262,https://www.southernwholesaleinc.com/,30.8215344,-88.07053479999999,3.0,2.0,ChIJFTEyAG9XmogRDzkdfEfLVPs,"car_dealer, store, point_of_interest, establishment"
