Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Bayou La Batre, AL",retail food,wholesale,424410,Cash & Carry Wholesale Grocery,"2406 Halls Mill Rd, Mobile, AL 36606, USA",(251) 473-4386,,30.6587207,-88.0991962,4.4,43.0,ChIJ_YBF5NFNmogRi09BPhQMUM8,"grocery_or_supermarket, store, food, point_of_interest, establishment"
"Bayou La Batre, AL",wholesale,wholesale,424410,Monarch Wholesale,"1500 West Interstate 65 Service Rd S, Mobile, AL 36693, USA",(251) 607-6400,,30.6589226,-88.1262951,5.0,1.0,ChIJ8zCUtsZNmogRHUpnzJatoPY,"grocery_or_supermarket, point_of_interest, store, food, establishment"
"Bayou La Batre, AL",wholesale,wholesale,424490,Sai Wholesale LLC,"1230 Montlimar Dr, Mobile, AL 36609, USA",(251) 341-7343,https://saiwholesale.com/,30.6644379,-88.1337903,4.4,14.0,ChIJwcLlpKdNmogRlfKKh4rKSac,"point_of_interest, establishment"
"Bayou La Batre, AL",wholesale,wholesale,424490,J&D Monarch Wholesale Groceries,"3958 Government Blvd, Mobile, AL 36693, USA",(251) 408-9128,,30.6390932,-88.14086220000002,5.0,17.0,ChIJYQdNHVNNmogR-YtsOFGVap0,"point_of_interest, food, establishment"
"Bayou La Batre, AL",wholesale,wholesale,424490,W A Reynolds Wholesale,"1502 Dupont Ave, Pascagoula, MS 39567, USA",(228) 762-3377,,30.36069549999999,-88.54939949999999,4.4,8.0,ChIJL5nxssnom4gRj1ETfr7Yyu0,"point_of_interest, establishment"
"Bayou La Batre, AL",wholesale,wholesale,424490,Anthony Wholesale,"6910 Moffett Rd, Mobile, AL 36618, USA",(251) 622-2608,,30.7541805,-88.2042049,4.3,118.0,ChIJ42VgZ1-tm4gRcD5CEoC84gk,"car_dealer, point_of_interest, store, establishment"
"Bayou La Batre, AL",wholesale,wholesale,424490,Eddie's Wholesale Jewelry And Pawn,"29182 US-98, Daphne, AL 36526, USA",(251) 626-2525,,30.6503652,-87.9119748,4.2,53.0,ChIJ33PnlgpDmogRMrAl61xrcYU,"finance, point_of_interest, store, establishment"
"Bayou La Batre, AL",wholesale,wholesale,424490,Eddies Wholesale Jewelry,"3400 Government Blvd, Mobile, AL 36693, USA",(251) 660-7296,,30.6510292,-88.1254112,3.7,19.0,ChIJPd9Jl1RMmogReaH9dFzr-OA,"finance, point_of_interest, store, establishment"
"Bayou La Batre, AL",wholesale,wholesale,424490,Hall's Wholesale Florist,"5510 Plantation Rd, Theodore, AL 36582, USA",(251) 653-8563,http://www.hallswholesalemobile.com/,30.5650039,-88.16917810000001,3.7,11.0,ChIJu7JbdQKfWBQRTpwm6uAANS4,"point_of_interest, establishment"
"Bayou La Batre, AL",wholesale,wholesale,424490,COAL WHOLESALE LLC,"2106 US-98, Daphne, AL 36526, USA",(251) 689-7744,http://www.coalwholesale.com/,30.6088441,-87.89852950000001,4.7,56.0,ChIJD7r5D9RDmogR4DBl0XMZhnQ,"car_dealer, point_of_interest, store, establishment"
"Bayou La Batre, AL",wholesale,wholesale,424490,Escatawpa Wholesale Supply,"8201 MS-63, Moss Point, MS 39562, USA",(228) 475-7855,http://www.ewssupply.com/,30.4604123,-88.53423079999999,4.9,17.0,ChIJ93ax5rzrm4gRsHSu6zh5jDg,"general_contractor, point_of_interest, store, establishment"
"Bayou La Batre, AL",wholesale,wholesale,424490,Wholesale Auto Group LLC,"5204 US-90 Suite C, Mobile, AL 36619, USA",(251) 348-7522,http://www.wholesaleautogroupllc.net/,30.6072309,-88.16371149999999,4.7,194.0,ChIJpff6wsNNmogRUGS_C3r2WzI,"car_dealer, point_of_interest, store, establishment"
"Bayou La Batre, AL",wholesale,wholesale,424490,Wholesale Pump & Supply,"5365 Willis Rd, Theodore, AL 36582, USA",(251) 370-1260,https://www.wpspump.com/,30.5783143,-88.1735879,5.0,1.0,ChIJj85BmqpLmogRqod3ZXc_C1c,"general_contractor, store, point_of_interest, establishment"
"Bayou La Batre, AL",wholesale,wholesale,424490,Jimmy Wholesale,"3626 Moffett Rd, Mobile, AL 36618, USA",(251) 610-8886,,30.7094195,-88.12547909999999,2.3,3.0,ChIJjdd0z4ZTmogRNn3XPltCYT4,"car_dealer, store, point_of_interest, establishment"
"Bayou La Batre, AL",wholesale,wholesale,424490,Southern Wholesale INC,"4420 Government Blvd, Mobile, AL 36693, USA",(251) 716-1262,https://www.southernwholesaleinc.com/,30.6210939,-88.15583389999999,4.5,8.0,ChIJawlxgs1LmogRNt6ZFgRQxAM,"car_dealer, store, point_of_interest, establishment"
