Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Alleene, AR",,retail,445110,Rehkopf's Food Store,,,,33.4704466,-94.2897903,,,n_1619215004,shop=supermarket
"Alleene, AR",,retail,445110,Walmart Supercenter,"926 East Collin Raye Drive, De Queen, AR, 71832",+1 870-642-2794,https://www.walmart.com/store/279-de-queen-ar,34.043471,-94.319058,,,n_5315599017,"shop=supermarket, brand=Walmart, operator=Walmart"
"Alleene, AR",,retail,445110,Brookshire's,"210 North McCoy Boulevard, New Boston, TX, 75570",+1-903-628-5549,,33.4626587,-94.4067774,,,n_6094060953,shop=supermarket
"Alleene, AR",,retail,445110,Brookshire's,"1310 South Constitution Avenue, Ashdown, AR, 71822",+1-870-898-3301,,33.65967,-94.1145408,,,n_6104237267,"shop=supermarket, brand=Brookshire's"
"Alleene, AR",,retail,445310,Wine A Rita,"2011 Mall Drive, Texarkana, TX, 75503",,,33.4632582,-94.0682646,,,n_6342477687,shop=alcohol
"Alleene, AR",,retail,445210,Red River Beef Co,"3622 Richmond Road, Texarkana, TX, 75503",+1 903 716 5710,https://redriverbeef.co/,33.4706291,-94.094822,,,n_7435564020,shop=butcher
"Alleene, AR",,retail,445120,Road Ranger,907 North McCoy Boulevard,,,33.4772574,-94.4104492,,,n_8130663185,"shop=convenience, brand=Road Ranger"
"Alleene, AR",,retail,452210,TJ Maxx,"4236 Saint Michael Drive, Texarkana, TX, 75503",,,33.455878,-94.0961804,,,n_8647767381,"shop=department_store, brand=TJ Maxx"
"Alleene, AR",,retail,452210,Burkes Outlet,"4240 Saint Michael Drive, Texarkana, TX, 75503",,,33.4559287,-94.09682,,,n_8647767384,shop=department_store
"Alleene, AR",,retail,446120,Rose Nails & Spa,"4114 Gibson Lane, Texarkana, TX, 75503",,,33.4596724,-94.0939734,,,n_8757804897,shop=beauty
"Alleene, AR",,retail,452210,Dillard's,,+1 903-838-6591,https://www.dillards.com/stores/texas/central-mall-texarkana/0437,33.4564761,-94.0805421,,,n_9852335317,"shop=department_store, brand=Dillard's"
"Alleene, AR",,retail,452210,JCPenney,,,,33.4555959,-94.0784633,,,n_9852335318,"shop=department_store, brand=JCPenney"
"Alleene, AR",,retail,446120,Ulta Beauty,"3347 Mall Drive, Texarkana, TX, 75503",+1 903-831-0043,https://www.ulta.com/stores/texarkana-tx-1050,33.4576538,-94.0792467,,,n_9852335319,"shop=beauty, brand=Ulta Beauty"
"Alleene, AR",,retail,452319,Five Below,"3327 Mall Drive, Texarkana, TX, 75503",+1 903-303-2663,https://locations.fivebelow.com/tx/texarkana/3327-mall-drive,33.4578407,-94.0790902,,,n_9852335320,"shop=variety_store, brand=Five Below"
"Alleene, AR",,retail,445120,EZ Mart,,,,33.7212098,-94.3914684,,,n_11802447041,"shop=convenience, brand=EZ Mart"
"Alleene, AR",,retail,445210,Prime Country Meats,,,,33.9386451,-94.3562303,,,n_11802782909,shop=butcher
"Alleene, AR",,retail,445120,Circle K,,,,33.476109,-94.409894,,,n_11802800403,"shop=convenience, brand=Circle K"
"Alleene, AR",,retail,445120,,,,,33.4760149,-94.4085351,,,n_12361025572,shop=convenience
"Alleene, AR",,retail,445110,Walmart Supercenter,"4000 New Boston Road, Texarkana, TX, 75501",+1 903-838-4007,https://www.walmart.com/store/2123-texarkana-tx,33.4451491,-94.1012557,,,w_59611968,"shop=supermarket, brand=Walmart, operator=Walmart"
"Alleene, AR",,retail,445110,Walmart Supercenter,"133 Arkansas Boulevard, Texarkana, AR, 71854",+1 870-772-1501,https://www.walmart.com/store/468-texarkana-ar,33.4622148,-94.0399383,,,w_60170589,"shop=supermarket, brand=Walmart, operator=Walmart"
"Alleene, AR",,retail,452210,Target,"102 Richmond Ranch Road, Texarkana, TX, 75503",+1 903-223-0062,https://www.target.com/sl/texarkana/1811,33.4583707,-94.0915989,,,w_86177604,"shop=department_store, brand=Target"
"Alleene, AR",,retail,445110,Super 1 Foods,"2610 Richmond Road, Texarkana, TX, 75503",+1-903-838-3282,,33.4597064,-94.0873837,,,w_220331734,"shop=supermarket, brand=Super 1 Foods"
"Alleene, AR",,retail,452210,Burlington,"3323 Mall Drive, Texarkana, TX, 75503",+1 903-716-6826,https://stores.burlington.com/tx/texarkana/1268,33.4588114,-94.0793082,,,w_220464820,"shop=department_store, brand=Burlington"
"Alleene, AR",,retail,446120,Head-to-Toe Nails & Spa,,,,33.4602048,-94.0896484,,,w_264521265,shop=beauty
"Alleene, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/tx/texarkana/451/,33.4603117,-94.0894459,,,w_264521269,"shop=variety_store, brand=Dollar Tree"
"Alleene, AR",,retail,445110,Walmart Supercenter,"800 James Bowie Drive, New Boston, TX, 75570",+1 903-628-5557,https://www.walmart.com/store/181-new-boston-tx,33.4707447,-94.4035066,,,w_358513992,"shop=supermarket, brand=Walmart, operator=Walmart"
"Alleene, AR",,retail,445110,Albertsons,"3710 North State Line Avenue, Texarkana, AR, 71854",+1 870-774-3146,https://local.albertsons.com/ar/texarkana/3710-state-line-ave.html,33.4591665,-94.041877,,,w_677355660,"shop=supermarket, brand=Albertsons"
"Alleene, AR",,retail,446110,CVS Pharmacy,"3908 North State Line Avenue, Texarkana, AR, 71854",,https://www.cvs.com/store-locator/texarkana-ar-pharmacies/3908-n-stateline-ave-texarkana-ar-71854/storeid=10019,33.4609705,-94.0422785,,,w_677355663,"shop=chemist, brand=CVS Pharmacy"
"Alleene, AR",,retail,445310,The Party Factory,"4102 North State Line Avenue, Texarkana, AR, 71854",,,33.4635523,-94.0424621,,,w_677355669,shop=alcohol
"Alleene, AR",,retail,445120,Raceway,"4120 North State Line Avenue, Texarkana, AR, 71854",,,33.464244,-94.0422975,,,w_677355671,shop=convenience
"Alleene, AR",,retail,445120,E-Z Mart,"4524 North State Line Avenue, Texarkana, AR, 71854",,,33.4665819,-94.0423435,,,w_677355681,shop=convenience
