Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Alpena, AR",,retail,445120,,,,,36.1400051,-93.1220775,,,n_1179021730,shop=convenience
"Alpena, AR",,retail,445110,Hudsons,,,,36.2359199,-93.1067267,,,n_1179052574,shop=supermarket
"Alpena, AR",,retail,445120,,,,,36.2336266,-93.1304642,,,n_1179180183,shop=convenience
"Alpena, AR",,retail,445110,Cash Saver 870,,,,36.2297633,-93.0988437,,,n_1179457965,shop=supermarket
"Alpena, AR",,retail,445110,,,,,36.2490137,-93.1147787,,,n_1179663982,shop=supermarket
"Alpena, AR",,retail,445120,EZ Center,"1901 W 76 Country Blvd, 65616",417-334-8210,,36.6430588,-93.2539366,,,n_2621859111,shop=convenience
"Alpena, AR",,retail,445120,76 Pure Country,"1029 West Main Street, 65616",417-336-6678,http://www.conocophillips.com/Pages/default.aspx,36.6448489,-93.2339915,,,n_2622966261,shop=convenience
"Alpena, AR",,retail,445120,Dalton's Express,"1130 W 76 Country Blvd, 65616",417-334-8041,,36.6414742,-93.2365412,,,n_2623074817,shop=convenience
"Alpena, AR",,retail,445120,Pit Stop & Smoke Shop,"1140 W 76 Country Blvd, 65616",417-449-7827,,36.6408157,-93.2374316,,,n_2623074857,shop=convenience
"Alpena, AR",,retail,445120,2-For-1 Show Tickets & Attractions,"W 76 Country Blvd, 65616",,,36.6429399,-93.2364714,,,n_2623074884,shop=convenience
"Alpena, AR",,retail,445120,Phillips 66,"2652 Shepherd of the Hills Expwy, 65616",417-332-1839,https://www.ajsonestop.com/,36.6529784,-93.272031,,,n_2623113482,"shop=convenience, amenity=fuel, brand=Phillips 66, operator=AJ's One Stop"
"Alpena, AR",,retail,445120,White Oak Station,"4017 W 76 Country Blvd, 65616",417-339-3911,,36.6520735,-93.2922419,,,n_2623113596,shop=convenience
"Alpena, AR",,retail,445120,Branson Star Stop,"3579 Shepherd of the Hills Expwy, 65616",417-336-8590,,36.6520089,-93.2891976,,,n_2623113645,shop=convenience
"Alpena, AR",,retail,452210,Belk,"5 Branson Landing Blvd, 65616",417-239-3314,https://belk.com/,36.6469754,-93.2153253,,,n_2628091319,"shop=department_store, brand=Belk"
"Alpena, AR",,retail,445120,,,,,36.6101889,-93.2344766,,,n_2672305240,shop=convenience
"Alpena, AR",,retail,445120,,,,,36.6182882,-93.2276101,,,n_2672305255,shop=convenience
"Alpena, AR",,retail,445120,,,,,36.6250262,-93.2170208,,,n_2672305260,shop=convenience
"Alpena, AR",,retail,445110,Rhodes Family Price Chopper,"2210 West 76 Country Boulevard, Branson, MO, 65616",417-334-6438,,36.6397638,-93.2613711,,,n_2672417340,shop=supermarket
"Alpena, AR",,retail,445120,White Oak Station,,,,36.6320662,-93.2795762,,,n_2672425962,shop=convenience
"Alpena, AR",,retail,446120,Perfumania,"306 Tanger Factory Outlet Center, 65616",,,36.6450376,-93.2630233,,,n_2684557736,"shop=perfumery, brand=Perfumania"
"Alpena, AR",,retail,445230,Vitamin World,"217A Tanger Factory Outlet Center, 65616",,,36.6460641,-93.262849,,,n_2684574028,shop=greengrocer
"Alpena, AR",,retail,446120,Bath & Body Works,"503 Tanger Factory Outlet Center, 65616",,,36.6446073,-93.2640561,,,n_2684574040,"shop=cosmetics, brand=Bath & Body Works"
"Alpena, AR",,retail,445120,,,,,36.6309728,-93.4229325,,,n_2688002497,shop=convenience
"Alpena, AR",,retail,445120,Hitch-N-Post,"5439 State Highway 165, 65616",417-334-3395,,36.5832196,-93.3062567,,,n_2692115375,shop=convenience
"Alpena, AR",,retail,445120,The Pantry,"164 Fall Creek Drive, 65616",,thepantry.com,36.6045449,-93.2863954,,,n_2693776831,shop=convenience
"Alpena, AR",,retail,445110,Harter House,,,,36.609604,-93.235331,,,n_4317063190,shop=supermarket
"Alpena, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/mo/hollister/4532,36.611867,-93.229693,,,n_4317084489,"shop=variety_store, brand=Dollar General"
"Alpena, AR",,retail,445120,Rapid Roberts,,,,36.5048326,-93.2207716,,,n_6468458132,shop=convenience
"Alpena, AR",,retail,453991,Elite Vapor Pro,"1320 A3 HWY 62-65 N
Harrison, AR 72601",870-204-6051,https://www.elitevaporpros.com/,36.2646262,-93.1376849,,,n_6715759954,shop=tobacco
