Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Arkadelphia, AR",,retail,445110,Walmart Neighborhood Market,"1640 Airport Road, Hot Springs, AR, 71913",+1 501-262-7509,https://www.walmart.com/store/5789-hot-springs-ar,34.468587,-93.141385,,,n_5315596691,"shop=supermarket, brand=Walmart, operator=Walmart"
"Arkadelphia, AR",,retail,453110,Flowers & Home of Hot Springs,"245 Cornerstone Boulevard, Hot Springs, AR, 71913",+1-501-525-0444,,34.461027,-93.0600963,,,n_5705797346,shop=florist
"Arkadelphia, AR",,retail,445110,Brookshire's,"2750 Pine Street, Arkadelphia, AR, 71923",+1-870-246-6167,,34.1222744,-93.08485,,,n_6104212837,"shop=supermarket, brand=Brookshire's"
"Arkadelphia, AR",,retail,446120,CosmoProf,"4328 Central Avenue, Hot Springs, AR, 71913",+1-501-520-5751,,34.4541998,-93.0739112,,,n_8734255647,shop=beauty
"Arkadelphia, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ar/arkadelphia/2737/,34.1199305,-93.0936929,,,n_8821413819,"shop=variety_store, brand=Dollar Tree"
"Arkadelphia, AR",,retail,446120,Bright Nails,"1900 Martin Luther King Road, Malvern, AR, 72104",,,34.3914708,-92.8295705,,,n_8826290326,shop=beauty
"Arkadelphia, AR",,retail,446120,Salon 620,,,,34.1228301,-93.0788009,,,n_10086764126,shop=beauty
"Arkadelphia, AR",,retail,445210,The Salt and Grain,,,,34.1231098,-93.0632157,,,n_10154787056,shop=butcher
"Arkadelphia, AR",,retail,446120,Radiani Sun Solutions,,,,34.1229883,-93.0629542,,,n_10154787058,shop=beauty
"Arkadelphia, AR",,retail,445120,Winner's Circle #6,,,,34.1212782,-93.0567807,,,n_10162028235,shop=convenience
"Arkadelphia, AR",,retail,452319,Eddie Clark's,,,,34.1194717,-93.0542076,,,n_10166461292,shop=general
"Arkadelphia, AR",,retail,446120,Lucy & Co. Boutique And Salon,,,,34.1197292,-93.0544236,,,n_10169088659,shop=beauty
"Arkadelphia, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/hot-springs/8050,34.4512206,-93.1747482,,,n_11142157925,"shop=variety_store, brand=Dollar General"
"Arkadelphia, AR",,retail,445120,Superstop,,,,34.4577608,-93.1559762,,,n_11142157928,shop=convenience
"Arkadelphia, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ar/hot-springs/7649/,34.4636555,-93.144574,,,n_11142157929,"shop=variety_store, brand=Dollar Tree"
"Arkadelphia, AR",,retail,445120,Circle K,,,,34.4645425,-93.0222191,,,n_11142158659,"shop=convenience, brand=Circle K"
"Arkadelphia, AR",,retail,445120,Circle K,,,,34.463179,-92.9503264,,,n_11142158665,"shop=convenience, brand=Circle K"
"Arkadelphia, AR",,retail,445120,Superstop,,,,34.3892478,-92.8293956,,,n_11218232471,shop=convenience
"Arkadelphia, AR",,retail,446120,Merle Norman,,,,34.4604026,-93.0595156,,,n_11278076278,"shop=cosmetics, brand=Merle Norman Cosmetics"
"Arkadelphia, AR",,retail,445120,Love's,,,,34.3877399,-92.8464413,,,n_12166267718,"shop=convenience, brand=Love's"
"Arkadelphia, AR",,retail,445120,,,,,34.1190439,-93.0907046,,,n_12166280033,shop=convenience
"Arkadelphia, AR",,retail,445120,Road Runner,,,,34.1175161,-93.0953343,,,n_12166280034,shop=convenience
"Arkadelphia, AR",,retail,453110,Mary & Martha's Florist & Gifts,"800 Clinton Street, Arkadelphia, AR, 71923",,https://www.maryandmarthasflorist.com/,34.1205385,-93.0557215,,,n_12292021171,shop=florist
"Arkadelphia, AR",,retail,445120,,,,,34.4789365,-93.1128947,,,n_12361451441,shop=convenience
"Arkadelphia, AR",,retail,445110,Walmart Supercenter,"4019 Central Avenue, Hot Springs, AR, 71913",+1 501-623-7605,https://www.walmart.com/store/261-hot-springs-ar,34.4545877,-93.0604802,,,w_49579023,"shop=supermarket, brand=Walmart, operator=Walmart"
"Arkadelphia, AR",,retail,445110,Walmart Supercenter,"109 Wp Malone Drive, Arkadelphia, AR, 71923",+1 870-246-2459,https://www.walmart.com/store/318-arkadelphia-ar,34.1197576,-93.0965632,,,w_486412477,"shop=supermarket, brand=Walmart, operator=Walmart"
"Arkadelphia, AR",,retail,445110,Kroger,"3341 Central Avenue, Hot Springs, AR, 71913",+1 501-624-5542,https://www.kroger.com/stores/grocery/ar/hot-springs/hot-springs-central/025/00590,34.4738412,-93.0591391,,,w_565950892,"shop=supermarket, brand=Kroger"
"Arkadelphia, AR",,retail,446110,Walgreens,,,https://www.walgreens.com/locator/walgreens-1800+airport+rd-hot+springs-ar-71913/id=12384,34.4629959,-93.146985,,,w_906886535,"shop=chemist, brand=Walgreens"
"Arkadelphia, AR",,retail,445120,Winner's Circle,"3120 Pine Street, Arkadelphia, AR, 71923",,,34.118372,-93.0960303,,,w_953058962,shop=convenience
"Arkadelphia, AR",,retail,445120,Arkadelphia Express,"490 Caney Road, Arkadelphia, AR, 71923",,,34.2346791,-93.0062798,,,w_953602687,shop=convenience
