Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Boles, AR",,retail,452319,Imports Designs,,,,34.8376803,-94.045944,,,n_7693190885,shop=variety_store
"Boles, AR",,retail,445110,Harps,"406 Huntington Avenue, Mansfield, AR, 72944",,,35.0633038,-94.2488101,,,n_8165217244,"shop=supermarket, brand=Harps"
"Boles, AR",,retail,452319,Dollar General,"1022 West 2nd Street, Waldron, AR, 72958-7452",+1 479-437-7646,https://www.dollargeneral.com/store-directory/ar/waldron/4143,34.9005546,-94.102263,,,n_8332382806,"shop=variety_store, brand=Dollar General"
"Boles, AR",,retail,445110,Harps,"1350 West 6th Street, Waldron, AR, 72958",+1 479-637-3303,https://www.harpsfood.com/StoreLocator/Store/?L=180&S=,34.8975177,-94.1059518,,,n_8332382807,"shop=supermarket, brand=Harps"
"Boles, AR",,retail,445120,Big T's General Store,,,,34.619268,-93.7769963,,,n_8729448983,shop=convenience
"Boles, AR",,retail,452319,Family Dollar,,,,35.0662564,-94.2526309,,,n_11157575080,"shop=variety_store, brand=Family Dollar"
"Boles, AR",,retail,452319,Dollar Tree,,,,35.0661555,-94.252559,,,n_11157575081,"shop=variety_store, brand=Dollar Tree"
"Boles, AR",,retail,446110,Walgreens,"803 Highway 71 North, Mena, AR, 71953",+1 479-394-5144,https://www.walgreens.com/locator/walgreens-803+highway+71+n-mena-ar-71953/id=15793,34.5861371,-94.223308,,,n_11180458085,"shop=chemist, brand=Walgreens"
"Boles, AR",,retail,453991,Tobacco SuperStore #81,"1067 West 2nd Street, Waldron, AR, 72958",,,34.9000291,-94.1029002,,,n_11796222789,shop=tobacco
"Boles, AR",,retail,445310,"Poco's Beer, Wine, & Spirits","910 US-71, Mena, AR",+1 479-385-2855,,34.5859326,-94.2210269,,,n_12018385504,shop=alcohol
"Boles, AR",,retail,446191,Farm House Herbs & Health Food,"819 Mena Street, Mena, AR",+1 479-385-2151,,34.5823722,-94.2350682,,,n_12018385507,shop=health_food
"Boles, AR",,retail,445120,Shell,"1121 US-71 South, Mena, AR, 71953-4033",+1 479-394-6182,https://find.shell.com/us/fuel/10047653-1121-highway-71-s/,34.5757297,-94.2397763,,,n_12018553191,"shop=convenience, brand=Shell"
"Boles, AR",,retail,452319,Dollar General,,,,34.8945039,-94.0901175,,,n_12449986195,"shop=variety_store, brand=Dollar General"
"Boles, AR",,retail,452319,Dollar General,"1208 US Highway 71 South, Mena, AR, 71953-8007",+1 479-385-2772,https://www.dollargeneral.com/store-directory/ar/mena/13306,34.5717086,-94.2456059,,,w_1202224986,"shop=variety_store, brand=Dollar General"
"Boles, AR",,retail,445120,Casey's General Store,,,,35.0644618,-94.2511322,,,w_1203754633,"shop=convenience, brand=Casey's General Store"
"Boles, AR",,retail,445110,Walmart Supercenter,"600 Highway 71 North, Mena, AR, 71953",+1 479-394-0025,https://www.walmart.com/store/67-mena-ar,34.5884572,-94.2259035,,,w_1267604381,"shop=supermarket, brand=Walmart, operator=Walmart"
"Boles, AR",,retail,452319,Family Dollar,"651 West 2nd Street, Waldron, AR, 72958",,,34.8996979,-94.0983442,,,w_1270455482,"shop=variety_store, brand=Family Dollar"
"Boles, AR",,retail,446110,Walgreens,"1125 West 2nd Street, Waldron, AR, 72958",,,34.9000476,-94.1036339,,,w_1270455489,"shop=chemist, brand=Walgreens"
"Boles, AR",,retail,445120,Jif-E-Mart,"165 North Hwy 71 Bypass, Waldron, AR, 72958",,,34.9013618,-94.1068315,,,w_1270455504,shop=convenience
"Boles, AR",,retail,445110,Harps,"1350 West 6th Street, Waldron, AR, 72958",4796373303,https://www.harpsfood.com/StoreLocator/Store/?L=180&S=,34.8975554,-94.1058862,,,w_1353849378,"shop=supermarket, brand=Harps"
