Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Booneville, AR",,retail,445120,Circle M,,,,35.447776,-93.7637559,,,n_3755358882,shop=convenience
"Booneville, AR",,retail,452210,Walmart,"1501 East Walnut Street, Paris, AR, 72855",+1 479-963-2152,https://www.walmart.com/store/230-paris-ar,35.293369,-93.716195,,,n_5315599561,"shop=department_store, brand=Walmart, operator=Walmart"
"Booneville, AR",,retail,452319,Imports Designs,,,,34.8376803,-94.045944,,,n_7693190885,shop=variety_store
"Booneville, AR",,retail,445110,Harps,"406 Huntington Avenue, Mansfield, AR, 72944",,,35.0633038,-94.2488101,,,n_8165217244,"shop=supermarket, brand=Harps"
"Booneville, AR",,retail,452319,Dollar General,"1022 West 2nd Street, Waldron, AR, 72958-7452",+1 479-437-7646,https://www.dollargeneral.com/store-directory/ar/waldron/4143,34.9005546,-94.102263,,,n_8332382806,"shop=variety_store, brand=Dollar General"
"Booneville, AR",,retail,445110,Harps,"1350 West 6th Street, Waldron, AR, 72958",+1 479-637-3303,https://www.harpsfood.com/StoreLocator/Store/?L=180&S=,34.8975177,-94.1059518,,,n_8332382807,"shop=supermarket, brand=Harps"
"Booneville, AR",,retail,452319,Family Dollar,,,,35.0662564,-94.2526309,,,n_11157575080,"shop=variety_store, brand=Family Dollar"
"Booneville, AR",,retail,452319,Dollar Tree,,,,35.0661555,-94.252559,,,n_11157575081,"shop=variety_store, brand=Dollar Tree"
"Booneville, AR",,retail,452319,Dollar Tree,"2435 West Center Street, Greenwood, AR, 72936",(479) 322-6002,https://www.dollartree.com/locations/ar/greenwood/7174/,35.2225726,-94.2981192,,,n_11349170029,"shop=variety_store, brand=Dollar Tree, operator=Dollar Tree Inc."
"Booneville, AR",,retail,453991,Tobacco SuperStore #81,"1067 West 2nd Street, Waldron, AR, 72958",,,34.9000291,-94.1029002,,,n_11796222789,shop=tobacco
"Booneville, AR",,retail,452319,Dollar General,,,,34.8945039,-94.0901175,,,n_12449986195,"shop=variety_store, brand=Dollar General"
"Booneville, AR",,retail,445110,CV's Family Foods,,,,35.291488,-93.7202134,,,w_125090229,shop=supermarket
"Booneville, AR",,retail,453991,KK Smoke Shop,"1157 East Main Street, Booneville, AR, 72927",+1-479-849-9876,,35.1425137,-93.9065739,,,w_125113754,shop=tobacco
"Booneville, AR",,retail,445120,Jam Mart,,,,35.4890695,-93.8414069,,,w_125269282,shop=convenience
"Booneville, AR",,retail,445110,Harps,,,,35.2125478,-94.2613684,,,w_723575226,"shop=supermarket, brand=Harps"
"Booneville, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/greenwood/2213,35.2119603,-94.2614169,,,w_723575227,"shop=variety_store, brand=Dollar General"
"Booneville, AR",,retail,452319,Dollar General,,(501) 547-3508,https://www.dollargeneral.com/store-directory/ar/havana/17282,35.1095992,-93.5299696,,,w_944093484,"shop=variety_store, brand=Dollar General"
"Booneville, AR",,retail,445120,Casey's General Store,,,,35.3228903,-94.2978672,,,w_963496280,"shop=convenience, brand=Casey's General Store"
"Booneville, AR",,retail,445120,Shell,"500 East Walnut Street, Paris, AR, 72855",,,35.2917085,-93.7254775,,,w_1035388172,"shop=convenience, brand=Shell"
"Booneville, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/charleston/3254,35.2976178,-94.0254019,,,w_1072079176,"shop=variety_store, brand=Dollar General"
"Booneville, AR",,retail,446120,A New Look,,,,35.2966859,-94.0335195,,,w_1072357569,shop=beauty
"Booneville, AR",,retail,445110,Harps,,,,35.297952,-94.0524597,,,w_1073087456,"shop=supermarket, brand=Harps"
"Booneville, AR",,retail,445120,Casey's General Store,,,,35.2977783,-94.0433238,,,w_1073917153,"shop=convenience, amenity=fuel, brand=Casey's General Store"
"Booneville, AR",,retail,445110,CV's,,,,35.2980424,-94.0490716,,,w_1073917596,shop=supermarket
"Booneville, AR",,retail,446120,Precision Nails,,,,35.2973943,-94.0413257,,,w_1074042749,shop=beauty
"Booneville, AR",,retail,453110,Emily's,,,,35.2973263,-94.0379228,,,w_1074051368,shop=florist
"Booneville, AR",,retail,445310,Red Barn Liquor,"100 West Main Street, Ozark, AR",+1-479-667-3058,,35.4860897,-93.8255433,,,w_1078951271,shop=alcohol
"Booneville, AR",,retail,445110,Walmart Supercenter,"551 Liberty Drive, Greenwood, AR, 72936",+1 479-996-8500,https://www.walmart.com/store/3231-greenwood-ar,35.2207115,-94.2966205,,,w_1133340373,"shop=supermarket, brand=Walmart, operator=Walmart"
"Booneville, AR",,retail,445120,Casey's General Store,,,,35.0644618,-94.2511322,,,w_1203754633,"shop=convenience, brand=Casey's General Store"
