Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Branch, AR",,retail,445120,Circle M,,,,35.447776,-93.7637559,,,n_3755358882,shop=convenience
"Branch, AR",,retail,452210,Walmart,"1501 East Walnut Street, Paris, AR, 72855",+1 479-963-2152,https://www.walmart.com/store/230-paris-ar,35.293369,-93.716195,,,n_5315599561,"shop=department_store, brand=Walmart, operator=Walmart"
"Branch, AR",,retail,445120,Superstop,,,,35.4910316,-94.2255823,,,n_5811295137,shop=convenience
"Branch, AR",,retail,445120,Workman's Smoke Shop,,,,35.4877082,-94.2265925,,,n_5811314511,shop=convenience
"Branch, AR",,retail,445120,Alma Shortstop,,,,35.5494165,-94.2200229,,,n_5903869787,shop=convenience
"Branch, AR",,retail,445110,Harps,"406 Huntington Avenue, Mansfield, AR, 72944",,,35.0633038,-94.2488101,,,n_8165217244,"shop=supermarket, brand=Harps"
"Branch, AR",,retail,452319,Graphic Store,"6330 West Graphic Road, Mountainburg, AR, 72946",(479) 369-2943,,35.5736506,-94.1450165,,,n_9314380991,"shop=general, operator=Carolyn Watkins"
"Branch, AR",,retail,452319,Family Dollar,,,,35.0662564,-94.2526309,,,n_11157575080,"shop=variety_store, brand=Family Dollar"
"Branch, AR",,retail,452319,Dollar Tree,,,,35.0661555,-94.252559,,,n_11157575081,"shop=variety_store, brand=Dollar Tree"
"Branch, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ar/van-buren/7277/,35.4423888,-94.3254988,,,n_11158473354,"shop=variety_store, brand=Dollar Tree"
"Branch, AR",,retail,452319,Dollar Tree,"2435 West Center Street, Greenwood, AR, 72936",(479) 322-6002,https://www.dollartree.com/locations/ar/greenwood/7174/,35.2225726,-94.2981192,,,n_11349170029,"shop=variety_store, brand=Dollar Tree, operator=Dollar Tree Inc."
"Branch, AR",,retail,445292,Kopper-Kettle Candies,"4300 Rogers Avenue, Fort Smith, AR, 72903",479-783-8158,https://shopkopperkettle.com/,35.3683805,-94.3849635,,,n_11357361460,shop=confectionery
"Branch, AR",,retail,446120,P Nails,"4300 Rogers Avenue, Fort Smith, AR, 72903",479-235-1664,,35.3677519,-94.3848946,,,n_11357361468,shop=beauty
"Branch, AR",,retail,446120,Linh's Nails,"4120 Rogers Avenue, Fort Smith, AR, 72903",+1-479-709-9777,,35.3689636,-94.3864087,,,n_11619624488,shop=beauty
"Branch, AR",,retail,445299,Amazing Graze,"4120 Rogers Avenue, Fort Smith, AR, 72903",+1-479-242-8588,,35.3689704,-94.3867235,,,n_11619630276,shop=cheese
"Branch, AR",,retail,446110,Langston Drug,"1202 Main Street, Van Buren, AR",,,35.4364788,-94.3466628,,,n_11665793742,shop=chemist
"Branch, AR",,retail,446120,Nails by Anderson,,,,35.3457372,-94.3327489,,,n_11669458406,shop=beauty
"Branch, AR",,retail,446120,Roots Salon,,,,35.3676334,-94.3820702,,,n_11725459865,shop=beauty
"Branch, AR",,retail,446120,Primetime Barbershop,,,,35.3674963,-94.3808364,,,n_11725499938,shop=beauty
"Branch, AR",,retail,446120,Tiffany's Nails,,,,35.3656736,-94.3780918,,,n_11725694678,shop=beauty
"Branch, AR",,retail,446120,Candy's Nails & Spa,,,,35.3639185,-94.3735318,,,n_12125026237,shop=beauty
"Branch, AR",,retail,446120,Fort Smith Tan Company,Rogers Avenue,+1479-452-4466,https://www.fortsmithtan.com/,35.3638206,-94.37355,,,n_12125047873,shop=beauty
"Branch, AR",,retail,445110,Harps,,,,35.4847769,-94.2244271,,,n_12366059612,"shop=supermarket, brand=Harps"
"Branch, AR",,retail,453110,Autumn's Florals,,,,35.4851063,-94.2247033,,,n_12366100088,shop=florist
"Branch, AR",,retail,446120,Colourful Nails,,,,35.485237,-94.2249153,,,n_12366106263,shop=beauty
"Branch, AR",,retail,452319,Dollar General,,,,35.5028977,-94.0544032,,,n_12451762350,"shop=variety_store, brand=Dollar General"
"Branch, AR",,retail,452319,Dollar Tree,,,,35.4802111,-94.2275884,,,n_12451796450,"shop=variety_store, brand=Dollar Tree"
"Branch, AR",,retail,446120,Nails By Mandy,,,,35.3411984,-94.3902631,,,n_12530126383,shop=beauty
"Branch, AR",,retail,446120,Milan Laser Hair Removal,,,,35.3411588,-94.3902952,,,n_12530138690,shop=beauty
"Branch, AR",,retail,453991,Tobacco Mart,,,,35.4555631,-94.356377,,,n_12544296370,shop=tobacco
"Branch, AR",,retail,445120,Casey's General Store,,,,35.3473383,-94.3596228,,,n_12705558537,"shop=convenience, brand=Casey's General Store"
"Branch, AR",,retail,453991,Winston's,,,,35.3630806,-94.3746303,,,n_12720345980,shop=tobacco
"Branch, AR",,retail,446120,Lucy's Nails,,,,35.348328,-94.358377,,,n_12731704267,shop=beauty
"Branch, AR",,retail,446120,VIP Nails Spa,,,,35.3540291,-94.3568368,,,n_12943322118,shop=beauty
"Branch, AR",,retail,446110,Laws Drug Store,,,,35.3542607,-94.358002,,,n_12943323324,shop=chemist
"Branch, AR",,retail,445210,Butcher Block,,,,35.3429478,-94.3747317,,,n_12978142624,shop=butcher
"Branch, AR",,retail,445120,Casey's General Store,,,,35.4584607,-94.3558241,,,n_12995115843,"shop=convenience, brand=Casey's General Store"
