Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Calion, AR",,retail,453110,Camden Flower Shop,"1265 Cash Road Southwest, Camden, AR, 71701",+1-870-836-5041,https://www.camdenflowershop.com/,33.5612264,-92.8528702,,,n_5773184375,shop=florist
"Calion, AR",,retail,445110,Brookshire's,"1345 Country Club Road, Camden, AR, 71701",+1-870-836-3900,,33.5754709,-92.853449,,,n_6104521473,shop=supermarket
"Calion, AR",,retail,445110,Brookshire's,"2202 North West Avenue, El Dorado, AR, 71730",+1-870-862-8381,,33.2345763,-92.6663619,,,n_6106864103,"shop=supermarket, brand=Brookshire's"
"Calion, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/el-dorado/745,33.234018,-92.6648447,,,n_6106864106,"shop=variety_store, brand=Dollar General"
"Calion, AR",,retail,445120,Missile Mart,,,,33.2580569,-92.6451856,,,n_11099177195,shop=convenience
"Calion, AR",,retail,445120,Break Time,,,,33.3296739,-92.551429,,,n_11099177224,shop=convenience
"Calion, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/camden/980,33.5347655,-92.8499754,,,n_11129854420,"shop=variety_store, brand=Dollar General"
"Calion, AR",,retail,445120,Missile Mart,,,,33.2085906,-92.7207236,,,n_11132263454,shop=convenience
"Calion, AR",,retail,445120,Littlefield Express,,,,33.6115489,-92.764313,,,n_11134782390,shop=convenience
"Calion, AR",,retail,445110,Brookshire's,"220 South West Avenue, El Dorado, TX, 71730",+1-870-863-4081,,33.2105747,-92.6662453,,,w_651192372,"shop=supermarket, brand=Brookshire's"
"Calion, AR",,retail,446110,Walgreens,,,https://www.walgreens.com/locator/walgreens-2135+n+west+ave-el+dorado-ar-71730/id=10198,33.2326111,-92.6650493,,,w_878846708,"shop=chemist, brand=Walgreens"
"Calion, AR",,retail,445110,Brookshire's,,,,33.2345163,-92.6661682,,,w_878846711,"shop=supermarket, brand=Brookshire's"
"Calion, AR",,retail,445110,Walmart Supercenter,"2730 North West Avenue, El Dorado, AR, 71730",+1 870-862-2128,https://www.walmart.com/store/530-el-dorado-ar,33.2420895,-92.6686833,,,w_878846716,"shop=supermarket, brand=Walmart, operator=Walmart"
"Calion, AR",,retail,445210,Rajun' Cajun Deer Processing,,,,33.2195167,-92.8695932,,,w_1004817631,shop=butcher
"Calion, AR",,retail,445120,Express Way,,,,33.2084499,-92.7307642,,,w_1004817635,shop=convenience
"Calion, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/el-dorado/2797,33.208017,-92.676032,,,w_1004817663,"shop=variety_store, brand=Dollar General"
"Calion, AR",,retail,445110,Walmart Supercenter,"950 California Avenue Southwest, Camden, AR, 71701",+1 870-836-8000,https://www.walmart.com/store/171-camden-ar,33.5672014,-92.8368922,,,w_1066333113,"shop=supermarket, brand=Walmart, operator=Walmart"
"Calion, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/el-dorado/19000,33.2809633,-92.6677355,,,w_1196032244,"shop=variety_store, brand=Dollar General"
"Calion, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/el-dorado/17231,33.1727416,-92.7190256,,,w_1200618354,"shop=variety_store, brand=Dollar General"
"Calion, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/hampton/3370,33.5310868,-92.4693391,,,w_1200860573,"shop=variety_store, brand=Dollar General"
"Calion, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/camden/16259,33.612082,-92.7607,,,w_1200912863,"shop=variety_store, brand=Dollar General"
"Calion, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/hermitage/13786,33.4477073,-92.1689023,,,w_1201022281,"shop=variety_store, brand=Dollar General"
