Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Clinton, AR",,retail,445110,Lewis Grocery and Ryan`s Deli,,,,35.8287565,-92.5594283,,,n_3319755577,shop=supermarket
"Clinton, AR",,retail,452210,Antique Mall,,,,35.8285529,-92.5588136,,,n_3319761220,shop=department_store
"Clinton, AR",,retail,445120,Arkansas Handmade,,,,35.8291629,-92.559986,,,n_3370897492,shop=convenience
"Clinton, AR",,retail,445120,Elk & Eagle Trading Post,,,,35.8292865,-92.5599585,,,n_3372380772,shop=convenience
"Clinton, AR",,retail,453991,Tobacco World,"296 Ingram Street, Clinton, AR, 72031",,,35.5988662,-92.4616697,,,n_9354217510,shop=tobacco
"Clinton, AR",,retail,446120,Beyond Deep Therapeutic Massage,"296 Ingram Street, Clinton, AR, 72031",+1-501-757-3377,,35.5989013,-92.461854,,,n_9354217512,shop=beauty
"Clinton, AR",,retail,446120,Oasis Hair & Tanning,"15 Victory Lane, Greers Ferry, AR, 72067",+1-501-825-6770,https://oasishairandtan.com,35.5674936,-92.1787894,,,n_9692868634,"shop=beauty, operator=Rene Haynes"
"Clinton, AR",,retail,452319,Dollar General,,,,35.8682745,-92.3077912,,,n_12450128212,"shop=variety_store, brand=Dollar General"
"Clinton, AR",,retail,445110,Walmart Supercenter,"1966 Highway 65 South, Clinton, AR, 72031",+1 501-745-2498,https://www.walmart.com/store/788-clinton-ar,35.5667653,-92.4544104,,,w_479558198,"shop=supermarket, brand=Walmart, operator=Walmart"
"Clinton, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/clinton/3979,35.5965273,-92.4569197,,,w_1097874572,"shop=variety_store, brand=Dollar General"
"Clinton, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/bee-branch/15678,35.4533446,-92.3960323,,,w_1099447274,"shop=variety_store, brand=Dollar General"
"Clinton, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/damascus/12339,35.3610014,-92.4121519,,,w_1099447673,"shop=variety_store, brand=Dollar General"
"Clinton, AR",,retail,452319,Dollar General,"6254 Heber Springs Road West, Quitman, AR, 72131",,https://www.dollargeneral.com/store-directory/ar/quitman/7238,35.3798263,-92.2235442,,,w_1203459248,"shop=variety_store, brand=Dollar General"
"Clinton, AR",,retail,452319,Family Dollar,,,,35.9087482,-92.66177,,,w_1204643877,"shop=variety_store, brand=Family Dollar"
"Clinton, AR",,retail,445110,Harps,,,,35.9104914,-92.6499689,,,w_1204643878,"shop=supermarket, brand=Harps"
"Clinton, AR",,retail,452319,Dollar General,"Marshall, AR, 72650",,https://www.dollargeneral.com/store-directory/ar/marshall/971,35.9108076,-92.6441263,,,w_1204643879,"shop=variety_store, brand=Dollar General"
"Clinton, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/leslie/17627,35.8320914,-92.5681341,,,w_1204643881,"shop=variety_store, brand=Dollar General"
"Clinton, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/greenbrier/17432,35.3161421,-92.3452654,,,w_1217069992,"shop=variety_store, brand=Dollar General"
"Clinton, AR",,retail,452319,Dollar Tree,"1141 Highway 25B, HEBER SPRINGS, AR, 72543",,https://www.dollartree.com/locations/ar/heber-springs/5372/,35.5034428,-92.0290639,,,w_1229499653,"shop=variety_store, brand=Dollar Tree"
"Clinton, AR",,retail,445110,,,,,35.4913022,-92.0392143,,,w_1283646700,shop=supermarket
"Clinton, AR",,retail,445120,,"540 Dave Creek Parkway, Fairfield Bay, AR, 72088",,,35.6073866,-92.2694084,,,w_1291050581,shop=convenience
"Clinton, AR",,retail,445120,Alfred Fountain Grocery,"36386 AR 27, Tilly, AR, 72679",,,35.7205237,-92.8238161,,,w_1309077093,shop=convenience
"Clinton, AR",,retail,445110,Walmart Supercenter,"1500 Highway 25B, Heber Spgs, AR, 72543",+1 501-362-8188,https://www.walmart.com/store/281-heber-spgs-ar,35.5072422,-92.0322407,,,w_1311916209,"shop=supermarket, brand=Walmart, operator=Walmart"
"Clinton, AR",,retail,452319,Family Dollar,,,,35.5662704,-92.1793039,,,w_1346060934,"shop=variety_store, brand=Family Dollar"
