Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Crawfordsville, AR",,retail,452319,Family Dollar,,,,35.2091828,-90.2033703,,,n_1239655076,"shop=variety_store, brand=Family Dollar"
"Crawfordsville, AR",,retail,445310,Buster's Liquors & Wines,,,,35.1269037,-89.9457104,,,n_1403547449,shop=alcohol
"Crawfordsville, AR",,retail,445110,High Point Grocery,"469 High Point Terrace, 38122",,https://www.highpointgrocery.com/,35.1444938,-89.9376722,,,n_2326594332,shop=supermarket
"Crawfordsville, AR",,retail,445310,Lucchesi's Deli & Beer Store,"3358 Poplar Avenue, Memphis, TN, 38111",+19014523002,,35.1293815,-89.9500449,,,n_2351816060,shop=alcohol
"Crawfordsville, AR",,retail,445110,Superlo Foods,,,,35.1135539,-89.9041402,,,n_2605170032,shop=supermarket
"Crawfordsville, AR",,retail,452319,Family Dollar,,,,35.1511747,-89.9795944,,,n_2796565775,"shop=variety_store, brand=Family Dollar"
"Crawfordsville, AR",,retail,445110,Kroger,"1366 Poplar Avenue, Memphis, TN, 38104",+1 901-272-7881,https://www.kroger.com/stores/grocery/tn/memphis/poplar-cleveland/025/00415,35.1452795,-90.0147635,,,n_2796596190,"shop=supermarket, brand=Kroger"
"Crawfordsville, AR",,retail,445110,Superlo Foods,2269 Lamar Avenue,,,35.1057449,-89.9878279,,,n_2796632932,shop=supermarket
"Crawfordsville, AR",,retail,452210,Macy's,,,https://www.macys.com/stores/tn/memphis/oak-court-mall_795.html,35.1165897,-89.911828,,,n_2918109268,"shop=department_store, brand=Macy's"
"Crawfordsville, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/tn/memphis/4082/,35.0380894,-90.0258147,,,n_2937717076,"shop=variety_store, brand=Dollar Tree"
"Crawfordsville, AR",,retail,452319,Family Dollar,,,,35.0559579,-90.0255111,,,n_2937717077,"shop=variety_store, brand=Family Dollar"
"Crawfordsville, AR",,retail,445120,Midtown Mini Mart,"634 North McLean Boulevard, Memphis, TN, 38107",,,35.1552223,-89.9973117,,,n_4150307084,shop=convenience
"Crawfordsville, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/tn/millington/14328,35.2909358,-89.9195145,,,n_4434583773,"shop=variety_store, brand=Dollar General"
"Crawfordsville, AR",,retail,446120,Omololu International,"3163 Bellbrook Drive, Memphis, TN, 38116",+1-901-332-3335,https://omololu.com/,35.0621386,-90.0276624,,,n_4505623871,shop=beauty
"Crawfordsville, AR",,retail,453110,"Piano's Flowers & Gifts, Inc","4532 Elvis Presley Blvd, Memphis, TN, 38116",+1 901-345-7670,https://www.pianosflowers.net/,35.0249256,-90.0246521,,,n_4541073586,shop=florist
"Crawfordsville, AR",,retail,452319,Dollar General,"4111 Summer Avenue, Memphis, TN, 38122",(901) 452-1618,https://www.dollargeneral.com/store-directory/tn/memphis/11958,35.1484713,-89.9237661,,,n_4944605516,"shop=variety_store, brand=Dollar General"
"Crawfordsville, AR",,retail,452210,Dillard's Women,,+1 901-685-0382,https://www.dillards.com/stores/tennessee/oak-court-mall-memphis/0410,35.1174825,-89.9146473,,,n_5194759509,"shop=department_store, brand=Dillard's"
"Crawfordsville, AR",,retail,452210,Dillard's Men Children & Home,,,,35.1167421,-89.9136126,,,n_5194759510,shop=department_store
"Crawfordsville, AR",,retail,446120,Brow Art 23,,,,35.1170352,-89.913534,,,n_5224953859,shop=beauty
"Crawfordsville, AR",,retail,445292,Godiva Chocolatier,,,,35.1172899,-89.91338,,,n_5224953863,"shop=chocolate, brand=Godiva Chocolatier"
"Crawfordsville, AR",,retail,446120,Nail Pro,,,,35.1174145,-89.9133515,,,n_5224953866,shop=beauty
"Crawfordsville, AR",,retail,446120,Bath & Body Works,,,,35.1172187,-89.9138387,,,n_5224953871,"shop=cosmetics, brand=Bath & Body Works"
"Crawfordsville, AR",,retail,446120,Dream Spa,,,,35.1172406,-89.914053,,,n_5224978183,shop=beauty
"Crawfordsville, AR",,retail,446120,Regis Salon,,,,35.1167791,-89.9127622,,,n_5224978188,shop=beauty
"Crawfordsville, AR",,retail,445110,Walmart Neighborhood Market,"2401 Goodman Road West, Horn Lake, MS, 38637",+1 662-342-5929,https://www.walmart.com/store/3593-horn-lake-ms,34.961086,-90.032598,,,n_5315598255,"shop=supermarket, brand=Walmart, operator=Walmart"
"Crawfordsville, AR",,retail,445292,Dinstuhl's,,,,35.1191712,-89.9113205,,,n_5317191846,shop=confectionery
"Crawfordsville, AR",,retail,452319,Family Dollar,,,,35.2760742,-90.4692175,,,n_5436375922,"shop=variety_store, brand=Family Dollar"
"Crawfordsville, AR",,retail,445120,K Circle Convenience Store,,,,35.1381234,-90.0001139,,,n_6058652407,shop=convenience
"Crawfordsville, AR",,retail,445310,Tip Top Liquors and Wine,,,,35.1373322,-89.9986059,,,n_6058691208,shop=alcohol
"Crawfordsville, AR",,retail,452319,Dollar Tree,995 East Parkway South,,https://www.dollartree.com/locations/tn/memphis/5940/,35.1180939,-89.9849384,,,n_6551416188,"shop=variety_store, brand=Dollar Tree"
"Crawfordsville, AR",,retail,445120,B & G Food Mart,1076 South Cooper Street,,,35.1164299,-89.9910164,,,n_6551423285,shop=convenience
"Crawfordsville, AR",,retail,446110,Walgreens,,,https://www.walgreens.com/locator/walgreens-4028+goodman+rd+w-horn+lake-ms-38637/id=6754,34.9636571,-90.061291,,,n_7149757390,"shop=chemist, brand=Walgreens"
"Crawfordsville, AR",,retail,452319,Cordelia's Market,"737 Harbor Bend Road, Memphis, TN, 38103",+1-901-526-4772,https://cordeliasmarket.com,35.1611316,-90.0536725,,,n_7359362818,shop=general
"Crawfordsville, AR",,retail,453991,Whatever,"2027 Madison Avenue, Memphis, TN, 38104",+1-901-590-0084,https://whatevershopmemphis.com,35.1369086,-89.9936595,,,n_7447594216,shop=tobacco
"Crawfordsville, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/tn/millington/2698,35.3449892,-89.9070471,,,n_7604103061,"shop=variety_store, brand=Dollar General"
