Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Datto, AR",,retail,445310,,"Marmaduke, 72443",,,36.1858385,-90.3833876,,,n_1570019036,"shop=alcohol, amenity=waste_basket"
"Datto, AR",,retail,452319,Carroll's Variety Store,,,,36.2610464,-90.9697679,,,n_3362592989,shop=variety_store
"Datto, AR",,retail,446120,Studio B Salon and Dayspa,,,,36.2619166,-90.9701305,,,n_3362592994,"shop=beauty, operator=Brittany Steimel"
"Datto, AR",,retail,445120,Quick Stop,,,,36.1862668,-90.3844772,,,n_5646073262,shop=convenience
"Datto, AR",,retail,445110,Harps Food Store,"1609 North Thomasville Street, Pocahontas, AR, 72455",,,36.2723963,-90.9757761,,,n_6936032864,shop=supermarket
"Datto, AR",,retail,445120,Casey's General Store,"403 Washington Street, Doniphan, MO, 63935",,,36.6179405,-90.8224483,,,n_8710729803,"shop=convenience, brand=Casey's General Store"
"Datto, AR",,retail,452319,Dollar General,"Pocahontas, AR, 72455",,https://www.dollargeneral.com/store-directory/ar/pocahontas/19434,36.2548976,-90.9731431,,,n_11160235301,"shop=variety_store, brand=Dollar General"
"Datto, AR",,retail,452319,Dollar Tree,,,,36.2500358,-90.9608839,,,n_11984568820,"shop=variety_store, brand=Dollar Tree"
"Datto, AR",,retail,445110,Walmart Supercenter,"1415 Highway 67 South, Pocahontas, AR, 72455",+1 870-892-7703,https://www.walmart.com/store/71-pocahontas-ar,36.2487424,-90.9633526,,,w_480306546,"shop=supermarket, brand=Walmart, operator=Walmart"
"Datto, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/marmaduke/12181,36.1841414,-90.3855701,,,w_591305007,"shop=variety_store, brand=Dollar General"
"Datto, AR",,retail,445110,Town & Country Supermarket,,,,36.6219427,-90.8349717,,,w_940555022,shop=supermarket
"Datto, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/paragould/12258,36.1130164,-90.5081542,,,w_1203412397,"shop=variety_store, brand=Dollar General"
"Datto, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/pocahontas/14855,36.256619,-91.0455287,,,w_1203961632,"shop=variety_store, brand=Dollar General"
"Datto, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/corning/1061,36.4130313,-90.5853332,,,w_1204086333,"shop=variety_store, brand=Dollar General"
"Datto, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/paragould/21970,36.0711966,-90.6525471,,,w_1204346379,"shop=variety_store, brand=Dollar General"
"Datto, AR",,retail,445120,,,,,36.2381893,-90.9572193,,,w_1421967332,shop=convenience
"Datto, AR",,retail,445120,,,,,36.2392467,-90.9589757,,,w_1421967333,shop=convenience
