Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Delight, AR",,retail,445110,Brookshire's,"2750 Pine Street, Arkadelphia, AR, 71923",+1-870-246-6167,,34.1222744,-93.08485,,,n_6104212837,"shop=supermarket, brand=Brookshire's"
"Delight, AR",,retail,452319,Dollar Tree,"1301 North Hervey Street, Hope, AR, 71801",,https://www.dollartree.com/locations/ar/hope/2501/,33.680721,-93.6034643,,,n_8819136015,"shop=variety_store, brand=Dollar Tree"
"Delight, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ar/arkadelphia/2737/,34.1199305,-93.0936929,,,n_8821413819,"shop=variety_store, brand=Dollar Tree"
"Delight, AR",,retail,445120,Superstop,,,,33.8020848,-93.3800653,,,n_11133283225,shop=convenience
"Delight, AR",,retail,445120,,,,,34.1190439,-93.0907046,,,n_12166280033,shop=convenience
"Delight, AR",,retail,445120,Road Runner,,,,34.1175161,-93.0953343,,,n_12166280034,shop=convenience
"Delight, AR",,retail,445120,Love's,,,,33.8289163,-93.3948291,,,w_224315975,"shop=convenience, brand=Love's"
"Delight, AR",,retail,445110,Walmart Supercenter,"109 Wp Malone Drive, Arkadelphia, AR, 71923",+1 870-246-2459,https://www.walmart.com/store/318-arkadelphia-ar,34.1197576,-93.0965632,,,w_486412477,"shop=supermarket, brand=Walmart, operator=Walmart"
"Delight, AR",,retail,445110,Walmart Supercenter,"1710 South 4th Street, Nashville, AR, 71852",+1 870-845-1881,https://www.walmart.com/store/33-nashville-ar,33.9253649,-93.8574526,,,w_589132390,"shop=supermarket, brand=Walmart, operator=Walmart"
"Delight, AR",,retail,445120,Super Station,"1615 North Hervey Street, Hope, AR, 71801",,,33.6806966,-93.6062601,,,w_909331343,shop=convenience
"Delight, AR",,retail,445120,E-Z Mart,"2403 North Hervey Street, Hope, AR, 71801",,,33.6839202,-93.6136064,,,w_952809485,shop=convenience
"Delight, AR",,retail,445120,Winner's Circle,"3120 Pine Street, Arkadelphia, AR, 71923",,,34.118372,-93.0960303,,,w_953058962,shop=convenience
"Delight, AR",,retail,452210,Sears Hometown,,,,34.1188437,-93.0861792,,,w_1074580314,"shop=department_store, brand=Sears Hometown"
"Delight, AR",,retail,445120,Big Red,,,,34.118199,-93.0875879,,,w_1095374582,"shop=convenience, brand=Big Red Stores"
"Delight, AR",,retail,445310,Lucky Liquor,,,,34.1192792,-93.0873543,,,w_1101010315,shop=beverages
"Delight, AR",,retail,446120,Tony's Nails,,,,34.121746,-93.0801872,,,w_1102306021,shop=beauty
"Delight, AR",,retail,452319,Family Dollar,,,,33.8069753,-93.3755799,,,w_1200733551,"shop=variety_store, brand=Family Dollar"
"Delight, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/prescott/263,33.808208,-93.3766658,,,w_1200733552,"shop=variety_store, brand=Dollar General"
"Delight, AR",,retail,445110,Cash Saver,,,,33.8103263,-93.374884,,,w_1200733554,shop=supermarket
"Delight, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/gurdon/10572,33.9154007,-93.1483348,,,w_1200733565,"shop=variety_store, brand=Dollar General"
"Delight, AR",,retail,452319,Family Dollar,,,,33.9165015,-93.1488973,,,w_1200733566,"shop=variety_store, brand=Family Dollar"
"Delight, AR",,retail,452319,Family Dollar,,,,34.0311709,-93.5069849,,,w_1200743410,"shop=variety_store, brand=Family Dollar"
"Delight, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/glenwood/2865,34.3236369,-93.5408092,,,w_1201919763,"shop=variety_store, brand=Dollar General"
"Delight, AR",,retail,452319,Dollar General,"529 West Thompson Street, Amity, AR, 71921",,https://www.dollargeneral.com/store-directory/ar/amity/17326,34.2644292,-93.470179,,,w_1201919766,"shop=variety_store, brand=Dollar General"
"Delight, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/amity/20077,34.2519326,-93.6411929,,,w_1202054664,"shop=variety_store, brand=Dollar General"
"Delight, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/murfreesboro/1793,34.0696834,-93.6877641,,,w_1202054666,"shop=variety_store, brand=Dollar General"
"Delight, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/blevins/18879,33.8711012,-93.5744509,,,w_1215863708,"shop=variety_store, brand=Dollar General"
"Delight, AR",,retail,453110,Charlotte Rose,"1110 West 1st Street North, Prescott, AR, 71857",,,33.8076061,-93.3757309,,,w_1387829015,shop=florist
