Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Dumas, AR",,retail,445110,Save-A-Lot,,,https://savealot.com/grocery-stores/monticello-71655-24253/,33.630536,-91.7964234,,,n_2349898988,"shop=supermarket, brand=Save-A-Lot"
"Dumas, AR",,retail,445110,Tobacco store,"110 Crooked Bayou Drive, McGehee, AR, 71654",,,33.6107216,-91.3814912,,,n_4632400191,shop=supermarket
"Dumas, AR",,retail,445120,,,,,33.8774125,-91.4815968,,,n_11956823032,shop=convenience
"Dumas, AR",,retail,452210,Walmart,"1001 Us 65 South, McGehee, AR, 71654",+1 870-222-4184,https://www.walmart.com/store/289-mcgehee-ar,33.6042312,-91.3819147,,,w_729205800,"shop=department_store, brand=Walmart, operator=Walmart"
"Dumas, AR",,retail,445110,Piggly Wiggly,"1307 North Lincoln Avenue, Star City, AR, 71667",+1 870-628-4443,,33.956548,-91.8412372,,,w_754812078,"shop=supermarket, brand=Piggly Wiggly"
"Dumas, AR",,retail,453110,Pickin' Flowers & Gifts,,,,33.94447,-91.8439779,,,w_754871185,shop=florist
"Dumas, AR",,retail,446110,Doctor’s Orders Pharmacy,,,,33.937902,-91.8441188,,,w_754885755,shop=chemist
"Dumas, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/star-city/461,33.936628,-91.8442369,,,w_754885756,"shop=variety_store, brand=Dollar General"
"Dumas, AR",,retail,453991,Tobacco SuperStore,,,,33.9412264,-91.843139,,,w_754891839,shop=tobacco
"Dumas, AR",,retail,453110,Sweet Peas,,,,33.941476,-91.8440105,,,w_873307299,shop=florist
"Dumas, AR",,retail,452319,Family Dollar,,,,33.9370859,-91.8430059,,,w_873336749,"shop=variety_store, brand=Family Dollar"
"Dumas, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/star-city/22482,33.9568626,-91.8413102,,,w_873354946,"shop=variety_store, brand=Dollar General"
"Dumas, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/gould/16273,33.9899538,-91.5640765,,,w_1034172588,"shop=variety_store, brand=Dollar General"
"Dumas, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/monticello/22501,33.6292918,-91.7772635,,,w_1200994297,"shop=variety_store, brand=Dollar General"
"Dumas, AR",,retail,445110,The Mad Butcher,,,,33.8783619,-91.4813152,,,w_1201167696,shop=supermarket
"Dumas, AR",,retail,452319,Dollar General,,,,33.8838868,-91.4824953,,,w_1201167698,"shop=variety_store, brand=Dollar General"
"Dumas, AR",,retail,452319,Family Dollar,,,,33.889259,-91.485335,,,w_1201167699,"shop=variety_store, brand=Family Dollar"
"Dumas, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/gillett/22141,34.1258226,-91.3722915,,,w_1201431093,"shop=variety_store, brand=Dollar General"
