Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Etowah, AR",,retail,445110,Sav-A-Lot,,,,35.9269615,-89.9258988,,,n_1162546751,shop=supermarket
"Etowah, AR",,retail,452319,Dollar General,"517 West Keiser Avenue, Osceola, AR, 72370",,https://www.dollargeneral.com/store-directory/ar/osceola/4689,35.6972446,-89.974011,,,n_1354236220,"shop=variety_store, brand=Dollar General"
"Etowah, AR",,retail,445120,Stop -N- By,,,,35.6981899,-89.98224,,,n_1354236226,shop=convenience
"Etowah, AR",,retail,452210,Walmart,,,,35.6966564,-89.9840746,,,n_1354236244,"shop=department_store, brand=Walmart"
"Etowah, AR",,retail,445120,Mark's,,,,35.8891079,-89.9192833,,,n_1354652499,shop=convenience
"Etowah, AR",,retail,445310,,,,,35.9284901,-89.8813519,,,n_1354899340,shop=alcohol
"Etowah, AR",,retail,445110,Bill's Fresh Market,"4225 Stadium Boulevard, Jonesboro, AR, 72404",870-336-0370,http://www.billsfreshmarket.com/location_details.php?id=6,35.7915339,-90.6706524,,,n_3533533128,shop=supermarket
"Etowah, AR",,retail,445110,Hometown Supermarket,"132 Greenwood Avenue, Lepanto, AR, 72354",1(870) 475-2319,,35.6148556,-90.3316301,,,n_6540968646,"shop=supermarket, operator=Bill Manget"
"Etowah, AR",,retail,445310,,,,,35.6134313,-90.340424,,,n_6541001047,shop=alcohol
"Etowah, AR",,retail,452319,Dollar General,"329 West Broad Street, Lepanto, AR, 72354",,,35.6130517,-90.3373635,,,n_6541001467,"shop=variety_store, brand=Dollar General"
"Etowah, AR",,retail,453110,The Lepanto Flower Shop,"214 Greenwood Ave, Lepanto, AR, 72354",,,35.612232,-90.3307363,,,n_6541068496,shop=florist
"Etowah, AR",,retail,446120,Wigs & Beauy,,,,35.6984523,-89.9838377,,,n_8280971674,shop=beauty
"Etowah, AR",,retail,453991,Osceola Tobacco Shop,,,,35.6984524,-89.9834387,,,n_8280971685,shop=tobacco
"Etowah, AR",,retail,445120,,,,,35.9306717,-89.8754624,,,n_8584510350,shop=convenience
"Etowah, AR",,retail,445120,,,,,35.7562798,-89.936046,,,n_8584510379,shop=convenience
"Etowah, AR",,retail,452319,Dollar General,,,,35.9592384,-89.9669847,,,n_8584694694,shop=variety_store
"Etowah, AR",,retail,453991,Tobacco,,,,35.9276082,-89.8820968,,,n_8586566402,shop=tobacco
"Etowah, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/blytheville/18033,35.9276587,-89.8874324,,,n_8586611019,"shop=variety_store, brand=Dollar General"
"Etowah, AR",,retail,446120,Pro-Nails,,,,35.9268784,-89.8900066,,,n_8586611032,shop=beauty
"Etowah, AR",,retail,445120,Hays,,,,35.9277554,-89.9006456,,,n_8586611062,shop=convenience
"Etowah, AR",,retail,445110,Hays,,,,35.9356016,-89.9106234,,,n_8586611086,shop=supermarket
"Etowah, AR",,retail,445110,Kroger,"400 West Moultrie Drive, Blytheville, AR, 72315",+1 870-763-7524,https://www.kroger.com/stores/grocery/ar/blytheville/blytheville/025/00465,35.9371859,-89.9069971,,,n_8586611098,"shop=supermarket, brand=Kroger"
"Etowah, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/blytheville/13718,35.9436589,-89.9107019,,,n_8586611124,"shop=variety_store, brand=Dollar General"
"Etowah, AR",,retail,445120,Gary's Food Mart,,,,35.9361902,-89.9050257,,,n_8663757850,shop=convenience
"Etowah, AR",,retail,453110,A-1 Flowers,,,,35.9293794,-89.9006966,,,n_8663757882,shop=florist
"Etowah, AR",,retail,445120,Cherry Tree,,,,35.9297519,-89.9161354,,,n_8711096768,shop=convenience
"Etowah, AR",,retail,445120,Denny Street & Fish market,,,,35.9156779,-89.8954609,,,n_8869901478,shop=convenience
"Etowah, AR",,retail,445120,Noon Market,,,,35.9195314,-89.8999858,,,n_8869901796,shop=convenience
"Etowah, AR",,retail,445310,Mack's Liquor,,,,35.9271141,-89.8961958,,,n_8869901834,shop=alcohol
"Etowah, AR",,retail,446120,Fashion Nails,,,,35.9279166,-89.8946938,,,n_8869901841,shop=beauty
"Etowah, AR",,retail,446120,MzPip Spa,"3915 East Nettleton Avenue, Jonesboro, AR, 72401",,https://www.mzpipspa.com/,35.8249645,-90.6574377,,,n_8929036073,shop=beauty
"Etowah, AR",,retail,445120,Danny's Store,,,,35.9192251,-89.9274006,,,n_9046835874,shop=convenience
"Etowah, AR",,retail,445110,NEA Full Spectrum,"12001 Highway 49 North, Brookland, AR, 72417",(870) 634-6412,https://www.neafullspectrummedicine.com/,35.960958,-90.5664335,,,n_9790492535,"shop=supermarket, brand=Cannabis, operator=NEA Full Spectrum"
"Etowah, AR",,retail,452319,Dollar Tree,,,,35.5285434,-90.4325951,,,n_9948399561,"shop=variety_store, brand=Dollar Tree"
"Etowah, AR",,retail,453110,Lunsfords Flowers & Gifts,"1505 West Main Street, Blytheville State, 72315",+1-870-763-7001,https://lunsfordsflowers.com,35.9282317,-89.9224836,,,n_11070507931,shop=florist
"Etowah, AR",,retail,445120,Milans Mini Mart,,,,35.9482857,-89.9608871,,,n_11273077854,shop=convenience
"Etowah, AR",,retail,445310,The Party Store,"7205 US 49, Paragould, AR, 72450",870-236-7827,,35.9710439,-90.5551331,,,n_11284643189,shop=alcohol
"Etowah, AR",,retail,445120,Shell,,,,35.677796,-90.5499206,,,n_11464447101,"shop=convenience, brand=Shell"
"Etowah, AR",,retail,452319,Dollar General,,,,35.7981029,-90.6706346,,,n_12456876889,"shop=variety_store, brand=Dollar General"
"Etowah, AR",,retail,445110,Harps,"8121 US 49;AR 1, Brookland, AR, 72417",(870) 790-2321,,35.9085656,-90.5900326,,,n_13005833548,"shop=supermarket, brand=Harps"
"Etowah, AR",,retail,452319,Brookland Sales Inc.,"8159 US 49;AR 1, Brookland, AR, 72417",(870) 933-8240,,35.9114479,-90.5887585,,,n_13005836576,shop=general
"Etowah, AR",,retail,452210,Target,"3000 East Highland Drive, Jonesboro, AR, 72401",+1-870-934-9668,https://www.target.com/sl/jonesboro/1919,35.8234746,-90.666796,,,w_290254926,"shop=department_store, brand=Target"
"Etowah, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/jonesboro/782,35.8647439,-90.6213469,,,w_391130551,"shop=variety_store, brand=Dollar General"
"Etowah, AR",,retail,445120,,,,,35.8034521,-90.6701831,,,w_547164565,shop=convenience
"Etowah, AR",,retail,445120,Kum & Go,,,https://www.kumandgo.com/store-locator?details=0395,35.812587,-90.6699524,,,w_547164626,"shop=convenience, brand=Kum & Go"
"Etowah, AR",,retail,445120,BP Shop,,,,35.3879872,-90.2715939,,,w_574536263,"shop=convenience, brand=BP Shop"
"Etowah, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/jonesboro/3485,35.8203956,-90.6497602,,,w_587935898,"shop=variety_store, brand=Dollar General"
"Etowah, AR",,retail,445120,,,,,35.8215798,-90.6383681,,,w_587935915,shop=convenience
"Etowah, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/bay/12421,35.7404702,-90.5646918,,,w_744212322,"shop=variety_store, brand=Dollar General"
"Etowah, AR",,retail,445120,,,,,35.5081051,-90.1495393,,,w_1169955565,shop=convenience
"Etowah, AR",,retail,445120,Quick Stop 2,,,,35.9961143,-90.3432428,,,w_1184671409,shop=convenience
"Etowah, AR",,retail,445120,Mr. T's Express,"525 State Highway F, Cardwell, MO, 63829",,,35.9962881,-90.3425469,,,w_1184671413,shop=convenience
"Etowah, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/manila/4767,35.8797448,-90.1782044,,,w_1203052357,"shop=variety_store, brand=Dollar General"
"Etowah, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/gosnell/7276,35.9591951,-89.9658776,,,w_1216635949,"shop=variety_store, brand=Dollar General"
"Etowah, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/monette/11895,35.8899898,-90.3405112,,,w_1216635960,"shop=variety_store, brand=Dollar General"
"Etowah, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/blytheville/7264,35.9013749,-89.9193417,,,w_1216635963,"shop=variety_store, brand=Dollar General"
