Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Eudora, AR",,retail,452319,Dollar General,"704 East Main Street, Oak Grove, LA, 71263",,https://www.dollargeneral.com/store-directory/la/oak-grove/3888,32.8614435,-91.3817595,,,n_10968932587,"shop=variety_store, brand=Dollar General"
"Eudora, AR",,retail,445120,Love's,,,https://www.loves.com/locations/689,33.3305663,-91.2930527,,,n_11702013970,"shop=convenience, brand=Love's"
"Eudora, AR",,retail,453991,Tobacco & Vape Plus,"1832 MS-1, Greenville, MS, 38701",662-702-3293,https://tobaccovapeplus.com,33.3691651,-91.0389185,,,n_11782477582,"shop=tobacco, operator=Ibrahim Mohsen"
"Eudora, AR",,retail,452319,Family Dollar,,,,33.3829569,-91.0396177,,,n_12385162014,"shop=variety_store, brand=Family Dollar"
"Eudora, AR",,retail,452319,Dollar General,,,,33.4003683,-91.0220203,,,n_12385162021,"shop=variety_store, brand=Dollar General"
"Eudora, AR",,retail,445110,Walmart Supercenter,"705 South Constitution Avenue, Oak Grove, LA, 71263",+1 318-428-9631,https://www.walmart.com/store/1108-oak-grove-la,32.8535134,-91.3951772,,,w_357498923,"shop=supermarket, brand=Walmart, operator=Walmart"
"Eudora, AR",,retail,445110,Kroger,"1778 Highway 1 South, Greenville, MS, 38701",+1 662-332-0231,https://www.kroger.com/stores/grocery/ms/greenville/greenville/025/00429,33.3697857,-91.037952,,,w_577203867,"shop=supermarket, brand=Kroger"
"Eudora, AR",,retail,445110,Walmart Supercenter,"1831 Martin Luther King Junior Boulevard, Greenville, MS, 38701",+1 662-332-9026,https://www.walmart.com/store/182-greenville-ms,33.367712,-91.0438769,,,w_886816972,"shop=supermarket, brand=Walmart, operator=Walmart"
"Eudora, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ms/greenville/7514,33.3637036,-91.0414585,,,w_886823920,"shop=variety_store, brand=Dollar General"
"Eudora, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/la/pioneer/23371,32.7833094,-91.4155324,,,w_1181098685,"shop=variety_store, brand=Dollar General"
"Eudora, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/la/kilbourne/21091,32.9994759,-91.313918,,,w_1181098689,"shop=variety_store, brand=Dollar General"
"Eudora, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/portland/19802,33.2385953,-91.5084762,,,w_1201131522,"shop=variety_store, brand=Dollar General"
"Eudora, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/eudora/11065,33.1109262,-91.2579514,,,w_1201131535,"shop=variety_store, brand=Dollar General"
"Eudora, AR",,retail,452319,Family Dollar,,,,33.3209125,-91.2929478,,,w_1201131538,"shop=variety_store, brand=Family Dollar"
"Eudora, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/lake-village/4392,33.3264131,-91.2928606,,,w_1201131543,"shop=variety_store, brand=Dollar General"
"Eudora, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/la/lake-providence/11364,32.7946975,-91.1745207,,,w_1234871395,"shop=variety_store, brand=Dollar General"
