Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Fair Oaks, AR",,retail,452319,Dollar General,"903 Edmonds Avenue, Mc Crory, AR, 72101",,https://www.dollargeneral.com/store-directory/ar/mccrory/17323,35.2674088,-91.1989874,,,n_1268062669,"shop=variety_store, brand=Dollar General"
"Fair Oaks, AR",,retail,445120,,,,,34.9130725,-91.1944521,,,n_11159138277,shop=convenience
"Fair Oaks, AR",,retail,445120,,,,,35.0592284,-90.6881394,,,n_12166252852,shop=convenience
"Fair Oaks, AR",,retail,445120,DK,,,,34.9856597,-90.9074649,,,n_12166262234,shop=convenience
"Fair Oaks, AR",,retail,445120,Love's,,,,34.9865919,-90.9052448,,,w_224315866,"shop=convenience, brand=Love's"
"Fair Oaks, AR",,retail,445110,Walmart Supercenter,"205 Deadrick Road, Forrest City, AR, 72335",+1 870-633-0021,https://www.walmart.com/store/91-forrest-city-ar,35.0280727,-90.7935746,,,w_771448348,"shop=supermarket, brand=Walmart, operator=Walmart"
"Fair Oaks, AR",,retail,452319,Dollar Tree,809 Highway 64 East,,,35.2506572,-90.7768583,,,w_872200100,"shop=variety_store, brand=Dollar Tree"
"Fair Oaks, AR",,retail,445110,Walmart Supercenter,"800 Highway 64 East, Wynne, AR, 72396",+1 870-238-8129,https://www.walmart.com/store/68-wynne-ar,35.2534057,-90.7775006,,,w_872201583,"shop=supermarket, brand=Walmart, operator=Walmart"
"Fair Oaks, AR",,retail,445120,Flash Market,"1920 North Main Street, Brinkley, AR, 72021",+1-870-734-3120,,34.9118732,-91.1954291,,,w_1130257133,shop=convenience
"Fair Oaks, AR",,retail,445120,One9 Fuel Stop,"2101 US 49, Brinkley, AR, 72021",+1-870-638-4135,https://locations.pilotflyingj.com/us/ar/brinkley/2101-highway-49,34.9125923,-91.1962238,,,w_1130257137,shop=convenience
"Fair Oaks, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/forrest-city/14772,35.0587385,-90.8082433,,,w_1202520249,"shop=variety_store, brand=Dollar General"
"Fair Oaks, AR",,retail,445120,Speedway,,,,35.0395722,-90.7891111,,,w_1202520254,"shop=convenience, brand=Speedway"
"Fair Oaks, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/wynne/22406,35.2106188,-90.7889427,,,w_1202582231,"shop=variety_store, brand=Dollar General"
"Fair Oaks, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/wynne/1847,35.2475018,-90.7828175,,,w_1202582242,"shop=variety_store, brand=Dollar General"
"Fair Oaks, AR",,retail,452319,Dollar General,,,https://www.dollargeneral.com/store-directory/ar/cherry-valley/11806,35.4012465,-90.7599625,,,w_1203289368,"shop=variety_store, brand=Dollar General"
