Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Fourche, AR",,retail,445110,Terry's,,,,34.7696986,-92.329459,,,n_719878713,shop=supermarket
"Fourche, AR",,retail,445120,Shell,,,,35.0783002,-92.5471368,,,n_843074206,"shop=convenience, amenity=fuel"
"Fourche, AR",,retail,445310,JR's Liquor,,,,34.7400909,-92.3055071,,,n_1309409563,shop=alcohol
"Fourche, AR",,retail,445120,Williams Junction Grocery,"3151 AR-10, Harmony, AR, 72126",+1-501-333-2422,,34.8811155,-92.7735339,,,n_1437075134,shop=convenience
"Fourche, AR",,retail,445310,O'Looney's Wine and Liquor,"3 Rahling Circle, Little Rock, 72223",,https://www.olooneys.com/,34.7697854,-92.4563641,,,n_2112863090,shop=alcohol
"Fourche, AR",,retail,446120,CLIPS Hair Studio (Inside Sola Salons),"12310 Chenal Parkway, Little Rock, 72211",+1-501-554-6026,https://www.clips-hairstudio.com/,34.7518557,-92.4117806,,,n_2532387860,shop=beauty
"Fourche, AR",,retail,452319,Dollar Tree,,,https://www.dollartree.com/locations/ar/north-little-rock/4018/,34.8301075,-92.3911523,,,n_2986712819,"shop=variety_store, brand=Dollar Tree"
"Fourche, AR",,retail,446120,The Cut Off,,,,34.8246101,-92.3810955,,,n_2996231289,shop=beauty
"Fourche, AR",,retail,445310,Rock Creek Wine & Spirits,"12310 Chenal Parkway, Little Rock, AR, 72211",,,34.7521356,-92.4117779,,,n_3658880309,shop=alcohol
"Fourche, AR",,retail,445110,Edwards Food Giant,,,,34.7707712,-92.3574288,,,n_3801011354,shop=supermarket
"Fourche, AR",,retail,446120,Jane White Cosmetics,"3 Innwood Circle, Little Rock, AR, 72211",+1-501-223-8012,http://janewhitecosmetics.org,34.76571,-92.3988163,,,n_4620607766,shop=cosmetics
"Fourche, AR",,retail,452210,Dillard's,"6000 West Markham Street, Little Rock, AR, 72205",+1 501-661-0053,https://www.dillards.com/stores/arkansas/park-plaza-center-little-rock/0405,34.7536013,-92.3441911,,,n_4756738121,"shop=department_store, brand=Dillard's"
"Fourche, AR",,retail,452210,Dillard's,,,,34.7534383,-92.341941,,,n_4756738123,"shop=department_store, brand=Dillard's"
"Fourche, AR",,retail,446120,Fancy Nails,"800 Reservoir Road, Little Rock, AR, 72227",,,34.7593056,-92.3768903,,,n_5252795909,shop=beauty
"Fourche, AR",,retail,445110,Walmart Neighborhood Market,"2550 Prince Street, Conway, AR, 72034",+1 501-205-7262,https://www.walmart.com/store/3168-conway-ar,35.0944854,-92.4631765,,,n_5315598892,"shop=supermarket, brand=Walmart, operator=Walmart"
"Fourche, AR",,retail,445110,Harps,"582 AR 365, Mayflower, AR, 72106",,,34.9657707,-92.4237251,,,n_5341795042,"shop=supermarket, brand=Harps, operator=Harps"
"Fourche, AR",,retail,452319,Dollar General,"502 AR 365, Mayflower, AR, 72106",,https://www.dollargeneral.com/store-directory/ar/mayflower/7695,34.9651598,-92.4238676,,,n_5341795043,"shop=variety_store, brand=Dollar General, operator=Dollar General"
"Fourche, AR",,retail,446120,Scarlet Beauty,"11525 Cantrell Road, Little Rock, AR, 72212",+1 501-313-4594,http://scarletbeautyar.com,34.7937019,-92.4000292,,,n_5814652091,shop=beauty
"Fourche, AR",,retail,445310,Sullivans Liquor,,,,34.7771755,-92.3658888,,,n_5873575035,shop=alcohol
"Fourche, AR",,retail,445120,Superstop,"7400 Cantrell Road, Little Rock, AR, 72207",+1-501-666-5056,,34.7713057,-92.3558521,,,n_5873575052,shop=convenience
"Fourche, AR",,retail,445310,Cantrell Wines and Spirits,"7312 Cantrell Road, Little Rock, AR, 72207",+15016641264,https://www.facebook.com/cantrellwineandspirites/,34.7710038,-92.354756,,,n_5873575059,shop=alcohol
"Fourche, AR",,retail,446120,Fashion nails,,,,34.7771948,-92.366008,,,n_5874419693,shop=beauty
"Fourche, AR",,retail,446120,,,,,34.7733603,-92.3599813,,,n_5876272916,shop=beauty
"Fourche, AR",,retail,452319,Family Dollar,,,,34.7592634,-92.3054281,,,n_5890697663,"shop=variety_store, brand=Family Dollar"
"Fourche, AR",,retail,445110,Natural Grocery,,,,34.7923727,-92.400444,,,n_5898048509,shop=supermarket
"Fourche, AR",,retail,446120,Star Nails,"201 Skyline Drive, Conway, AR, 72032",,https://starnail.com,35.1104954,-92.430695,,,n_6297640589,shop=beauty
"Fourche, AR",,retail,452319,Dollar Tree,"201 Skyline Dr, Conway, AR, 72032",,https://www.dollartree.com/locations/ar/conway/1327/,35.1098401,-92.4288834,,,n_6298789866,"shop=variety_store, brand=Dollar Tree"
