Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Fulton, AR",,retail,445110,Price Chopper,,,,36.3164315,-91.4849868,,,n_2780788401,shop=supermarket
"Fulton, AR",,retail,452319,Dollar Tree,"1405 Mitchell Road, West Plains, MO, 65775",(417) 256-1604,https://www.dollartree.com/locations/mo/west-plains/3534/,36.7119384,-91.8776603,,,n_5688847746,"shop=variety_store, brand=Dollar Tree"
"Fulton, AR",,retail,452210,American Freight,,,,36.7123548,-91.8731931,,,n_5693229557,"shop=department_store, brand=American Freight"
"Fulton, AR",,retail,452210,Big Lots,"1362 Southern Hills Center, West Plains, MO, 65775",+1 417-257-2527,https://local.biglots.com/mo/west-plains/1362-southern-hills-ctr,36.7126661,-91.8732183,,,n_5693229558,"shop=department_store, brand=Big Lots"
"Fulton, AR",,retail,446191,JB's HealthMart,,,,36.7108445,-91.8746628,,,n_5693371765,shop=health_food
"Fulton, AR",,retail,446120,LA Nails,,417-256-0511,,36.7107441,-91.8749255,,,n_5693371768,shop=beauty
"Fulton, AR",,retail,446120,,,,,36.7129461,-91.8762041,,,n_5693371772,shop=beauty
"Fulton, AR",,retail,445110,SPRING RIVER DISPENSARY,"14818 Highway 63 South, Hardy, AR, 72542",(870)955-5050,https://springriverdispensary.com/,36.3385593,-91.4883238,,,n_9790471095,shop=supermarket
"Fulton, AR",,retail,445120,Snappy Mart,,,,36.2190308,-91.7564946,,,n_11118415971,shop=convenience
"Fulton, AR",,retail,445120,Snappy Mart,,,,36.1486664,-92.1201235,,,n_11164370010,shop=convenience
"Fulton, AR",,retail,453991,,"808 West Broadway Street, West Plains, MO, 65775",+1-417-255-1733,,36.7310326,-91.861068,,,n_12098952850,shop=tobacco
"Fulton, AR",,retail,446110,Ash Flat Pharmacy,,,,36.2353917,-91.5998454,,,n_13022497723,shop=chemist
"Fulton, AR",,retail,445310,Triple D Liquor Store,,,,36.259053,-91.56272,,,n_13022521510,shop=alcohol
"Fulton, AR",,retail,452319,Dollar General,"196 Iroquois Drive, Cherokee Village, AR, 72529",,,36.3006043,-91.5310598,,,n_13059241786,"shop=variety_store, brand=Dollar General"
"Fulton, AR",,retail,445110,Walmart Supercenter,"1310 Preacher Roe Boulevard, West Plains, MO, 65775",+1 417-257-2800,https://www.walmart.com/store/15-west-plains-mo,36.714723,-91.8703856,,,w_392186779,"shop=supermarket, brand=Walmart, operator=Walmart"
"Fulton, AR",,retail,446120,Illusions Salon & Skin Care Clinic,"114 Washington Avenue, West Plains, MO, 65775",,,36.7289377,-91.852791,,,w_467463328,shop=beauty
"Fulton, AR",,retail,453110,West Plains Floral & Balloonery,"211 West Broadway Street, West Plains, MO, 65775",+1-417-256-7192,http://ozarkmtndesigns.com/WPFB/,36.7314304,-91.8542829,,,w_467469797,shop=florist
"Fulton, AR",,retail,445310,Mulligans Package Store,,,,36.7367017,-91.8660214,,,w_467769227,shop=alcohol
"Fulton, AR",,retail,445120,Casey's General Store,"1510 Preacher Roe Boulevard, West Plains, MO, 65775",,,36.7104485,-91.8752904,,,w_469083441,"shop=convenience, brand=Casey's General Store"
"Fulton, AR",,retail,445230,The Truck Patch Natural Market,"412 Porter Wagoner Boulevard, West Plains, MO, 65775",+1-417-372-8970,https://thetruckpatch.com/,36.7317244,-91.8635048,,,w_469420701,shop=greengrocer
"Fulton, AR",,retail,445120,Parkside Pantry,"312 Porter Wagoner Boulevard, West Plains, MO, 65775",+1-417-256-2899,,36.7307304,-91.8636202,,,w_469492582,shop=convenience
"Fulton, AR",,retail,445120,Casey's General Store,,,,36.7315849,-91.8564321,,,w_469705460,"shop=convenience, brand=Casey's General Store"
"Fulton, AR",,retail,445210,Barnett's Meat Processing,"611 Saint Louis Street, West Plains, MO, 65775",+1-417-256-3261,,36.732589,-91.850599,,,w_469705505,shop=butcher
"Fulton, AR",,retail,452319,Dollar General,"1397 Bill Virdon Boulevard, West Plains, MO, 65775",(417) 204-4768,https://www.dollargeneral.com/store-directory/mo/west-plains/14939,36.7237428,-91.8365741,,,w_474858276,"shop=variety_store, brand=Dollar General"
"Fulton, AR",,retail,452210,Walmart,"333 East Walnut Street, Thayer, MO, 65791",+1 417-264-7195,https://www.walmart.com/store/837-thayer-mo,36.5248842,-91.5327509,,,w_578584940,"shop=department_store, brand=Walmart, operator=Walmart"
"Fulton, AR",,retail,452319,Dollar Tree,"921 Preacher Roe Boulevard, West Plains, MO, 65775",,,36.7231398,-91.8662607,,,w_597935387,"shop=variety_store, brand=Dollar Tree"
"Fulton, AR",,retail,445120,,,,,36.3177239,-91.4888188,,,w_1013257779,shop=convenience
